Date,rate_F_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,3.1131,-0.6039
2016-03,8.3603,5.2168
2016-04,8.5648,3.9893
2016-05,6.1043,4.6886
2016-06,-1.7061,4.1237
2016-07,0.1751,7.1795
2016-08,-0.1951,6.3603
2016-09,-4.2853,5.6281
2016-10,-5.362,3.196
2016-11,-3.0297,6.7601
2016-12,-1.7564,8.3626
2017-01,1.723,10.2536
2017-02,2.9709,13.6522
2017-03,-4.6511,12.7005
2017-04,-4.4226,12.9818
2017-05,-7.0755,13.693
2017-06,-6.2505,13.5288
2017-07,-4.5976,15.0481
2017-08,-5.8509,14.5515
2017-09,2.3082,16.1037
2017-10,5.9656,17.9557
2017-11,7.7799,20.6805
2017-12,7.1422,21.3029
2018-01,-3.4894,28.0338
2018-02,-6.5178,22.1441
2018-03,-1.9962,18.3021
2018-04,0.8833,18.0902
2018-05,3.5966,20.2208
2018-06,-0.8942,20.3415
2018-07,-8.7674,23.8746
2018-08,-13.5401,27.0072
2018-09,-15.6377,27.7347
2018-10,-11.0477,18.1437
2018-11,-11.9106,19.7418
2018-12,-28.1527,8.5778
2019-01,-15.9445,17.1263
2019-02,-15.7459,20.3748
2019-03,-15.2201,22.0514
2019-04,2.7711,26.2651
2019-05,-6.4063,17.5943
2019-06,0.7142,25.308
2019-07,-4.7107,26.4355
2019-08,-8.1264,23.7232
2019-09,-8.2266,26.1617
2019-10,-12.1865,28.2707
2019-11,-7.2329,32.1761
2019-12,-4.602,35.3247
2020-01,-7.9865,35.2749
2020-02,-27.3154,23.5454
2020-03,-49.1959,7.7105
2020-04,-45.1231,21.425
2020-05,-37.2924,26.7132
2020-06,-32.4732,28.4357
2020-07,-25.841,35.3124
2020-08,-22.9867,43.9511
2020-09,-24.3653,37.6938
2020-10,-11.7113,33.4637
2020-11,3.9614,47.2943
2020-12,0.5309,51.8455
2021-01,20.4282,50.305
2021-02,33.3291,53.4604
2021-03,38.9202,59.4101
2021-04,30.2283,66.6882
2021-05,63.2817,66.6274
2021-06,65.8515,69.2184
2021-07,54.6527,72.1455
2021-08,43.6137,75.992
2021-09,55.2841,66.6118
2021-10,86.236,77.1553
2021-11,108.7155,74.6519
2021-12,124.0181,81.397
2022-01,118.1061,70.7122
2022-02,87.0954,64.6001
2022-03,79.0027,69.8532
2022-04,50.0017,54.0273
2022-05,44.1969,53.6333
2022-06,16.8202,40.2902
2022-07,53.8372,52.5094
2022-08,60.3275,45.531
2022-09,17.2238,31.5965
2022-10,39.6143,41.7445
2022-11,46.1573,48.9584
2022-12,21.7464,39.838
2023-01,41.4254,48.5632
2023-02,34.1897,44.2258
2023-03,39.3801,48.9578
2023-04,32.5916,50.6836
2023-05,33.4669,50.7741
2023-06,67.7427,59.884
2023-07,47.3865,64.3798
2023-08,34.7661,60.953
2023-09,37.5621,52.6248
2023-10,9.3073,48.7132
2023-11,14.8503,61.6976
2023-12,36.205,68.3392
2024-01,30.9539,71.0275
2024-02,42.2618,79.0476
2024-03,51.337,83.99
2024-04,37.938,75.7344
2024-05,38.9871,83.6813
2024-06,43.2231,89.2836
2024-07,23.1628,90.5002
2024-08,28.8337,94.0822
2024-09,21.6769,98.2932
2024-10,18.2858,95.412
2024-11,29.4607,105.8418
2024-12,14.908,99.9875
2025-01,16.9971,105.351
2025-02,14.1739,101.7087
2025-03,19.8194,89.4719
2025-04,19.3887,87.0451
2025-05,25.3681,97.8575
2025-06,30.8874,107.0685
2025-07,33.1905,110.7404
2025-08,43.0949,114.0337
2025-09,45.3756,121.6081
2025-10,59.0365,125.7153
2025-11,62.1097,125.0226
2025-12,59.5995,124.0393
2026-01,68.8441,127.2713
2026-02,103.4244,125.3185
