Date,rate_IRDM_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-15.0427,-3.7423
2016-03,-8.0957,0.3764
2016-04,7.2508,5.1946
2016-05,7.0042,3.5695
2016-06,12.3868,4.8356
2016-07,13.1307,4.3651
2016-08,11.3669,7.2005
2016-09,-3.1538,6.5176
2016-10,1.4382,5.8316
2016-11,0.5351,2.6321
2016-12,11.7108,6.5262
2017-01,18.7682,8.6002
2017-02,19.1499,9.8701
2017-03,6.2994,14.9815
2017-04,16.0991,12.5254
2017-05,27.0128,13.1716
2017-06,20.7074,14.581
2017-07,28.8823,14.626
2017-08,14.1025,16.4591
2017-09,28.855,15.9061
2017-10,16.7116,17.2911
2017-11,34.5215,19.4181
2017-12,39.6949,21.7575
2018-01,29.7875,22.6249
2018-02,37.855,28.3844
2018-03,27.7694,21.0506
2018-04,20.3202,18.8566
2018-05,23.3115,18.843
2018-06,68.4433,22.0592
2018-07,67.7211,20.962
2018-08,88.6669,24.4135
2018-09,105.1407,27.7869
2018-10,125.1885,28.1445
2018-11,101.2955,19.3954
2018-12,130.8848,19.8359
2019-01,75.5735,8.7501
2019-02,82.6514,17.203
2019-03,115.1373,21.2677
2019-04,147.7449,23.6016
2019-05,147.2088,25.5902
2019-06,90.6753,17.8911
2019-07,106.0195,26.7327
2019-08,116.4148,25.8061
2019-09,107.5855,24.2046
2019-10,81.177,24.595
2019-11,107.309,29.5299
2019-12,93.6382,32.3145
2020-01,102.7092,35.5516
2020-02,108.02,34.7733
2020-03,118.1043,23.2161
2020-04,68.516,2.6957
2020-05,74.7892,17.923
2020-06,89.537,27.1545
2020-07,99.6971,29.2791
2020-08,111.0594,35.3897
2020-09,122.2799,45.4969
2020-10,98.5883,38.8421
2020-11,97.9361,33.8054
2020-12,146.2906,49.4413
2021-01,189.398,52.4925
2021-02,262.6504,52.5474
2021-03,201.5068,57.1165
2021-04,186.1353,62.2404
2021-05,167.655,68.0147
2021-06,167.4465,67.9506
2021-07,179.5598,71.7835
2021-08,189.0623,73.9065
2021-09,211.3631,78.108
2021-10,168.4941,70.559
2021-11,178.3256,79.7147
2021-12,145.9504,74.8714
2022-01,169.9421,83.8439
2022-02,125.8731,74.2485
2022-03,150.8012,64.4857
2022-04,166.4641,72.8765
2022-05,125.9858,56.3809
2022-06,133.0182,54.7432
2022-07,137.8599,43.9638
2022-08,177.2818,54.5402
2022-09,174.4504,48.4061
2022-10,170.3457,33.808
2022-11,210.2877,43.6413
2022-12,215.7886,51.6237
2023-01,205.7241,42.3283
2023-02,259.5965,52.4008
2023-03,260.3802,45.8599
2023-04,260.1134,52.4428
2023-05,266.0946,54.1535
2023-06,249.5474,55.8684
2023-07,253.2425,63.7729
2023-08,193.3646,67.9151
2023-09,177.4268,65.3142
2023-10,153.7679,56.4671
2023-11,103.5222,54.158
2023-12,116.1584,66.8181
2024-01,126.3499,72.7134
2024-02,96.7782,77.0248
2024-03,61.6257,84.7703
2024-04,41.5476,89.0895
2024-05,70.0732,80.3005
2024-06,62.8348,89.1407
2024-07,45.3549,96.817
2024-08,57.1873,94.9948
2024-09,40.2715,101.4737
2024-10,70.467,104.2286
2024-11,60.4387,104.0979
2024-12,62.1093,114.1559
2025-01,58.4896,108.1307
2025-02,56.4817,112.719
2025-03,71.2115,109.0154
2025-04,48.4102,97.097
2025-05,30.373,95.2965
2025-06,37.2922,105.2137
2025-07,67.215,114.7559
2025-08,31.7114,115.142
2025-09,35.2965,122.2543
2025-10,-3.5137,129.8729
2025-11,4.7761,133.4127
2025-12,-10.0864,131.7276
2026-01,-4.0362,131.8756
2026-02,32.184,131.1612
