Date,rate_MO_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,0.5205,-0.6039
2016-03,2.745,5.2168
2016-04,1.8527,3.9893
2016-05,2.7379,4.6886
2016-06,11.4225,4.1237
2016-07,7.7059,7.1795
2016-08,4.1529,6.3603
2016-09,0.0728,5.6281
2016-10,4.6429,3.196
2016-11,0.8192,6.7601
2016-12,7.6202,8.3626
2017-01,13.2272,10.2536
2017-02,18.0132,13.6522
2017-03,12.1488,12.7005
2017-04,11.8385,12.9818
2017-05,16.8035,13.693
2017-06,15.2387,13.5288
2017-07,-0.213,15.0481
2017-08,-2.674,14.5515
2017-09,-1.5332,16.1037
2017-10,-0.1997,17.9557
2017-11,5.3501,20.6805
2017-12,11.609,21.3029
2018-01,9.9528,28.0338
2018-02,-1.9429,22.1441
2018-03,-1.7429,18.3021
2018-04,-11.3468,18.0902
2018-05,-11.5264,20.2208
2018-06,-8.3439,20.3415
2018-07,-4.9488,23.8746
2018-08,-5.0255,27.0072
2018-09,-0.8297,27.7347
2018-10,6.9396,18.1437
2018-11,-9.9755,19.7418
2018-12,-17.3724,8.5778
2019-01,-17.4382,17.1263
2019-02,-11.7855,20.3748
2019-03,-1.6541,22.0514
2019-04,-6.9535,26.2651
2019-05,-15.7754,17.5943
2019-06,-16.9968,25.308
2019-07,-17.0994,26.4355
2019-08,-22.6128,23.7232
2019-09,-26.1478,26.1617
2019-10,-18.4765,28.2707
2019-11,-9.0842,32.1761
2019-12,-7.0022,35.3247
2020-01,-11.3581,35.2749
2020-02,-24.4074,23.5454
2020-03,-25.5856,7.7105
2020-04,-23.8194,21.425
2020-05,-23.6376,26.7132
2020-06,-21.1168,28.4357
2020-07,-16.8681,35.3124
2020-08,-11.2814,43.9511
2020-09,-19.6633,37.6938
2020-10,-24.6705,33.4637
2020-11,-16.3668,47.2943
2020-12,-11.8294,51.8455
2021-01,-11.6609,50.305
2021-02,-6.0102,53.4604
2021-03,12.1996,59.4101
2021-04,4.5188,66.6882
2021-05,7.6234,66.6274
2021-06,5.9966,69.2184
2021-07,6.6673,72.1455
2021-08,11.4179,75.992
2021-09,2.7995,66.6118
2021-10,-0.4695,77.1553
2021-11,-3.7846,74.6519
2021-12,9.0052,81.397
2022-01,16.8203,70.7122
2022-02,17.5082,64.6001
2022-03,21.4863,69.8532
2022-04,28.8215,54.0273
2022-05,24.9887,53.6333
2022-06,-1.668,40.2902
2022-07,3.2158,52.5094
2022-08,6.1213,45.531
2022-09,-2.9005,31.5965
2022-10,11.1878,41.7445
2022-11,11.7814,48.9584
2022-12,11.7779,39.838
2023-01,10.1733,48.5632
2023-02,13.2288,44.2258
2023-03,10.9449,48.9578
2023-04,17.9336,50.6836
2023-05,10.0465,50.7741
2023-06,14.4166,59.884
2023-07,14.4809,64.3798
2023-08,11.2889,60.953
2023-09,8.1628,52.6248
2023-10,3.2593,48.7132
2023-11,8.0278,61.6976
2023-12,6.0689,68.3392
2024-01,5.5044,71.0275
2024-02,7.3587,79.0476
2024-03,16.9447,83.99
2024-04,17.2827,75.7344
2024-05,23.6084,83.6813
2024-06,24.0886,89.2836
2024-07,33.1774,90.5002
2024-08,45.6987,94.0822
2024-09,41.0655,98.2932
2024-10,50.0498,95.412
2024-11,58.5446,105.8418
2024-12,45.8373,99.9875
2025-01,45.6732,105.351
2025-02,55.2076,101.7087
2025-03,68.9918,89.4719
2025-04,65.9286,87.0451
2025-05,69.3541,97.8575
2025-06,66.0045,107.0685
2025-07,74.7175,110.7404
2025-08,88.8048,114.0337
2025-09,88.552,121.6081
2025-10,60.1871,125.7153
2025-11,67.0601,125.0226
2025-12,65.6146,124.0393
2026-01,77.8268,127.2713
2026-02,137.0209,125.3185
