Date,rate_SLB_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,3.1926,-3.7423
2016-03,8.012,0.3764
2016-04,2.6169,5.1946
2016-05,13.5562,3.5695
2016-06,7.404,4.8356
2016-07,11.2725,4.3651
2016-08,8.1862,7.2005
2016-09,7.8333,6.5176
2016-10,9.2274,5.8316
2016-11,8.3749,2.6321
2016-12,15.685,6.5262
2017-01,14.1533,8.6002
2017-02,12.0059,9.8701
2017-03,10.6067,14.9815
2017-04,4.3222,12.5254
2017-05,-3.681,13.1716
2017-06,-6.1673,14.581
2017-07,-11.148,14.626
2017-08,-6.2605,16.4591
2017-09,-12.9846,15.9061
2017-10,-1.4303,17.2911
2017-11,-9.1195,19.4181
2017-12,-8.0884,21.7575
2018-01,-3.2523,22.6249
2018-02,8.5456,28.3844
2018-03,-5.8169,21.0506
2018-04,-6.2427,18.8566
2018-05,-0.7718,18.843
2018-06,0.064,22.0592
2018-07,-2.0164,20.962
2018-08,-2.4964,24.4135
2018-09,-7.5449,27.7869
2018-10,-8.8894,28.1445
2018-11,-23.3627,19.3954
2018-12,-32.5142,19.8359
2019-01,-43.7747,8.7501
2019-02,-29.1039,17.203
2019-03,-26.5234,21.2677
2019-04,-26.5523,23.6016
2019-05,-31.5038,25.5902
2019-06,-41.9216,17.8911
2019-07,-32.1898,26.7327
2019-08,-32.8567,25.8061
2019-09,-42.8304,24.2046
2019-10,-40.5009,24.595
2019-11,-36.4108,29.5299
2019-12,-32.3491,32.3145
2020-01,-23.1841,35.5516
2020-02,-35.5757,34.7733
2020-03,-46.3729,23.2161
2020-04,-74.6558,2.6957
2020-05,-66.5009,17.923
2020-06,-59.3347,27.1545
2020-07,-59.5634,29.2791
2020-08,-57.4984,35.3897
2020-09,-54.9978,45.4969
2020-10,-62.9664,38.8421
2020-11,-62.0603,33.8054
2020-12,-44.686,49.4413
2021-01,-41.9213,52.4925
2021-02,-40.3474,52.5474
2021-03,-21.507,57.1165
2021-04,-22.8693,62.2404
2021-05,-25.409,68.0147
2021-06,-8.3742,67.9506
2021-07,-7.8591,71.7835
2021-08,-19.5718,73.9065
2021-09,-21.3152,78.108
2021-10,-14.289,70.559
2021-11,-5.7666,79.7147
2021-12,-19.2673,74.8714
2022-01,-14.5205,83.8439
2022-02,13.0536,74.2485
2022-03,7.9489,64.4857
2022-04,19.3497,72.8765
2022-05,11.438,56.3809
2022-06,33.6684,54.7432
2022-07,1.7529,43.9638
2022-08,3.8697,54.5402
2022-09,5.1035,48.4061
2022-10,2.8302,33.808
2022-11,47.6053,43.6413
2022-12,47.6295,51.6237
2023-01,52.3885,42.3283
2023-02,58.1298,52.4008
2023-03,55.8697,45.8599
2023-04,38.8519,52.4428
2023-05,38.5502,54.1535
2023-06,26.3979,55.8684
2023-07,38.411,63.7729
2023-08,61.8371,67.9151
2023-09,68.1856,65.3142
2023-10,63.0784,56.4671
2023-11,55.6085,54.158
2023-12,45.3922,66.8181
2024-01,44.6417,72.7134
2024-02,35.7573,77.0248
2024-03,37.1183,84.7703
2024-04,53.0066,89.0895
2024-05,30.2199,80.3005
2024-06,26.421,89.1407
2024-07,28.814,96.817
2024-08,28.7533,94.9948
2024-09,21.1242,101.4737
2024-10,19.3414,104.2286
2024-11,9.8214,104.0979
2024-12,21.2645,114.1559
2025-01,6.3949,108.1307
2025-02,11.715,112.719
2025-03,16.221,109.0154
2025-04,17.5777,97.097
2025-05,-6.1197,95.2965
2025-06,-7.9874,105.2137
2025-07,-1.134,114.7559
2025-08,-7.165,115.142
2025-09,3.5487,122.2543
2025-10,-0.599,129.8729
2025-11,2.1523,133.4127
2025-12,3.6628,131.7276
2026-01,9.4784,131.8756
2026-02,10.871,120.852
