Date,rate_QQQ_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-4.0072,-1.8027
2016-03,3.3732,4.5695
2016-04,-0.9503,3.6217
2016-05,3.4908,4.6859
2016-06,1.13,4.2011
2016-07,8.0308,7.3141
2016-08,8.0768,6.5393
2016-09,10.0342,5.8417
2016-10,7.4557,3.4057
2016-11,7.313,7.0013
2016-12,8.7129,8.6582
2017-01,13.5699,9.9058
2017-02,17.4564,13.4199
2017-03,19.0482,12.5861
2017-04,21.0602,12.9516
2017-05,24.417,13.7442
2017-06,20.8586,14.6714
2017-07,24.6139,16.2352
2017-08,25.9257,15.7466
2017-09,24.3321,17.3266
2017-10,28.8898,19.2474
2017-11,30.1397,22.0133
2017-12,29.6813,22.6523
2018-01,39.733,28.4864
2018-02,36.4523,22.6807
2018-03,29.6701,18.8927
2018-04,29.2585,18.6249
2018-05,35.4526,20.8091
2018-06,35.7575,20.9812
2018-07,38.351,24.5763
2018-08,45.0448,27.7899
2018-09,43.2736,27.6747
2018-10,29.8284,18.1983
2018-11,28.5969,19.8597
2018-12,17.0618,8.8011
2019-01,27.0814,17.1215
2019-02,30.1523,20.4441
2019-03,34.43,22.1999
2019-04,40.8691,26.5012
2019-05,28.3965,17.9266
2019-06,37.4047,25.7011
2019-07,39.6831,26.9004
2019-08,36.1603,24.2426
2019-09,36.5981,26.142
2019-10,41.7552,28.3311
2019-11,46.5641,32.3256
2019-12,51.2379,35.5485
2020-01,54.7404,34.7719
2020-02,44.3564,23.2511
2020-03,33.0197,7.5779
2020-04,52.2703,21.2186
2020-05,61.3208,26.5774
2020-06,70.2277,28.3766
2020-07,81.3264,35.3325
2020-08,99.5102,44.0777
2020-09,86.3089,37.914
2020-10,79.1825,33.7633
2020-11,97.7782,47.7098
2020-12,105.7211,52.3667
2021-01,104.5198,49.9654
2021-02,102.5257,53.2453
2021-03,104.2895,60.4049
2021-04,114.5898,67.83
2021-05,110.2722,67.8968
2021-06,121.6512,70.6358
2021-07,126.1155,73.7106
2021-08,133.7149,77.7187
2021-09,118.6423,68.3779
2021-10,133.9849,79.119
2021-11,136.7204,76.6949
2021-12,137.5429,83.6042
2022-01,115.0645,72.9303
2022-02,103.9728,66.8181
2022-03,112.0318,72.1992
2022-04,81.9595,56.2223
2022-05,78.0293,55.8933
2022-06,61.2937,42.4002
2022-07,80.6339,54.8512
2022-08,70.4186,47.8158
2022-09,51.7429,33.7039
2022-10,57.1474,44.0824
2022-11,65.1212,51.4429
2022-12,49.5586,42.1877
2023-01,64.8122,50.5828
2023-02,63.4475,46.2373
2023-03,78.1196,52.2586
2023-04,78.1299,54.0684
2023-05,91.1969,54.1996
2023-06,102.1364,63.548
2023-07,108.755,68.1942
2023-08,104.5018,64.7317
2023-09,93.0653,56.2636
2023-10,88.1153,52.2886
2023-11,107.3872,65.5989
2023-12,117.7778,72.448
2024-01,120.4958,74.4576
2024-02,130.8279,82.7177
2024-03,132.4087,89.0282
2024-04,120.983,80.6052
2024-05,133.291,88.8335
2024-06,146.9656,96.0415
2024-07,141.4165,97.3583
2024-08,142.7237,101.128
2024-09,147.6743,105.7758
2024-10,144.174,102.865
2024-11,155.7891,113.7798
2024-12,155.5048,107.7813
2025-01,159.567,112.3595
2025-02,151.1462,108.6721
2025-03,130.8647,96.0839
2025-04,132.8905,93.6359
2025-05,152.9442,104.9003
2025-06,167.6401,114.5225
2025-07,172.6312,118.4064
2025-08,173.7456,121.8959
2025-09,186.8848,128.6764
2025-10,198.9163,133.0211
2025-11,192.6069,132.409
2025-12,189.0587,131.4906
2026-01,191.0318,133.7386
2026-02,182.6902,130.7823
2026-03,167.6148,117.6098
2026-04,207.9529,139.3863
2026-05,238.628,150.8374
2026-06,235.8607,146.5232
2026-07,210.0844,143.5801
