Date,rate_KTOS_5D,rate_VOO_20D
2016-01,-0.7184,1.4254
2016-02,4.3733,0.6142
2016-03,49.3503,6.1243
2016-04,46.4707,4.6014
2016-05,12.444,5.2878
2016-06,8.2149,4.687
2016-07,15.1568,7.7174
2016-08,75.6799,6.8637
2016-09,65.4423,5.9421
2016-10,29.6028,3.4868
2016-11,65.0072,6.843
2016-12,61.1396,8.2789
2017-01,73.7468,9.3935
2017-02,68.6725,12.821
2017-03,55.1849,12.0413
2017-04,48.5333,12.4367
2017-05,106.47,13.2406
2017-06,119.6215,14.1802
2017-07,97.8637,15.6892
2017-08,133.837,15.2834
2017-09,122.3555,16.8657
2017-10,99.5443,18.7799
2017-11,69.7408,21.509
2017-12,69.4728,22.1709
2018-01,79.2734,27.9258
2018-02,70.6627,22.2578
2018-03,44.0224,18.4465
2018-04,38.5599,18.162
2018-05,53.1345,20.337
2018-06,55.6641,20.5057
2018-07,72.578,24.0401
2018-08,76.0695,27.2093
2018-09,92.2297,27.1082
2018-10,61.3485,17.9327
2018-11,68.0509,19.5577
2018-12,64.4178,8.5722
2019-01,78.8442,16.8959
2019-02,96.1835,20.2219
2019-03,76.2866,21.9603
2019-04,77.1387,26.2654
2019-05,143.3761,20.4953
2019-06,142.4301,25.3574
2019-07,157.2577,26.514
2019-08,106.0564,24.0717
2019-09,89.3194,25.9454
2019-10,90.3762,27.4086
2019-11,80.2108,31.384
2019-12,78.0286,34.5804
2020-01,79.6207,33.8021
2020-02,81.2315,22.3336
2020-03,76.0993,15.1867
2020-04,89.6191,29.6272
2020-05,109.8529,28.2305
2020-06,96.7587,28.0341
2020-07,128.7026,33.4885
2020-08,144.511,42.106
2020-09,122.5717,38.2475
2020-10,111.4728,34.0563
2020-11,129.1135,42.9575
2020-12,194.0016,47.5016
2021-01,175.2117,45.1166
2021-02,177.1065,43.0879
2021-03,178.8556,49.8512
2021-04,170.5403,56.911
2021-05,146.3985,54.6413
2021-06,178.1226,57.2758
2021-07,162.9879,60.2291
2021-08,126.7479,64.0213
2021-09,102.9954,55.5224
2021-10,93.1998,65.5435
2021-11,76.7379,65.5034
2021-12,72.855,68.4598
2022-01,48.4685,58.7763
2022-02,84.4951,53.2596
2022-03,68.7154,58.2953
2022-04,54.3719,52.2757
2022-05,50.0385,51.0659
2022-06,42.5767,38.0304
2022-07,47.248,50.1558
2022-08,27.7519,43.3725
2022-09,3.2213,29.6913
2022-10,12.4724,39.7003
2022-11,-2.7455,46.8631
2022-12,3.3393,40.5677
2023-01,8.1166,48.7988
2023-02,5.7236,45.5387
2023-03,9.437,49.6635
2023-04,4.5655,48.4614
2023-05,5.7529,48.1923
2023-06,11.0201,57.2072
2023-07,12.3636,61.7125
2023-08,15.4038,59.5229
2023-09,7.4437,51.3631
2023-10,22.7497,47.5518
2023-11,27.7153,60.474
2023-12,35.6575,67.125
2024-01,12.9462,69.1001
2024-02,21.5067,77.1309
2024-03,22.217,83.2841
2024-04,12.8492,75.177
2024-05,37.4669,83.1784
2024-06,26.2368,90.182
2024-07,41.8909,90.9416
2024-08,42.8335,97.1965
2024-09,41.5667,98.31
2024-10,46.5206,95.5089
2024-11,53.4443,105.9957
2024-12,48.9398,100.2436
2025-01,87.7893,104.6582
2025-02,48.0685,101.1287
2025-03,70.3862,89.045
2025-04,81.7397,88.6819
2025-05,97.6316,99.6712
2025-06,127.7398,109.046
2025-07,150.4673,112.823
2025-08,154.8696,112.1707
2025-09,239.6497,118.6779
2025-10,229.363,122.8639
2025-11,217.0842,122.3204
2025-12,214.52,121.4705
2026-01,324.3482,123.6468
2026-02,252.8242,120.852
