Date,rate_RIOT_5D,rate_VOO_20D
2016-03,0.0,0.0
2016-04,15.9321,-0.9478
2016-05,19.563,0.1164
2016-06,19.8895,-0.3684
2016-07,11.4032,2.7446
2016-08,18.4023,1.9698
2016-09,-4.2786,1.2723
2016-10,-14.213,-1.1638
2016-11,-3.0524,2.4318
2016-12,20.3836,4.0887
2017-01,-2.7465,5.3364
2017-02,-4.9327,8.8504
2017-03,23.7351,8.0166
2017-04,11.3722,8.3821
2017-05,17.8599,9.1747
2017-06,22.5951,10.1019
2017-07,11.17,11.6658
2017-08,17.0929,11.1772
2017-09,51.5669,12.7571
2017-10,125.1526,14.6779
2017-11,333.6043,17.4438
2017-12,779.1455,18.0828
2018-01,309.3366,23.9169
2018-02,205.462,18.1112
2018-03,86.1457,14.3232
2018-04,99.3924,14.0554
2018-05,89.16,16.2396
2018-06,68.7541,16.4117
2018-07,70.3174,20.0068
2018-08,63.0892,23.2204
2018-09,-6.6406,23.1052
2018-10,-39.3478,13.6288
2018-11,-51.4221,15.2902
2018-12,-59.3165,4.2316
2019-01,-48.1027,12.5521
2019-02,-7.8889,15.8746
2019-03,-5.7091,17.6304
2019-04,51.8144,21.9317
2019-05,-7.2521,13.3571
2019-06,-9.9358,21.1316
2019-07,-36.4266,22.3309
2019-08,-46.0223,19.6731
2019-09,-46.7438,21.5725
2019-10,-52.3249,23.7616
2019-11,-56.4855,27.7561
2019-12,-63.9287,30.979
2020-01,-54.9026,30.2024
2020-02,-60.936,18.6816
2020-03,-70.5201,3.0084
2020-04,-54.9499,16.6491
2020-05,-18.0426,22.0079
2020-06,-14.7367,23.8071
2020-07,1.5909,30.763
2020-08,34.6125,39.5082
2020-09,3.2892,33.3445
2020-10,25.0432,29.1938
2020-11,221.8256,43.1403
2020-12,539.1379,47.7972
2021-01,660.8733,45.3959
2021-02,1498.3626,48.6758
2021-03,1816.3071,55.8354
2021-04,1381.834,63.2605
2021-05,846.9167,63.3273
2021-06,1196.2106,66.0663
2021-07,1017.7679,69.1411
2021-08,1148.5303,73.1492
2021-09,748.0479,63.8084
2021-10,786.5225,74.5495
2021-11,1101.3358,72.1254
2021-12,608.54,79.0347
2022-01,399.701,68.3608
2022-02,434.0635,62.2486
2022-03,548.8331,67.6297
2022-04,207.2956,51.6528
2022-05,115.9647,51.3238
2022-06,25.0869,37.8307
2022-07,117.8572,50.2817
2022-08,111.9133,43.2463
2022-09,105.8595,29.1344
2022-10,101.0368,39.5129
2022-11,34.9275,46.8734
2022-12,-1.903,37.6182
2023-01,81.3901,46.0133
2023-02,79.7437,41.6678
2023-03,185.7729,47.6891
2023-04,239.5196,49.4989
2023-05,238.0502,49.6301
2023-06,230.2799,58.9785
2023-07,413.3803,63.6247
2023-08,211.861,60.1622
2023-09,154.4885,51.6941
2023-10,164.9974,47.7191
2023-11,237.688,61.0295
2023-12,312.9989,67.8785
2024-01,188.705,69.8881
2024-02,271.3681,78.1482
2024-03,219.4913,84.4587
2024-04,162.1182,76.0357
2024-05,150.9802,84.264
2024-06,134.1093,91.472
2024-07,159.4214,92.7888
2024-08,90.6413,96.5585
2024-09,86.9906,101.2063
2024-10,131.8473,98.2955
2024-11,215.6235,109.2103
2024-12,153.1233,103.2118
2025-01,192.843,107.79
2025-02,127.3814,104.1026
2025-03,73.5841,91.5144
2025-04,75.7761,89.0664
2025-05,95.0862,100.3308
2025-06,171.9389,109.953
2025-07,220.8935,113.8369
2025-08,227.4727,117.3264
2025-09,350.1187,124.1069
2025-10,364.7216,128.4516
2025-11,276.4438,127.8395
2025-12,193.9054,126.9211
2026-01,256.843,129.1691
2026-02,273.4984,126.2128
2026-03,181.7023,113.0403
2026-04,290.7885,134.8168
2026-05,510.6527,146.2679
2026-06,512.5416,141.9537
2026-07,391.6664,139.0106
