Date,rate_EXC_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,7.1506,-3.7423
2016-03,10.7031,0.3764
2016-04,20.2152,5.1946
2016-05,13.296,3.5695
2016-06,9.4757,4.8356
2016-07,14.1491,4.3651
2016-08,15.3467,7.2005
2016-09,3.3277,6.5176
2016-10,1.3627,5.8316
2016-11,1.1252,2.6321
2016-12,-1.3308,6.5262
2017-01,8.9642,8.6002
2017-02,8.145,9.8701
2017-03,10.4323,14.9815
2017-04,9.4554,12.5254
2017-05,3.8661,13.1716
2017-06,11.8679,14.581
2017-07,9.2039,14.626
2017-08,16.1889,16.4591
2017-09,15.2966,15.9061
2017-10,14.9574,17.2911
2017-11,21.7961,19.4181
2017-12,26.8878,21.7575
2018-01,18.4866,22.6249
2018-02,13.0526,28.3844
2018-03,10.896,21.0506
2018-04,16.6791,18.8566
2018-05,19.4721,18.843
2018-06,22.3034,22.0592
2018-07,26.3301,20.962
2018-08,23.7102,24.4135
2018-09,28.9827,27.7869
2018-10,27.2213,28.1445
2018-11,27.1166,19.3954
2018-12,35.2681,19.8359
2019-01,30.5505,8.7501
2019-02,36.5103,17.203
2019-03,39.6681,21.2677
2019-04,42.3606,23.6016
2019-05,42.5749,25.5902
2019-06,36.3359,17.8911
2019-07,35.3829,26.7327
2019-08,24.3364,25.8061
2019-09,32.7663,24.2046
2019-10,34.0465,24.595
2019-11,25.9694,29.5299
2019-12,23.8187,32.3145
2020-01,26.6246,35.5516
2020-02,31.6102,34.7733
2020-03,19.7003,23.2161
2020-04,-7.3409,2.6957
2020-05,-0.7712,17.923
2020-06,8.7304,27.1545
2020-07,4.4289,29.2791
2020-08,7.8379,35.3897
2020-09,2.4047,45.4969
2020-10,0.951,38.8421
2020-11,12.3699,33.8054
2020-12,19.2131,49.4413
2021-01,21.6837,52.4925
2021-02,20.9243,52.5474
2021-03,12.6474,57.1165
2021-04,28.8899,62.2404
2021-05,31.4464,68.0147
2021-06,32.66,67.9506
2021-07,31.6941,71.7835
2021-08,36.529,73.9065
2021-09,45.2394,78.108
2021-10,39.3052,70.559
2021-11,56.4516,79.7147
2021-12,54.3524,74.8714
2022-01,69.66,83.8439
2022-02,68.9089,74.2485
2022-03,73.3509,64.4857
2022-04,94.5338,72.8765
2022-05,89.7198,56.3809
2022-06,99.6295,54.7432
2022-07,85.7687,43.9638
2022-08,84.8421,54.5402
2022-09,81.2056,48.4061
2022-10,51.8608,33.808
2022-11,56.4752,43.6413
2022-12,68.286,51.6237
2023-01,74.3259,42.3283
2023-02,69.7188,52.4008
2023-03,63.0372,45.8599
2023-04,71.0453,52.4428
2023-05,75.4792,54.1535
2023-06,64.0341,55.8684
2023-07,68.5295,63.7729
2023-08,70.7816,67.9151
2023-09,65.4196,65.3142
2023-10,55.6521,56.4671
2023-11,62.1985,54.158
2023-12,60.8071,66.8181
2024-01,47.4775,72.7134
2024-02,43.384,77.0248
2024-03,46.4097,84.7703
2024-04,56.2186,89.0895
2024-05,58.2026,80.3005
2024-06,61.1661,89.1407
2024-07,47.733,96.817
2024-08,63.0824,94.9948
2024-09,63.3667,101.4737
2024-10,74.2124,104.2286
2024-11,62.361,104.0979
2024-12,72.5907,114.1559
2025-01,63.5692,108.1307
2025-02,73.2042,112.719
2025-03,92.3796,109.0154
2025-04,98.9985,97.097
2025-05,101.0475,95.2965
2025-06,89.93,105.2137
2025-07,87.3689,114.7559
2025-08,92.0247,115.142
2025-09,88.7048,122.2543
2025-10,93.8818,129.8729
2025-11,97.6275,133.4127
2025-12,96.6783,131.7276
2026-01,86.8676,131.8756
2026-02,87.0984,120.852
