Date,rate_MPC_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-17.4108,-0.6039
2016-03,-4.7192,5.2168
2016-04,1.8262,3.9893
2016-05,-8.5973,4.6886
2016-06,0.2415,4.1237
2016-07,3.4075,7.1795
2016-08,12.2017,6.3603
2016-09,5.9624,5.6281
2016-10,12.9925,3.196
2016-11,21.7446,6.7601
2016-12,28.2126,8.3626
2017-01,22.3668,10.2536
2017-02,25.4523,13.6522
2017-03,25.7124,12.7005
2017-04,25.0262,12.9818
2017-05,26.9728,13.693
2017-06,25.9084,13.5288
2017-07,33.0479,15.0481
2017-08,23.8763,14.5515
2017-09,30.9198,16.1037
2017-10,37.8752,17.9557
2017-11,43.5251,20.6805
2017-12,49.1487,21.3029
2018-01,56.5727,28.0338
2018-02,43.6615,22.1441
2018-03,61.8536,18.3021
2018-04,63.4512,18.0902
2018-05,71.0189,20.2208
2018-06,49.4135,20.3415
2018-07,70.1311,23.8746
2018-08,71.7609,27.0072
2018-09,66.9507,27.7347
2018-10,45.05,18.1437
2018-11,33.758,19.7418
2018-12,20.2221,8.5778
2019-01,34.9857,17.1263
2019-02,26.4605,20.3748
2019-03,21.2672,22.0514
2019-04,22.6637,26.2651
2019-05,-6.6979,17.5943
2019-06,13.4396,25.308
2019-07,14.1492,26.4355
2019-08,0.4129,23.7232
2019-09,23.6949,26.1617
2019-10,29.5988,28.2707
2019-11,23.1991,32.1761
2019-12,21.8416,35.3247
2020-01,10.2213,35.2749
2020-02,-3.0351,23.5454
2020-03,-51.6644,7.7105
2020-04,-32.4624,21.425
2020-05,-23.8167,26.7132
2020-06,-18.582,28.4357
2020-07,-16.3202,35.3124
2020-08,-20.7708,43.9511
2020-09,-34.0751,37.6938
2020-10,-32.9531,33.4637
2020-11,-9.6543,47.2943
2020-12,-3.7683,51.8455
2021-01,0.4184,50.305
2021-02,28.388,53.4604
2021-03,25.1403,59.4101
2021-04,29.6506,66.6882
2021-05,44.6903,66.6274
2021-06,40.6734,69.2184
2021-07,27.9266,72.1455
2021-08,38.171,75.992
2021-09,43.5373,66.6118
2021-10,52.3089,77.1553
2021-11,41.1166,74.6519
2021-12,47.7134,81.397
2022-01,64.7577,70.7122
2022-02,79.02,64.6001
2022-03,95.3748,69.8532
2022-04,97.9891,54.0273
2022-05,130.5721,53.6333
2022-06,84.7077,40.2902
2022-07,104.5651,52.5094
2022-08,124.5658,45.531
2022-09,119.8359,31.5965
2022-10,149.566,41.7445
2022-11,167.001,48.9584
2022-12,153.0731,39.838
2023-01,179.4441,48.5632
2023-02,168.2019,44.2258
2023-03,190.0901,48.9578
2023-04,160.3231,50.6836
2023-05,123.7368,50.7741
2023-06,146.9383,59.884
2023-07,179.6729,64.3798
2023-08,199.4124,60.953
2023-09,214.8181,52.6248
2023-10,212.1386,48.7132
2023-11,207.1339,61.6976
2023-12,203.0309,68.3392
2024-01,238.2358,71.0275
2024-02,244.5654,79.0476
2024-03,306.9222,83.99
2024-04,263.9243,75.7344
2024-05,252.5562,83.6813
2024-06,243.657,89.2836
2024-07,248.0091,90.5002
2024-08,247.2215,94.0822
2024-09,219.5045,98.2932
2024-10,183.2242,95.412
2024-11,203.764,105.8418
2024-12,169.4876,99.9875
2025-01,181.483,105.351
2025-02,189.9574,101.7087
2025-03,179.515,89.4719
2025-04,161.9449,87.0451
2025-05,206.2637,97.8575
2025-06,214.4422,107.0685
2025-07,220.0228,110.7404
2025-08,237.4285,114.0337
2025-09,261.7636,121.6081
2025-10,263.3303,125.7153
2025-11,260.5255,125.0226
2025-12,200.5888,124.0393
2026-01,225.6497,127.2713
2026-02,323.1187,125.3185
