Date,rate_AZO_5D,rate_VOO_20D
2016-01,5.9522,1.4254
2016-02,3.3723,0.6142
2016-03,4.5219,6.1243
2016-04,-0.1599,4.6014
2016-05,-1.0777,5.2878
2016-06,3.2154,4.687
2016-07,5.2239,7.7174
2016-08,-4.6587,6.8637
2016-09,-0.7094,5.9421
2016-10,-4.0327,3.4868
2016-11,1.6582,6.843
2016-12,2.1182,8.2789
2017-01,-5.7799,9.3935
2017-02,-3.781,12.821
2017-03,-5.3198,12.0413
2017-04,-9.0463,12.4367
2017-05,-20.0125,13.2406
2017-06,-23.7846,14.1802
2017-07,-26.6987,15.6892
2017-08,-27.0082,15.2834
2017-09,-16.459,16.8657
2017-10,-16.5112,18.7799
2017-11,-2.0479,21.509
2017-12,1.5992,22.1709
2018-01,9.023,27.9258
2018-02,-5.4118,22.2578
2018-03,-7.4717,18.4465
2018-04,-10.5886,18.162
2018-05,-6.7056,20.337
2018-06,-3.3932,20.5057
2018-07,1.6035,24.0401
2018-08,10.306,27.2093
2018-09,10.7651,27.1082
2018-10,3.0087,17.9327
2018-11,13.3623,19.5577
2018-12,16.8453,8.5722
2019-01,17.6187,16.8959
2019-02,29.8122,20.2219
2019-03,40.6801,21.9603
2019-04,40.2184,26.2654
2019-05,39.0632,20.4953
2019-06,47.5951,25.3574
2019-07,46.6804,26.514
2019-08,42.9129,24.0717
2019-09,39.749,25.9454
2019-10,46.309,27.4086
2019-11,49.5582,31.384
2019-12,50.0907,34.5804
2020-01,32.4381,33.8021
2020-02,28.6296,22.3336
2020-03,20.303,15.1867
2020-04,45.0592,29.6272
2020-05,51.3587,28.2305
2020-06,48.2782,28.0341
2020-07,55.5631,33.4885
2020-08,49.6469,42.106
2020-09,48.6518,38.2475
2020-10,41.5175,34.0563
2020-11,41.8564,42.9575
2020-12,47.0534,47.5016
2021-01,47.106,45.1166
2021-02,39.6752,43.0879
2021-03,68.1904,49.8512
2021-04,74.2225,56.911
2021-05,71.4308,54.6413
2021-06,81.6848,57.2758
2021-07,96.2959,60.2291
2021-08,91.2057,64.0213
2021-09,107.7337,55.5224
2021-10,109.085,65.5435
2021-11,111.2222,65.5034
2021-12,135.2839,68.4598
2022-01,125.7039,58.7763
2022-02,113.138,53.2596
2022-03,130.0681,58.2953
2022-04,135.0821,52.2757
2022-05,127.2865,51.0659
2022-06,126.0664,38.0304
2022-07,123.2346,50.1558
2022-08,119.7747,43.3725
2022-09,120.5927,29.6913
2022-10,159.1057,39.7003
2022-11,156.277,46.8631
2022-12,144.775,40.5677
2023-01,137.2641,48.7988
2023-02,144.1933,45.5387
2023-03,145.7159,49.6635
2023-04,164.1344,48.4614
2023-05,154.1121,48.1923
2023-06,165.3732,57.2072
2023-07,162.3246,61.7125
2023-08,165.7667,59.5229
2023-09,164.8816,51.3631
2023-10,150.3671,47.5518
2023-11,158.5261,60.474
2023-12,154.4422,67.125
2024-01,170.118,69.1001
2024-02,189.2811,77.1309
2024-03,201.1731,83.2841
2024-04,180.6865,75.177
2024-05,161.3075,83.1784
2024-06,177.9294,90.182
2024-07,192.0184,90.9416
2024-08,190.7913,97.1965
2024-09,184.9176,98.31
2024-10,167.025,95.5089
2024-11,169.8669,105.9957
2024-12,171.0398,100.2436
2025-01,181.923,104.6582
2025-02,192.2145,101.1287
2025-03,217.0736,89.045
2025-04,210.049,88.6819
2025-05,205.7945,99.6712
2025-06,202.3114,109.046
2025-07,205.0948,112.823
2025-08,237.923,112.1707
2025-09,243.1956,118.6779
2025-10,192.1755,122.8639
2025-11,212.6825,122.3204
2025-12,166.6581,121.4705
2026-01,189.7485,123.6468
2026-02,178.4762,120.852
