Date,rate_CHRW_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,9.8975,-1.8027
2016-03,13.4186,4.5695
2016-04,5.4574,3.6217
2016-05,10.2204,4.6859
2016-06,8.1512,4.2011
2016-07,0.198,7.3141
2016-08,0.5745,6.5393
2016-09,1.7493,5.8417
2016-10,-1.7959,3.4057
2016-11,7.9962,7.0013
2016-12,5.7044,8.6582
2017-01,9.2709,9.9058
2017-02,14.8233,13.4199
2017-03,10.0118,12.5861
2017-04,2.9026,12.9516
2017-05,-4.6536,13.7442
2017-06,-2.0711,14.6714
2017-07,-6.3246,16.2352
2017-08,1.8639,15.7466
2017-09,9.6759,17.3266
2017-10,12.7154,19.2474
2017-11,23.697,22.0133
2017-12,28.1105,22.6523
2018-01,30.3589,28.4864
2018-02,31.8461,22.6807
2018-03,31.9571,18.8927
2018-04,28.4756,18.6249
2018-05,21.2268,20.8091
2018-06,15.8738,20.9812
2018-07,27.1662,24.5763
2018-08,31.4766,27.7899
2018-09,33.6383,27.6747
2018-10,20.6235,18.1983
2018-11,24.4163,19.8597
2018-12,14.7139,8.8011
2019-01,17.9505,17.1215
2019-02,22.9991,20.4441
2019-03,17.8343,22.1999
2019-04,9.2775,26.5012
2019-05,7.218,17.9266
2019-06,14.0557,25.7011
2019-07,12.8948,26.9004
2019-08,13.697,24.2426
2019-09,14.4512,26.142
2019-10,1.8965,28.3311
2019-11,3.5111,32.3256
2019-12,7.3079,35.5485
2020-01,-1.0199,34.7719
2020-02,-5.5413,23.2511
2020-03,-8.4343,7.5779
2020-04,-1.7884,21.2186
2020-05,12.3955,26.5774
2020-06,10.0242,28.3766
2020-07,30.1776,35.3325
2020-08,35.9689,44.0777
2020-09,41.3736,37.914
2020-10,21.7733,33.7633
2020-11,29.0005,47.7098
2020-12,30.4716,52.3667
2021-01,18.4858,49.9654
2021-02,25.4658,53.2453
2021-03,32.0343,60.4049
2021-04,33.7641,67.83
2021-05,33.1624,67.8968
2021-06,28.7921,70.6358
2021-07,22.1897,73.7106
2021-08,23.078,77.7187
2021-09,19.2877,68.3779
2021-10,32.6707,79.119
2021-11,29.6381,76.6949
2021-12,47.0058,83.6042
2022-01,42.3115,72.9303
2022-02,30.9598,66.8181
2022-03,46.0482,72.1992
2022-04,43.4259,56.2223
2022-05,46.0342,55.8933
2022-06,36.6186,42.4002
2022-07,48.659,54.8512
2022-08,52.6721,47.8158
2022-09,28.8816,33.7039
2022-10,30.4088,44.0824
2022-11,33.3633,51.4429
2022-12,22.249,42.1877
2023-01,33.4436,50.5828
2023-02,32.7534,46.2373
2023-03,32.41,52.2586
2023-04,34.0318,54.0684
2023-05,25.2422,54.1996
2023-06,25.4991,63.548
2023-07,32.9453,68.1942
2023-08,20.515,64.7317
2023-09,14.6235,56.2636
2023-10,8.759,52.2886
2023-11,9.7723,65.5989
2023-12,15.4344,72.448
2024-01,12.2094,74.4576
2024-02,-0.3016,82.7177
2024-03,2.4751,89.0282
2024-04,-4.4213,80.6052
2024-05,16.2731,88.8335
2024-06,20.922,96.0415
2024-07,22.0404,97.3583
2024-08,41.4454,101.128
2024-09,52.9182,105.7758
2024-10,42.3179,102.865
2024-11,45.427,113.7798
2024-12,44.4574,107.7813
2025-01,38.7132,112.3595
2025-02,41.32,108.6721
2025-03,44.6057,96.0839
2025-04,25.6464,93.6359
2025-05,34.889,104.9003
2025-06,37.1606,114.5225
2025-07,64.3256,118.4064
2025-08,82.7681,121.8959
2025-09,89.9207,128.6764
2025-10,119.961,133.0211
2025-11,125.8874,132.409
2025-12,130.1766,131.4906
2026-01,177.7836,133.7386
2026-02,162.5874,130.7823
2026-03,172.6421,127.7382
