Date,rate_SATS_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,20.9155,-1.8027
2016-03,12.8559,4.5695
2016-04,1.5105,3.6217
2016-05,-0.9599,4.6859
2016-06,-1.6785,4.2011
2016-07,-3.2935,7.3141
2016-08,-3.1578,6.5393
2016-09,9.7267,5.8417
2016-10,15.9463,3.4057
2016-11,25.0927,7.0013
2016-12,23.8077,8.6582
2017-01,20.8865,9.9058
2017-02,24.3137,13.4199
2017-03,31.0414,12.5861
2017-04,30.4821,12.9516
2017-05,31.9579,13.7442
2017-06,33.7085,14.6714
2017-07,31.9992,16.2352
2017-08,29.4516,15.7466
2017-09,21.5736,17.3266
2017-10,17.9008,19.2474
2017-11,25.4467,22.0133
2017-12,24.4563,22.6523
2018-01,25.8655,28.4864
2018-02,18.6083,22.6807
2018-03,7.3431,18.8927
2018-04,6.6148,18.6249
2018-05,-4.7232,20.8091
2018-06,-9.9297,20.9812
2018-07,-8.411,24.5763
2018-08,-1.9809,27.7899
2018-09,-5.2473,27.6747
2018-10,-16.9312,18.1983
2018-11,-13.855,19.8597
2018-12,-24.0389,8.8011
2019-01,-14.5162,17.1215
2019-02,-19.213,20.4441
2019-03,-23.1818,22.1999
2019-04,-15.429,26.5012
2019-05,-8.8248,17.9266
2019-06,-5.3313,25.7011
2019-07,-2.6568,26.9004
2019-08,-9.5572,24.2426
2019-09,4.8869,26.142
2019-10,3.1827,28.3311
2019-11,11.2044,32.3256
2019-12,14.2388,35.5485
2020-01,5.0111,34.7719
2020-02,-8.1929,23.2511
2020-03,-15.7891,7.5779
2020-04,-16.5051,21.2186
2020-05,-17.1519,26.5774
2020-06,-25.3878,28.3766
2020-07,-26.6517,35.3325
2020-08,-20.5599,44.0777
2020-09,-32.3493,37.914
2020-10,-36.5154,33.7633
2020-11,-34.2112,47.7098
2020-12,-40.7956,52.3667
2021-01,-40.8317,49.9654
2021-02,-35.2246,53.2453
2021-03,-30.9681,60.4049
2021-04,-29.1822,67.83
2021-05,-22.7953,67.8968
2021-06,-28.9159,70.6358
2021-07,-34.3448,73.7106
2021-08,-19.9195,77.7187
2021-09,-24.0566,68.3779
2021-10,-29.8236,79.119
2021-11,-17.7626,76.6949
2021-12,-20.5503,83.6042
2022-01,-28.3072,72.9303
2022-02,-26.0096,66.8181
2022-03,-25.6282,72.1992
2022-04,-28.3693,56.2223
2022-05,-25.907,55.8933
2022-06,-40.1688,42.4002
2022-07,-38.2455,54.8512
2022-08,-42.014,47.8158
2022-09,-47.6323,33.7039
2022-10,-39.351,44.0824
2022-11,-43.6356,51.4429
2022-12,-45.4454,42.1877
2023-01,-38.2189,50.5828
2023-02,-33.6199,46.2373
2023-03,-38.8161,52.2586
2023-04,-42.4787,54.0684
2023-05,-46.4025,54.1996
2023-06,-40.5011,63.548
2023-07,-32.8443,68.1942
2023-08,-39.5892,64.7317
2023-09,-41.359,56.2636
2023-10,-51.0955,52.2886
2023-11,-62.6276,65.5989
2023-12,-39.9987,72.448
2024-01,-51.1589,74.4576
2024-02,-51.6715,82.7177
2024-03,-46.9204,89.0282
2024-04,-39.9076,80.6052
2024-05,-27.4018,88.8335
2024-06,-32.4002,96.0415
2024-07,-23.4365,97.3583
2024-08,-29.0865,101.128
2024-09,-4.7302,105.7758
2024-10,-3.7365,102.865
2024-11,-2.804,113.7798
2024-12,-11.9553,107.7813
2025-01,6.4564,112.3595
2025-02,20.1162,108.6721
2025-03,-1.7437,96.0839
2025-04,-13.6133,93.6359
2025-05,-31.7652,104.9003
2025-06,6.9767,114.5225
2025-07,25.7458,118.4064
2025-08,138.2251,121.8959
2025-09,192.9078,128.6764
2025-10,185.5574,133.0211
2025-11,178.0073,132.409
2025-12,310.082,131.4906
2026-01,324.46,133.7386
2026-02,330.4043,130.7823
2026-03,333.4173,117.6098
2026-04,353.0277,139.3863
2026-05,372.317,150.8374
2026-06,296.6645,146.9895
