Date,rate_NTAP_5D,rate_VOO_20D
2016-01,-14.858,-3.28
2016-02,4.9532,-1.8027
2016-03,12.4369,4.5695
2016-04,-4.2566,3.6217
2016-05,4.3049,4.6859
2016-06,0.0796,4.2011
2016-07,8.1871,7.3141
2016-08,40.3888,6.5393
2016-09,40.6157,5.8417
2016-10,30.1323,3.4057
2016-11,37.484,7.0013
2016-12,29.8809,8.6582
2017-01,39.2713,9.9058
2017-02,49.0069,13.4199
2017-03,45.6283,12.5861
2017-04,36.6111,12.9516
2017-05,36.5611,13.7442
2017-06,33.195,14.6714
2017-07,43.1537,16.2352
2017-08,25.5569,15.7466
2017-09,40.7096,17.3266
2017-10,41.5837,19.2474
2017-11,77.7672,22.0133
2017-12,70.865,22.6523
2018-01,87.3745,28.4864
2018-02,81.1259,22.6807
2018-03,81.4666,18.8927
2018-04,93.2636,18.6249
2018-05,94.9299,20.8091
2018-06,120.3228,20.9812
2018-07,114.7609,24.5763
2018-08,136.405,27.7899
2018-09,129.8127,27.6747
2018-10,107.5795,18.1983
2018-11,74.211,19.8597
2018-12,53.6295,8.8011
2019-01,63.649,17.1215
2019-02,65.4902,20.4441
2019-03,74.1614,22.1999
2019-04,81.9775,26.5012
2019-05,46.3346,17.9266
2019-06,51.3563,25.7011
2019-07,44.6515,26.9004
2019-08,18.0955,24.2426
2019-09,28.581,26.142
2019-10,37.3551,28.3311
2019-11,47.984,32.3256
2019-12,51.0064,35.5485
2020-01,29.8262,34.7719
2020-02,13.0762,23.2511
2020-03,0.6886,7.5779
2020-04,6.9346,21.2186
2020-05,8.8511,26.5774
2020-06,8.3522,28.3766
2020-07,9.2352,35.3325
2020-08,16.6672,44.0777
2020-09,7.6941,37.914
2020-10,8.9001,33.7633
2020-11,32.0586,47.7098
2020-12,63.3497,52.3667
2021-01,63.9756,49.9654
2021-02,53.5496,53.2453
2021-03,77.1684,60.4049
2021-04,81.9896,67.83
2021-05,87.2045,67.8968
2021-06,96.5762,70.6358
2021-07,91.0083,73.7106
2021-08,111.9063,77.7187
2021-09,112.239,68.3779
2021-10,110.7164,79.119
2021-11,108.1502,76.6949
2021-12,113.8648,83.6042
2022-01,100.8238,72.9303
2022-02,80.7132,66.8181
2022-03,90.2381,72.1992
2022-04,68.0075,56.2223
2022-05,64.1602,55.8933
2022-06,48.1096,42.4002
2022-07,62.4405,54.8512
2022-08,63.4494,47.8158
2022-09,39.5038,33.7039
2022-10,56.8034,44.0824
2022-11,52.325,51.4429
2022-12,34.7693,42.1877
2023-01,49.2696,50.5828
2023-02,44.8976,46.2373
2023-03,42.8166,52.2586
2023-04,41.3054,54.0684
2023-05,48.5526,54.1996
2023-06,70.3151,63.548
2023-07,74.2215,68.1942
2023-08,70.4812,64.7317
2023-09,67.8979,56.2636
2023-10,61.4528,52.2886
2023-11,101.8672,65.5989
2023-12,93.7148,72.448
2024-01,91.7438,74.4576
2024-02,94.9989,82.7177
2024-03,128.3459,89.0282
2024-04,122.1755,80.6052
2024-05,160.3514,88.8335
2024-06,176.7503,96.0415
2024-07,174.4682,97.3583
2024-08,159.4951,101.128
2024-09,163.9334,105.7758
2024-10,148.3049,102.865
2024-11,162.5743,113.7798
2024-12,147.1108,107.7813
2025-01,161.7974,112.3595
2025-02,112.8252,108.6721
2025-03,86.4237,96.0839
2025-04,92.9632,93.6359
2025-05,112.2656,104.9003
2025-06,127.0137,114.5225
2025-07,125.1874,118.4064
2025-08,142.902,121.8959
2025-09,153.8203,128.6764
2025-10,154.3912,133.0211
2025-11,139.7305,132.409
2025-12,129.0062,131.4906
2026-01,108.4117,133.7386
2026-02,113.2883,130.7823
2026-03,114.7675,129.7769
