Date,rate_ACN_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-3.7238,-1.8027
2016-03,10.6906,4.5695
2016-04,6.5245,3.6217
2016-05,10.7836,4.6859
2016-06,3.8684,4.2011
2016-07,2.8527,7.3141
2016-08,4.458,6.5393
2016-09,10.4083,5.8417
2016-10,5.1661,3.4057
2016-11,7.5455,7.0013
2016-12,4.9974,8.6582
2017-01,1.703,9.9058
2017-02,9.2629,13.4199
2017-03,6.2555,12.5861
2017-04,8.1812,12.9516
2017-05,10.4986,13.7442
2017-06,9.185,14.6714
2017-07,13.1919,16.2352
2017-08,14.1779,15.7466
2017-09,17.2627,17.3266
2017-10,23.8832,19.2474
2017-11,27.6837,22.0133
2017-12,30.9109,22.6523
2018-01,36.0973,28.4864
2018-02,34.973,22.6807
2018-03,27.5725,18.8927
2018-04,25.791,18.6249
2018-05,28.6194,20.8091
2018-06,34.0131,20.9812
2018-07,29.4665,24.5763
2018-08,36.3608,27.7899
2018-09,36.1592,27.6747
2018-10,26.2391,18.1983
2018-11,30.9438,19.8597
2018-12,11.5373,8.8011
2019-01,21.0878,17.1215
2019-02,26.6509,20.4441
2019-03,37.3357,22.1999
2019-04,42.6636,26.5012
2019-05,38.0917,17.9266
2019-06,42.337,25.7011
2019-07,47.2853,26.9004
2019-08,50.4232,24.2426
2019-09,44.9311,26.142
2019-10,39.4052,28.3311
2019-11,50.2519,32.3256
2019-12,56.1643,35.5485
2020-01,51.6676,34.7719
2020-02,32.6118,23.2511
2020-03,19.3313,7.5779
2020-04,35.5815,21.2186
2020-05,46.9521,26.5774
2020-06,55.5309,28.3766
2020-07,62.3216,35.3325
2020-08,72.0564,44.0777
2020-09,60.8868,37.914
2020-10,55.2913,33.7633
2020-11,77.2056,47.7098
2020-12,84.4421,52.3667
2021-01,70.1706,49.9654
2021-02,75.2498,53.2453
2021-03,91.5529,60.4049
2021-04,100.1465,67.83
2021-05,93.2706,67.8968
2021-06,100.4379,70.6358
2021-07,114.9159,73.7106
2021-08,125.8857,77.7187
2021-09,112.9861,68.3779
2021-10,137.6452,79.119
2021-11,134.813,76.6949
2021-12,170.1558,83.6042
2022-01,129.1127,72.9303
2022-02,103.2587,66.8181
2022-03,115.4184,72.1992
2022-04,91.1652,56.2223
2022-05,88.7813,55.8933
2022-06,74.5688,42.4002
2022-07,92.073,54.8512
2022-08,79.8503,47.8158
2022-09,59.5903,33.7039
2022-10,75.9349,44.0824
2022-11,85.5214,51.4429
2022-12,63.6367,42.1877
2023-01,71.0113,50.5828
2023-02,61.9274,46.2373
2023-03,73.4949,52.2586
2023-04,70.0045,54.0684
2023-05,84.6873,54.1996
2023-06,85.3447,63.548
2023-07,89.7116,68.1942
2023-08,93.1303,64.7317
2023-09,82.2454,56.2636
2023-10,76.2254,52.2886
2023-11,96.6502,65.5989
2023-12,106.0493,72.448
2024-01,113.2766,74.4576
2024-02,118.4313,82.7177
2024-03,100.9115,89.0282
2024-04,74.3444,80.6052
2024-05,62.8913,88.8335
2024-06,74.4082,96.0415
2024-07,89.9858,97.3583
2024-08,95.6033,101.128
2024-09,101.2483,105.7758
2024-10,96.2331,102.865
2024-11,105.2521,113.7798
2024-12,98.3212,107.7813
2025-01,116.8366,112.3595
2025-02,95.3615,108.6721
2025-03,74.1701,96.0839
2025-04,67.1671,93.6359
2025-05,76.3847,104.9003
2025-06,65.7902,114.5225
2025-07,48.4685,118.4064
2025-08,44.1746,121.8959
2025-09,36.4149,128.6764
2025-10,38.044,133.0211
2025-11,37.6693,132.409
2025-12,47.365,131.4906
2026-01,44.4239,133.7386
2026-02,14.0787,130.7823
2026-03,14.6024,127.7382
