Date,rate_ZS_5D,rate_VOO_20D
2018-03,0.0,-4.7674
2018-04,4.9897,-5.052
2018-05,-8.5543,-2.877
2018-06,25.0525,-2.7082
2018-07,16.5634,0.8261
2018-08,36.3689,3.9954
2018-09,26.7081,3.8942
2018-10,5.9528,-5.2812
2018-11,11.813,-3.6562
2018-12,9.0578,-14.6417
2019-01,33.4912,-6.3181
2019-02,34.2402,-2.9921
2019-03,77.1334,-1.2537
2019-04,72.0262,3.0514
2019-05,76.8805,-2.7186
2019-06,76.7387,2.1434
2019-07,82.4622,3.3
2019-08,68.9982,0.8577
2019-09,42.4268,2.7314
2019-10,30.5578,4.1946
2019-11,52.8934,8.17
2019-12,34.2324,11.3665
2020-01,59.8788,10.5881
2020-02,43.6357,-0.8803
2020-03,66.7397,-8.0273
2020-04,63.8913,6.4132
2020-05,78.44,5.0165
2020-06,85.0676,4.8201
2020-07,82.3606,10.2745
2020-08,78.9823,18.892
2020-09,70.4529,15.0335
2020-10,71.9278,10.8423
2020-11,77.5762,19.7435
2020-12,124.3058,24.2876
2021-01,110.9508,21.9026
2021-02,107.3745,19.8739
2021-03,84.9385,26.6372
2021-04,99.6297,33.697
2021-05,104.2255,31.4273
2021-06,124.3693,34.0618
2021-07,131.7967,37.0152
2021-08,155.5257,40.8073
2021-09,142.2196,32.3084
2021-10,186.8,42.3295
2021-11,201.1038,42.2895
2021-12,199.6197,45.2459
2022-01,135.2963,35.5623
2022-02,126.1866,30.0456
2022-03,141.1092,35.0813
2022-04,116.8766,29.0617
2022-05,116.8189,27.8519
2022-06,95.2787,14.8165
2022-07,87.6467,26.9419
2022-08,90.9955,20.1586
2022-09,96.2714,6.4773
2022-10,81.7085,16.4863
2022-11,56.2,23.6491
2022-12,39.0678,17.3537
2023-01,53.6392,25.5848
2023-02,63.7434,22.3247
2023-03,65.0154,26.4495
2023-04,25.1613,25.2474
2023-05,87.0461,24.9783
2023-06,100.4753,33.9932
2023-07,108.314,38.4985
2023-08,103.5811,36.3089
2023-09,100.044,28.1492
2023-10,104.9467,24.3378
2023-11,145.9531,37.26
2023-12,173.4256,43.911
2024-01,188.1905,45.8861
2024-02,193.1019,53.917
2024-03,131.4889,60.0701
2024-04,106.2381,51.963
2024-05,101.28,59.9644
2024-06,126.0945,66.968
2024-07,118.2692,67.7276
2024-08,145.6305,73.9825
2024-09,129.4624,75.0961
2024-10,146.0651,72.2949
2024-11,164.0492,82.7818
2024-12,128.9952,77.0297
2025-01,155.3214,81.4442
2025-02,145.5138,77.9147
2025-03,146.4585,65.831
2025-04,181.8542,65.468
2025-05,241.0134,76.4573
2025-06,273.138,85.832
2025-07,259.3332,89.609
2025-08,245.8413,88.9567
2025-09,271.1421,95.4639
2025-10,286.309,99.6499
2025-11,191.0617,99.1065
2025-12,158.5151,98.2565
2026-01,128.3997,100.4328
2026-02,66.9662,97.638
