Date,rate_ABNB_5D,rate_VOO_20D
2020-12,0.0,0.0
2021-01,1.3429,2.2993
2021-02,23.6795,1.7114
2021-03,26.0042,4.7189
2021-04,14.5025,7.5115
2021-05,2.3764,10.4246
2021-06,-14.803,9.3108
2021-07,-7.3973,11.1126
2021-08,-12.0259,11.765
2021-09,-2.9001,13.8273
2021-10,7.5912,8.3587
2021-11,7.8744,14.0401
2021-12,0.1362,10.5115
2022-01,2.2115,16.0144
2022-02,-3.807,9.5536
2022-03,-7.2039,3.4042
2022-04,6.8609,9.0197
2022-05,-5.764,-1.32
2022-06,-27.9684,-1.8258
2022-07,-42.4393,-8.1628
2022-08,-27.4023,-0.598
2022-09,-24.6402,-4.0969
2022-10,-29.1626,-13.0157
2022-11,-25.1465,-5.7293
2022-12,-29.5176,0.1245
2023-01,-39.4998,-5.639
2023-02,-17.3199,1.6235
2023-03,-11.6826,-2.4083
2023-04,-8.6473,2.4534
2023-05,-10.548,3.9212
2023-06,-17.0482,5.3584
2023-07,-4.5902,10.9591
2023-08,11.0204,13.8993
2023-09,-1.3728,12.2115
2023-10,2.0256,6.3159
2023-11,-11.2182,4.97
2023-12,0.6865,13.8601
2024-01,1.5002,17.9862
2024-02,9.1715,20.9694
2024-03,18.7719,26.2597
2024-04,21.0035,29.1359
2024-05,15.1713,23.034
2024-06,6.5515,29.0584
2024-07,11.3154,34.2115
2024-08,-1.0581,32.8314
2024-09,-14.062,37.1318
2024-10,-7.7595,38.8531
2024-11,0.4971,38.6039
2024-12,0.2269,45.2815
2025-01,-3.2404,40.9904
2025-02,-3.3544,43.9455
2025-03,2.3864,41.2718
2025-04,-10.6978,33.092
2025-05,-8.4076,31.836
2025-06,-4.5621,38.508
2025-07,0.2654,44.866
2025-08,-5.2127,44.9964
2025-09,-3.2629,49.6635
2025-10,-9.2963,54.634
2025-11,-6.0058,56.8247
2025-12,-11.6626,55.4981
2026-01,1.1353,55.4222
2026-02,16.569,76.7893
