Date,rate_CTSH_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-8.7756,-0.6039
2016-03,2.5797,5.2168
2016-04,-5.2691,3.9893
2016-05,0.6589,4.6886
2016-06,-6.3097,4.1237
2016-07,-5.0573,7.1795
2016-08,-4.7738,6.3603
2016-09,-20.4346,5.6281
2016-10,-12.828,3.196
2016-11,-5.3271,6.7601
2016-12,-3.135,8.3626
2017-01,-9.069,10.2536
2017-02,3.2237,13.6522
2017-03,3.2792,12.7005
2017-04,4.4087,12.9818
2017-05,15.8727,13.693
2017-06,13.9939,13.5288
2017-07,18.1277,15.0481
2017-08,19.8343,14.5515
2017-09,21.7784,16.1037
2017-10,25.9249,17.9557
2017-11,19.5127,20.6805
2017-12,16.6333,21.3029
2018-01,28.0416,28.0338
2018-02,33.7682,22.1441
2018-03,30.0175,18.3021
2018-04,31.0197,18.0902
2018-05,19.9135,20.2208
2018-06,24.8531,20.3415
2018-07,27.894,23.8746
2018-08,22.4565,27.0072
2018-09,20.464,27.7347
2018-10,7.1951,18.1437
2018-11,10.6786,19.7418
2018-12,-1.6971,8.5778
2019-01,7.9035,17.1263
2019-02,9.9538,20.3748
2019-03,11.8727,22.0514
2019-04,12.2624,26.2651
2019-05,-4.6494,17.5943
2019-06,-2.2212,25.308
2019-07,0.486,26.4355
2019-08,-5.0533,23.7232
2019-09,-6.7781,26.1617
2019-10,-5.6053,28.2707
2019-11,-0.2711,32.1761
2019-12,-3.5059,35.3247
2020-01,-4.5016,35.2749
2020-02,-4.8094,23.5454
2020-03,-27.3221,7.7105
2020-04,-8.2786,21.425
2020-05,-15.656,26.7132
2020-06,-9.239,28.4357
2020-07,9.3539,35.3124
2020-08,7.1861,43.9511
2020-09,11.1255,37.6938
2020-10,14.0969,33.4637
2020-11,24.8737,47.2943
2020-12,30.464,51.8455
2021-01,24.1011,50.305
2021-02,16.926,53.4604
2021-03,23.9322,59.4101
2021-04,27.09,66.6882
2021-05,13.0396,66.6274
2021-06,9.1936,69.2184
2021-07,15.7368,72.1455
2021-08,20.206,75.992
2021-09,16.5611,66.6118
2021-10,22.3449,77.1553
2021-11,22.1931,74.6519
2021-12,38.6407,81.397
2022-01,32.9036,70.7122
2022-02,33.9051,64.6001
2022-03,38.8861,69.8532
2022-04,24.7864,54.0273
2022-05,15.3141,53.6333
2022-06,3.9927,40.2902
2022-07,4.6434,52.5094
2022-08,-2.3736,45.531
2022-09,-11.2079,31.5965
2022-10,-3.6617,41.7445
2022-11,-3.2701,48.9584
2022-12,-11.0512,39.838
2023-01,3.8103,48.5632
2023-02,-2.2286,44.2258
2023-03,-4.8551,48.9578
2023-04,-6.7141,50.6836
2023-05,-1.8419,50.7741
2023-06,2.5626,59.884
2023-07,3.6981,64.3798
2023-08,12.8618,60.953
2023-09,6.6125,52.6248
2023-10,1.3886,48.7132
2023-11,11.1004,61.6976
2023-12,19.0733,68.3392
2024-01,21.5794,71.0275
2024-02,24.7808,79.0476
2024-03,15.4779,83.99
2024-04,3.3577,75.7344
2024-05,4.532,83.6813
2024-06,7.4044,89.2836
2024-07,19.4408,90.5002
2024-08,22.9859,94.0822
2024-09,22.0569,98.2932
2024-10,17.7538,95.412
2024-11,27.3321,105.8418
2024-12,21.3763,99.9875
2025-01,30.3841,105.351
2025-02,31.6896,101.7087
2025-03,20.5979,89.4719
2025-04,15.78,87.0451
2025-05,27.74,97.8575
2025-06,22.8181,107.0685
2025-07,12.7212,110.7404
2025-08,13.8658,114.0337
2025-09,5.7406,121.6081
2025-10,14.8444,125.7153
2025-11,22.7924,125.0226
2025-12,30.921,124.0393
2026-01,29.4388,127.2713
2026-02,14.7809,125.3185
