Date,rate_AEP_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,5.8259,-3.7423
2016-03,3.6954,0.3764
2016-04,11.1909,5.1946
2016-05,2.6918,3.5695
2016-06,7.0713,4.8356
2016-07,14.4397,4.3651
2016-08,11.0329,7.2005
2016-09,2.7759,6.5176
2016-10,2.1374,5.8316
2016-11,0.5963,2.6321
2016-12,-6.811,6.5262
2017-01,1.4844,8.6002
2017-02,1.5718,9.8701
2017-03,7.2736,14.9815
2017-04,8.4123,12.5254
2017-05,8.4267,13.1716
2017-06,16.451,14.581
2017-07,11.1468,14.626
2017-08,12.385,16.4591
2017-09,17.3155,15.9061
2017-10,11.2582,17.2911
2017-11,16.6858,19.4181
2017-12,21.988,21.7575
2018-01,15.3144,22.6249
2018-02,5.7646,28.3844
2018-03,3.0499,21.0506
2018-04,7.5911,18.8566
2018-05,8.6463,18.843
2018-06,5.0058,22.0592
2018-07,8.8752,20.962
2018-08,10.2321,24.4135
2018-09,13.1143,27.7869
2018-10,11.4087,28.1445
2018-11,14.313,19.3954
2018-12,22.3927,19.8359
2019-01,17.0679,8.7501
2019-02,23.4216,17.203
2019-03,27.3974,21.2677
2019-04,28.9015,23.6016
2019-05,31.4729,25.5902
2019-06,33.5339,17.8911
2019-07,35.8299,26.7327
2019-08,36.036,25.8061
2019-09,39.7975,24.2046
2019-10,42.0645,24.595
2019-11,41.6627,29.5299
2019-12,38.5021,32.3145
2020-01,42.4601,35.5516
2020-02,56.1387,34.7733
2020-03,35.8863,23.2161
2020-04,12.9307,2.6957
2020-05,22.9856,17.923
2020-06,30.7562,27.1545
2020-07,23.9269,29.2791
2020-08,30.8393,35.3897
2020-09,19.8494,45.4969
2020-10,27.5426,38.8421
2020-11,37.5758,33.8054
2020-12,30.8769,49.4413
2021-01,27.3916,52.4925
2021-02,23.7548,52.5474
2021-03,17.7015,57.1165
2021-04,30.9337,62.2404
2021-05,35.283,68.0147
2021-06,32.6275,67.9506
2021-07,32.3767,71.7835
2021-08,36.3162,73.9065
2021-09,40.5882,78.108
2021-10,25.8893,70.559
2021-11,31.3019,79.7147
2021-12,24.6034,74.8714
2022-01,37.7097,83.8439
2022-02,36.2357,74.2485
2022-03,39.8009,64.4857
2022-04,56.7128,72.8765
2022-05,52.2778,56.3809
2022-06,57.2723,54.7432
2022-07,50.2613,43.9638
2022-08,51.3805,54.5402
2022-09,56.9125,48.4061
2022-10,31.9021,33.808
2022-11,34.676,43.6413
2022-12,47.572,51.6237
2023-01,44.672,42.3283
2023-02,43.6899,52.4008
2023-03,31.8957,45.8599
2023-04,38.5782,52.4428
2023-05,40.6588,54.1535
2023-06,25.3712,55.8684
2023-07,28.4116,63.7729
2023-08,27.8397,67.9151
2023-09,18.9152,65.3142
2023-10,15.1874,56.4671
2023-11,16.9515,54.158
2023-12,24.2688,66.8181
2024-01,25.1073,72.7134
2024-02,22.4956,77.0248
2024-03,31.7467,84.7703
2024-04,30.7588,89.0895
2024-05,35.9884,80.3005
2024-06,40.2163,89.1407
2024-07,35.2184,96.817
2024-08,56.4482,94.9948
2024-09,58.4916,101.4737
2024-10,60.9848,104.2286
2024-11,52.6094,104.0979
2024-12,60.5634,114.1559
2025-01,47.7724,108.1307
2025-02,57.1256,112.719
2025-03,70.3299,109.0154
2025-04,73.4062,97.097
2025-05,71.4268,95.2965
2025-06,68.7927,105.2137
2025-07,69.6466,114.7559
2025-08,83.9216,115.142
2025-09,83.5683,122.2543
2025-10,85.698,129.8729
2025-11,97.2913,133.4127
2025-12,98.4334,131.7276
2026-01,89.0839,131.8756
2026-02,101.9616,120.852
