Date,rate_ALGN_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,4.9985,-3.7423
2016-03,2.9194,0.3764
2016-04,9.6623,5.1946
2016-05,6.003,3.5695
2016-06,14.9864,4.8356
2016-07,17.1855,4.3651
2016-08,24.6534,7.2005
2016-09,27.0754,6.5176
2016-10,24.0427,5.8316
2016-11,9.7056,2.6321
2016-12,19.0831,6.5262
2017-01,22.0422,8.6002
2017-02,21.741,9.8701
2017-03,28.3125,14.9815
2017-04,39.6653,12.5254
2017-05,59.8659,13.1716
2017-06,70.6415,14.581
2017-07,71.5216,14.626
2017-08,89.33,16.4591
2017-09,92.4414,15.9061
2017-10,98.5782,17.2911
2017-11,144.8173,19.4181
2017-12,157.9268,21.7575
2018-01,119.8046,22.6249
2018-02,147.3095,28.3844
2018-03,132.1661,21.0506
2018-04,132.4319,18.8566
2018-05,127.889,18.843
2018-06,196.1625,22.0592
2018-07,197.4893,20.962
2018-08,200.9515,24.4135
2018-09,221.9861,27.7869
2018-10,219.3591,28.1445
2018-11,84.5762,19.3954
2018-12,81.3209,19.8359
2019-01,63.1231,8.7501
2019-02,88.0585,17.203
2019-03,100.4683,21.2677
2019-04,114.2708,23.6016
2019-05,138.243,25.5902
2019-06,107.8326,17.8911
2019-07,96.1167,26.7327
2019-08,44.4031,25.8061
2019-09,29.7576,24.2046
2019-10,28.5231,24.595
2019-11,80.3381,29.5299
2019-12,92.7338,32.3145
2020-01,91.9693,35.5516
2020-02,75.1442,34.7733
2020-03,47.4685,23.2161
2020-04,5.4977,2.6957
2020-05,36.2696,17.923
2020-06,67.1279,27.1545
2020-07,81.3027,29.2791
2020-08,92.9429,35.3897
2020-09,98.8397,45.4969
2020-10,104.9641,38.8421
2020-11,172.5332,33.8054
2020-12,216.4443,49.4413
2021-01,234.2789,52.4925
2021-02,235.7977,52.5474
2021-03,245.4793,57.1165
2021-04,229.4559,62.2404
2021-05,256.0496,68.0147
2021-06,250.8968,67.9506
2021-07,261.9957,71.7835
2021-08,302.5376,73.9065
2021-09,311.2002,78.108
2021-10,274.6275,70.559
2021-11,270.3669,79.7147
2021-12,233.7676,74.8714
2022-01,260.6415,83.8439
2022-02,176.3191,74.2485
2022-03,169.8467,64.4857
2022-04,138.4389,72.8765
2022-05,53.6644,56.3809
2022-06,39.9126,54.7432
2022-07,30.0264,43.9638
2022-08,48.2421,54.5402
2022-09,28.2813,48.4061
2022-10,7.8204,33.808
2022-11,0.416,43.6413
2022-12,4.9398,51.6237
2023-01,9.6255,42.3283
2023-02,46.7055,52.4008
2023-03,59.6118,45.8599
2023-04,72.1173,52.4428
2023-05,62.679,54.1535
2023-06,51.6987,55.8684
2023-07,79.8224,63.7729
2023-08,90.5721,67.9151
2023-09,88.7207,65.3142
2023-10,52.9171,56.4671
2023-11,-8.5792,54.158
2023-12,10.1108,66.8181
2024-01,36.7258,72.7134
2024-02,36.0377,77.0248
2024-03,48.8845,84.7703
2024-04,58.1039,89.0895
2024-05,40.21,80.3005
2024-06,26.391,89.1407
2024-07,17.0249,96.817
2024-08,11.8099,94.9948
2024-09,16.0443,101.4737
2024-10,19.8623,104.2286
2024-11,1.7387,104.0979
2024-12,13.5187,114.1559
2025-01,1.5745,108.1307
2025-02,6.7221,112.719
2025-03,-8.9561,109.0154
2025-04,-22.9812,97.097
2025-05,-13.6613,95.2965
2025-06,-11.4868,105.2137
2025-07,-4.8538,114.7559
2025-08,-33.112,115.142
2025-09,-30.1507,122.2543
2025-10,-37.025,129.8729
2025-11,-31.5704,133.4127
2025-12,-26.9017,131.7276
2026-01,-21.9658,131.8756
2026-02,-4.6054,131.1612
