Date,rate_PHM_5D,rate_VOO_20D
2016-01,1.2421,1.4254
2016-02,-1.6234,0.6142
2016-03,6.7869,6.1243
2016-04,3.7342,4.6014
2016-05,4.6706,5.2878
2016-06,4.7083,4.687
2016-07,13.0427,7.7174
2016-08,11.9887,6.8637
2016-09,4.5798,5.9421
2016-10,-3.3693,3.4868
2016-11,-1.6836,6.843
2016-12,-4.452,8.2789
2017-01,11.9271,9.3935
2017-02,13.9322,12.821
2017-03,20.5279,12.0413
2017-04,14.7417,12.4367
2017-05,13.8534,13.2406
2017-06,22.0926,14.1802
2017-07,20.3823,15.6892
2017-08,26.0947,15.2834
2017-09,32.1389,16.8657
2017-10,44.5384,18.7799
2017-11,61.0135,21.509
2017-12,54.4128,22.1709
2018-01,45.6098,27.9258
2018-02,27.0971,22.2578
2018-03,32.3651,18.4465
2018-04,35.0734,18.162
2018-05,33.3233,20.337
2018-06,25.6419,20.5057
2018-07,23.6703,24.0401
2018-08,20.5063,27.2093
2018-09,6.1965,27.1082
2018-10,5.3203,17.9327
2018-11,13.5104,19.5577
2018-12,8.6617,8.5722
2019-01,16.0149,16.8959
2019-02,12.2671,20.2219
2019-03,13.1881,21.9603
2019-04,26.9901,26.2654
2019-05,22.4099,20.4953
2019-06,20.6257,25.3574
2019-07,17.3582,26.514
2019-08,22.6436,24.0717
2019-09,32.4762,25.9454
2019-10,41.4256,27.4086
2019-11,42.0029,31.384
2019-12,38.5275,34.5804
2020-01,58.4902,33.8021
2020-02,57.4441,22.3336
2020-03,25.4986,15.1867
2020-04,58.7958,29.6272
2020-05,69.2564,28.2305
2020-06,76.353,28.0341
2020-07,122.6235,33.4885
2020-08,124.5575,42.106
2020-09,122.9786,38.2475
2020-10,116.6439,34.0563
2020-11,111.7819,42.9575
2020-12,105.7387,47.5016
2021-01,105.6556,45.1166
2021-02,99.1825,43.0879
2021-03,124.7005,49.8512
2021-04,151.091,56.911
2021-05,135.837,54.6413
2021-06,121.3163,57.2758
2021-07,120.6803,60.2291
2021-08,107.8098,64.0213
2021-09,77.3799,55.5224
2021-10,84.5561,65.5435
2021-11,94.5429,65.5034
2021-12,101.2039,68.4598
2022-01,83.3174,58.7763
2022-02,71.1229,53.2596
2022-03,45.992,58.2953
2022-04,44.2205,52.2757
2022-05,48.0984,51.0659
2022-06,37.5099,38.0304
2022-07,50.6276,50.1558
2022-08,39.7963,43.3725
2022-09,28.9707,29.6913
2022-10,31.9949,39.7003
2022-11,47.3566,46.8631
2022-12,40.6653,40.5677
2023-01,69.5809,48.7988
2023-02,64.1612,45.5387
2023-03,74.6289,49.6635
2023-04,100.2274,48.4614
2023-05,98.5853,48.1923
2023-06,126.1292,57.2072
2023-07,131.7241,61.7125
2023-08,129.2984,59.5229
2023-09,111.4168,51.3631
2023-10,105.4756,47.5518
2023-11,145.3576,60.474
2023-12,185.0472,67.125
2024-01,186.7654,69.1001
2024-02,195.2615,77.1309
2024-03,226.9296,83.2841
2024-04,202.1868,75.177
2024-05,216.053,83.1784
2024-06,195.6874,90.182
2024-07,252.258,90.9416
2024-08,242.9259,97.1965
2024-09,251.4743,98.31
2024-10,209.5476,95.5089
2024-11,215.5916,105.9957
2024-12,152.9687,100.2436
2025-01,162.8375,104.6582
2025-02,137.317,101.1287
2025-03,135.4734,89.045
2025-04,137.2728,88.6819
2025-05,125.5819,99.6712
2025-06,141.9682,109.046
2025-07,141.0264,112.823
2025-08,168.4336,112.1707
2025-09,170.9645,118.6779
2025-10,141.3828,122.8639
2025-11,154.8616,122.3204
2025-12,134.2881,121.4705
2026-01,148.7245,123.6468
2026-02,171.4234,120.852
