Date,rate_CTRA_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,16.8814,-3.7423
2016-03,10.6576,0.3764
2016-04,14.8254,5.1946
2016-05,15.4865,3.5695
2016-06,18.564,4.8356
2016-07,20.8819,4.3651
2016-08,8.3004,7.2005
2016-09,10.6401,6.5176
2016-10,15.4425,5.8316
2016-11,-9.3308,2.6321
2016-12,1.7997,6.5262
2017-01,4.001,8.6002
2017-02,-7.7217,9.8701
2017-03,1.0457,14.9815
2017-04,6.7748,12.5254
2017-05,5.8559,13.1716
2017-06,-1.5873,14.581
2017-07,11.5241,14.626
2017-08,12.1505,16.4591
2017-09,18.3992,15.9061
2017-10,16.9932,17.2911
2017-11,21.2559,19.4181
2017-12,23.8627,21.7575
2018-01,22.5213,22.6249
2018-02,11.666,28.3844
2018-03,5.7799,21.0506
2018-04,1.5803,18.8566
2018-05,1.4779,18.843
2018-06,-2.3,22.0592
2018-07,1.0421,20.962
2018-08,-1.1591,24.4135
2018-09,1.4212,27.7869
2018-10,-5.1339,28.1445
2018-11,3.7486,19.3954
2018-12,7.3841,19.8359
2019-01,-4.794,8.7501
2019-02,7.2335,17.203
2019-03,7.766,21.2677
2019-04,10.2492,23.6016
2019-05,7.9071,25.5902
2019-06,6.566,17.8911
2019-07,-2.1414,26.7327
2019-08,-20.305,25.8061
2019-09,-26.3506,24.2046
2019-10,-23.7731,24.595
2019-11,-19.5479,29.5299
2019-12,-29.6208,32.3145
2020-01,-22.4591,35.5516
2020-02,-36.4285,34.7733
2020-03,-36.4325,23.2161
2020-04,-23.2148,2.6957
2020-05,-6.1548,17.923
2020-06,-7.3881,27.1545
2020-07,-20.4897,29.2791
2020-08,-12.1309,35.3897
2020-09,-11.9632,45.4969
2020-10,-20.0151,38.8421
2020-11,-15.1905,33.8054
2020-12,-16.417,49.4413
2021-01,-21.4528,52.4925
2021-02,-9.3263,52.5474
2021-03,-7.9579,57.1165
2021-04,-6.7092,62.2404
2021-05,-18.4453,68.0147
2021-06,-18.654,67.9506
2021-07,-11.4802,71.7835
2021-08,-20.5023,73.9065
2021-09,-18.357,78.108
2021-10,12.0807,70.559
2021-11,11.102,79.7147
2021-12,6.0601,74.8714
2022-01,1.9975,83.8439
2022-02,19.0888,74.2485
2022-03,30.45,64.4857
2022-04,53.6383,72.8765
2022-05,62.4588,56.3809
2022-06,100.9491,54.7432
2022-07,49.3831,43.9638
2022-08,67.0618,54.5402
2022-09,80.8939,48.4061
2022-10,55.4267,33.808
2022-11,82.1802,43.6413
2022-12,65.6332,51.6237
2023-01,47.6589,42.3283
2023-02,46.9174,52.4008
2023-03,50.5459,45.8599
2023-04,49.1913,52.4428
2023-05,54.0788,54.1535
2023-06,39.776,55.8684
2023-07,53.465,63.7729
2023-08,66.7743,67.9151
2023-09,72.4246,65.3142
2023-10,63.1398,56.4671
2023-11,65.4701,54.158
2023-12,57.5427,66.8181
2024-01,53.2187,72.7134
2024-02,47.2849,77.0248
2024-03,54.7914,84.7703
2024-04,67.6644,89.0895
2024-05,60.4277,80.3005
2024-06,70.6381,89.1407
2024-07,58.145,96.817
2024-08,50.8108,94.9948
2024-09,45.2317,101.4737
2024-10,43.7275,104.2286
2024-11,34.7686,104.0979
2024-12,59.425,114.1559
2025-01,51.8565,108.1307
2025-02,64.3011,112.719
2025-03,59.4042,109.0154
2025-04,72.4064,97.097
2025-05,47.0605,95.2965
2025-06,44.5222,105.2137
2025-07,48.754,114.7559
2025-08,40.1116,115.142
2025-09,45.4263,122.2543
2025-10,42.1874,129.8729
2025-11,40.0533,133.4127
2025-12,60.4429,131.7276
2026-01,56.1983,131.8756
2026-02,80.3829,131.1612
