Date,rate_AMZN_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-9.8517,-3.7423
2016-03,-4.2765,0.3764
2016-04,0.3795,5.1946
2016-05,10.4933,3.5695
2016-06,18.2084,4.8356
2016-07,16.1558,4.3651
2016-08,20.4313,7.2005
2016-09,18.307,6.5176
2016-10,26.3232,5.8316
2016-11,16.0146,2.6321
2016-12,8.4591,6.5262
2017-01,8.6471,8.6002
2017-02,19.8506,9.8701
2017-03,21.375,14.9815
2017-04,24.6478,12.5254
2017-05,31.6671,13.1716
2017-06,36.3306,14.581
2017-07,30.5375,14.626
2017-08,32.6796,16.4591
2017-09,28.6807,15.9061
2017-10,25.1109,17.2911
2017-11,42.3182,19.4181
2017-12,47.9413,21.7575
2018-01,46.8335,22.6249
2018-02,72.291,28.3844
2018-03,82.1222,21.0506
2018-04,73.5479,18.8566
2018-05,86.8505,18.843
2018-06,90.7403,22.0592
2018-07,94.3744,20.962
2018-08,102.2866,24.4135
2018-09,122.9642,27.7869
2018-10,118.3254,28.1445
2018-11,78.524,19.3954
2018-12,78.8855,19.8359
2019-01,57.0169,8.7501
2019-02,68.3357,17.203
2019-03,71.1942,21.2677
2019-04,83.799,23.6016
2019-05,91.4497,25.5902
2019-06,75.7099,17.8911
2019-07,88.3184,26.7327
2019-08,79.7824,25.8061
2019-09,70.3861,24.2046
2019-10,64.9573,24.595
2019-11,68.7999,29.5299
2019-12,68.2082,32.3145
2020-01,71.1419,35.5516
2020-02,84.4616,34.7733
2020-03,71.3996,23.2161
2020-04,72.159,2.6957
2020-05,104.6368,17.923
2020-06,119.0611,27.1545
2020-07,152.63,29.2791
2020-08,174.6744,35.3897
2020-09,200.2509,45.4969
2020-10,173.1726,38.8421
2020-11,154.6589,33.8054
2020-12,167.3042,49.4413
2021-01,167.5412,52.4925
2021-02,171.7809,52.5474
2021-03,153.1765,57.1165
2021-04,151.9279,62.2404
2021-05,173.7435,68.0147
2021-06,151.6211,67.9506
2021-07,165.9239,71.7835
2021-08,155.3591,73.9065
2021-09,164.5881,78.108
2021-10,147.449,70.559
2021-11,147.9454,79.7147
2021-12,155.1675,74.8714
2022-01,144.9748,83.8439
2022-02,120.3622,74.2485
2022-03,118.6598,64.4857
2022-04,134.9116,72.8765
2022-05,77.1484,56.3809
2022-06,72.4637,54.7432
2022-07,54.4426,43.9638
2022-08,90.001,54.5402
2022-09,78.3143,48.4061
2022-10,56.7839,33.808
2022-11,33.6989,43.6413
2022-12,31.5152,51.6237
2023-01,15.3472,42.3283
2023-02,44.1625,52.4008
2023-03,25.9156,45.8599
2023-04,40.7717,52.4428
2023-05,38.6229,54.1535
2023-06,66.2451,55.8684
2023-07,75.7402,63.7729
2023-08,76.6913,67.9151
2023-09,84.4431,65.3142
2023-10,68.9172,56.4671
2023-11,81.2545,54.158
2023-12,93.6054,66.8181
2024-01,99.062,72.7134
2024-02,107.6067,77.0248
2024-03,131.0636,84.7703
2024-04,133.2836,89.0895
2024-05,129.4248,80.3005
2024-06,124.8796,89.1407
2024-07,149.9695,96.817
2024-08,131.9661,94.9948
2024-09,123.7153,101.4737
2024-10,130.8017,104.2286
2024-11,145.4392,104.0979
2024-12,156.3613,114.1559
2025-01,169.0137,108.1307
2025-02,189.7599,112.719
2025-03,157.2527,109.0154
2025-04,131.599,97.097
2025-05,128.061,95.2965
2025-06,144.5966,105.2137
2025-07,161.665,114.7559
2025-08,153.5176,115.142
2025-09,168.9279,122.2543
2025-10,157.7066,129.8729
2025-11,183.7805,133.4127
2025-12,170.2858,131.7276
2026-01,165.3482,131.8756
2026-02,140.3145,120.852
