Date,rate_DX-Y.NYB_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-0.7251,-1.8027
2016-03,-4.1499,4.5695
2016-04,-4.6288,3.6217
2016-05,-0.8376,4.6859
2016-06,-0.3618,4.2011
2016-07,-0.8671,7.3141
2016-08,-0.2759,6.5393
2016-09,-0.7824,5.8417
2016-10,2.3758,3.4057
2016-11,5.395,7.0013
2016-12,5.9032,8.6582
2017-01,2.5032,9.9058
2017-02,3.9595,13.4199
2017-03,2.866,12.5861
2017-04,1.3624,12.9516
2017-05,-0.8907,13.7442
2017-06,-2.1376,14.6714
2017-07,-4.8844,16.2352
2017-08,-4.8445,15.7466
2017-09,-4.2004,17.3266
2017-10,-2.4995,19.2474
2017-11,-3.9909,22.0133
2017-12,-4.7357,22.6523
2018-01,-7.6321,28.4864
2018-02,-5.7807,22.6807
2018-03,-6.0335,18.8927
2018-04,-4.0556,18.6249
2018-05,-1.6926,20.8091
2018-06,-0.975,20.9812
2018-07,-1.09,24.5763
2018-08,-0.3814,27.7899
2018-09,-0.3178,27.6747
2018-10,1.714,18.1983
2018-11,1.838,19.8597
2018-12,0.6381,8.8011
2019-01,0.0054,17.1215
2019-02,0.611,20.4441
2019-03,1.7547,22.1999
2019-04,1.9202,26.5012
2019-05,2.1493,17.9266
2019-06,0.4088,25.7011
2019-07,2.8728,26.9004
2019-08,3.2269,24.2426
2019-09,3.6336,26.142
2019-10,1.4506,28.3311
2019-11,2.3793,32.3256
2019-12,0.3753,35.5485
2020-01,1.4065,34.7719
2020-02,2.1465,23.2511
2020-03,3.0603,7.5779
2020-04,2.9584,21.2186
2020-05,2.2011,26.5774
2020-06,1.1846,28.3766
2020-07,-2.8753,35.3325
2020-08,-4.2246,44.0777
2020-09,-2.3369,37.914
2020-10,-2.1377,33.7633
2020-11,-4.3562,47.7098
2020-12,-6.2805,52.3667
2021-01,-5.5113,49.9654
2021-02,-5.0656,53.2453
2021-03,-2.5885,60.4049
2021-04,-4.5783,67.83
2021-05,-5.8137,67.8968
2021-06,-3.2027,70.6358
2021-07,-3.4401,73.7106
2021-08,-2.9079,77.7187
2021-09,-1.1679,68.3779
2021-10,-1.2841,79.119
2021-11,0.6972,76.6949
2021-12,0.3516,83.6042
2022-01,1.2574,72.9303
2022-02,1.4205,66.8181
2022-03,3.0669,72.1992
2022-04,7.8865,56.2223
2022-05,6.5191,55.8933
2022-06,9.4971,42.4002
2022-07,10.6339,54.8512
2022-08,13.4255,47.8158
2022-09,16.8081,33.7039
2022-10,15.9901,44.0824
2022-11,10.0095,51.4429
2022-12,7.3867,42.1877
2023-01,5.8296,50.5828
2023-02,8.6387,46.2373
2023-03,6.1048,52.2586
2023-04,5.1677,54.0684
2023-05,7.8406,54.1996
2023-06,6.3072,63.548
2023-07,5.1556,68.1942
2023-08,6.9083,64.7317
2023-09,9.4521,56.2636
2023-10,9.8555,52.2886
2023-11,6.5033,65.5989
2023-12,4.2091,72.448
2024-01,6.1577,74.4576
2024-02,7.0096,82.7177
2024-03,7.3417,89.0282
2024-04,8.9752,80.6052
2024-05,7.3037,88.8335
2024-06,8.4602,96.0415
2024-07,6.5683,97.3583
2024-08,4.049,101.128
2024-09,3.0712,105.7758
2024-10,6.3048,102.865
2024-11,8.0392,113.7798
2024-12,10.7682,107.7813
2025-01,10.5473,112.3595
2025-02,9.6775,108.6721
2025-03,6.1321,96.0839
2025-04,1.2565,93.6359
2025-05,1.097,104.9003
2025-06,-1.4036,114.5225
2025-07,1.8112,118.4064
2025-08,-0.4899,121.8959
2025-09,-0.4857,128.6764
2025-10,1.5817,133.0211
2025-11,1.2229,132.409
2025-12,0.0145,131.4906
2026-01,-1.2971,133.7386
2026-02,-0.6562,130.7823
2026-03,1.7373,117.6098
2026-04,-0.1845,139.3863
2026-05,0.6592,150.8374
2026-06,2.9496,146.5232
2026-07,1.5338,145.3136
2026-08,1.3685,150.8431
