Date,rate_EFX_5D,rate_VOO_20D
2016-01,-3.285,-3.28
2016-02,-2.9734,-1.8027
2016-03,6.2026,4.5695
2016-04,9.4969,3.6217
2016-05,12.7108,4.6859
2016-06,12.938,4.2011
2016-07,14.5611,7.3141
2016-08,12.5966,6.5393
2016-09,13.3383,5.8417
2016-10,3.1973,3.4057
2016-11,-4.6721,7.0013
2016-12,-0.9146,8.6582
2017-01,-1.6332,9.9058
2017-02,10.0454,13.4199
2017-03,14.2606,12.5861
2017-04,12.1898,12.9516
2017-05,13.0229,13.7442
2017-06,12.7566,14.6714
2017-07,18.5858,16.2352
2017-08,15.5507,15.7466
2017-09,-14.5147,17.3266
2017-10,-11.7997,19.2474
2017-11,-6.1573,22.0133
2017-12,-2.7326,22.6523
2018-01,3.1526,28.4864
2018-02,-6.764,22.6807
2018-03,-1.5245,18.8927
2018-04,-6.2639,18.6249
2018-05,-4.1591,20.8091
2018-06,5.334,20.9812
2018-07,5.489,24.5763
2018-08,12.7447,27.7899
2018-09,9.5146,27.6747
2018-10,-15.1027,18.1983
2018-11,-13.0733,19.8597
2018-12,-20.7934,8.8011
2019-01,-8.3687,17.1215
2019-02,-6.0406,20.4441
2019-03,2.1255,22.1999
2019-04,8.4533,26.5012
2019-05,4.2752,17.9266
2019-06,16.4988,25.7011
2019-07,19.4004,26.9004
2019-08,25.5383,24.2426
2019-09,20.1109,26.142
2019-10,16.3492,28.3311
2019-11,18.7831,32.3256
2019-12,18.7975,35.5485
2020-01,26.657,34.7719
2020-02,19.5214,23.2511
2020-03,0.5515,7.5779
2020-04,17.0011,21.2186
2020-05,29.3016,26.5774
2020-06,44.071,28.3766
2020-07,35.4901,35.3325
2020-08,39.9107,44.0777
2020-09,29.8098,37.914
2020-10,12.5894,33.7633
2020-11,37.5523,47.7098
2020-12,58.1532,52.3667
2021-01,44.4096,49.9654
2021-02,32.2781,53.2453
2021-03,47.3341,60.4049
2021-04,85.4388,67.83
2021-05,89.094,67.8968
2021-06,91.321,70.6358
2021-07,106.6599,73.7106
2021-08,114.2482,77.7187
2021-09,99.1104,68.3779
2021-10,116.358,79.119
2021-11,115.9632,76.6949
2021-12,125.2188,83.6042
2022-01,83.0406,72.9303
2022-02,66.8491,66.8181
2022-03,80.1819,72.1992
2022-04,53.825,56.2223
2022-05,52.7131,55.8933
2022-06,37.2227,42.4002
2022-07,56.2425,54.8512
2022-08,40.5337,47.8158
2022-09,28.3512,33.7039
2022-10,26.5961,44.0824
2022-11,47.2576,51.4429
2022-12,44.4275,42.1877
2023-01,64.4737,50.5828
2023-02,49.5188,46.2373
2023-03,49.1894,52.2586
2023-04,52.6847,54.0684
2023-05,52.5688,54.1996
2023-06,71.402,63.548
2023-07,48.0087,68.1942
2023-08,49.3879,64.7317
2023-09,32.2174,56.2636
2023-10,22.0868,52.2886
2023-11,56.9855,65.5989
2023-12,77.5889,72.448
2024-01,74.6815,74.4576
2024-02,94.9756,82.7177
2024-03,89.7287,89.0282
2024-04,55.4909,80.6052
2024-05,63.0864,88.8335
2024-06,70.2276,96.0415
2024-07,95.3346,97.3583
2024-08,113.7058,101.128
2024-09,103.7173,105.7758
2024-10,82.8667,102.865
2024-11,80.5233,113.7798
2024-12,75.1731,107.7813
2025-01,88.1053,112.3595
2025-02,67.9596,108.6721
2025-03,66.228,96.0839
2025-04,76.8944,93.6359
2025-05,80.3147,104.9003
2025-06,76.3364,114.5225
2025-07,62.7081,118.4064
2025-08,66.2604,121.8959
2025-09,72.9024,128.6764
2025-10,41.8058,133.0211
2025-11,42.6386,132.409
2025-12,45.3877,131.4906
2026-01,34.6087,133.7386
2026-02,39.3629,130.7823
2026-03,38.4253,129.7769
