Date,rate_MAS_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-5.2566,-3.7423
2016-03,8.1762,0.3764
2016-04,15.6705,5.1946
2016-05,7.4213,3.5695
2016-06,12.1938,4.8356
2016-07,5.1337,4.3651
2016-08,22.5569,7.2005
2016-09,16.9915,6.5176
2016-10,11.1406,5.8316
2016-11,-3.5472,2.6321
2016-12,-2.1044,6.5262
2017-01,2.2335,8.6002
2017-02,7.6698,9.8701
2017-03,11.3013,14.9815
2017-04,8.718,12.5254
2017-05,17.1728,13.1716
2017-06,18.3708,14.581
2017-07,19.822,14.626
2017-08,19.4573,16.4591
2017-09,14.5536,15.9061
2017-10,19.8466,17.2911
2017-11,20.3577,19.4181
2017-12,28.9659,21.7575
2018-01,32.0834,22.6249
2018-02,31.4956,28.3844
2018-03,20.7611,21.0506
2018-04,18.7842,18.8566
2018-05,12.7504,18.843
2018-06,9.7692,22.0592
2018-07,8.8295,20.962
2018-08,16.2426,24.4135
2018-09,9.9407,27.7869
2018-10,4.7855,28.1445
2018-11,-9.1413,19.3954
2018-12,-8.0125,19.8359
2019-01,-14.9214,8.7501
2019-02,-3.0612,17.203
2019-03,17.4533,21.2677
2019-04,14.9849,23.6016
2019-05,14.9576,25.5902
2019-06,1.793,17.8911
2019-07,15.2969,26.7327
2019-08,14.0964,25.8061
2019-09,18.3349,24.2046
2019-10,21.6601,24.595
2019-11,34.9583,29.5299
2019-12,33.8956,32.3145
2020-01,37.3075,35.5516
2020-02,35.5909,34.7733
2020-03,17.2792,23.2161
2020-04,-6.0418,2.6957
2020-05,14.9838,17.923
2020-06,33.7758,27.1545
2020-07,41.5594,29.2791
2020-08,62.4823,35.3897
2020-09,67.575,45.4969
2020-10,54.559,38.8421
2020-11,49.7163,33.8054
2020-12,49.5104,49.4413
2021-01,51.7218,52.4925
2021-02,51.6688,52.5474
2021-03,49.1904,57.1165
2021-04,66.1418,62.2404
2021-05,72.9303,68.0147
2021-06,63.6709,67.9506
2021-07,57.8729,71.7835
2021-08,59.3833,73.9065
2021-09,63.1674,78.108
2021-10,48.0733,70.559
2021-11,70.4898,79.7147
2021-12,72.8126,74.8714
2022-01,83.7026,83.8439
2022-02,64.7203,74.2485
2022-03,41.864,64.4857
2022-04,33.4593,72.8765
2022-05,35.9593,56.3809
2022-06,43.874,54.7432
2022-07,32.858,43.9638
2022-08,41.2172,54.5402
2022-09,30.5247,48.4061
2022-10,19.687,33.808
2022-11,16.8107,43.6413
2022-12,32.9003,51.6237
2023-01,19.4762,42.3283
2023-02,38.869,52.4008
2023-03,32.1636,45.8599
2023-04,26.9657,52.4428
2023-05,35.9308,54.1535
2023-06,25.3285,55.8684
2023-07,46.2514,63.7729
2023-08,56.0796,67.9151
2023-09,51.8131,65.3142
2023-10,35.374,56.4671
2023-11,33.1276,54.158
2023-12,57.3006,66.8181
2024-01,68.8529,72.7134
2024-02,73.5142,77.0248
2024-03,94.6833,84.7703
2024-04,93.9499,89.0895
2024-05,70.3769,80.3005
2024-06,73.7121,89.1407
2024-07,60.0977,96.817
2024-08,87.8614,94.9948
2024-09,97.3712,101.4737
2024-10,106.9592,104.2286
2024-11,97.0055,104.0979
2024-12,99.1552,114.1559
2025-01,78.573,108.1307
2025-02,94.2958,112.719
2025-03,85.7031,109.0154
2025-04,71.7925,97.097
2025-05,47.7718,95.2965
2025-06,55.5586,105.2137
2025-07,66.6937,114.7559
2025-08,70.3957,115.142
2025-09,83.3305,122.2543
2025-10,74.7273,129.8729
2025-11,60.5565,133.4127
2025-12,62.3698,131.7276
2026-01,58.5736,131.8756
2026-02,77.8414,131.1612
