Date,rate_IRM_5D,rate_VOO_20D
2016-01,7.7734,1.4254
2016-02,11.7683,0.6142
2016-03,24.5672,6.1243
2016-04,27.8105,4.6014
2016-05,22.8361,5.2878
2016-06,29.8489,4.687
2016-07,29.8805,7.7174
2016-08,18.6565,6.8637
2016-09,15.3021,5.9421
2016-10,2.2463,3.4868
2016-11,-0.0338,6.843
2016-12,0.1428,8.2789
2017-01,10.3496,9.3935
2017-02,11.2371,12.821
2017-03,10.2521,12.0413
2017-04,6.8095,12.4367
2017-05,6.8057,13.2406
2017-06,6.364,14.1802
2017-07,12.4103,15.6892
2017-08,20.8942,15.2834
2017-09,19.884,16.8657
2017-10,22.1823,18.7799
2017-11,23.7803,21.509
2017-12,15.3899,22.1709
2018-01,6.559,27.9258
2018-02,-4.3572,22.2578
2018-03,1.8365,18.4465
2018-04,5.1177,18.162
2018-05,2.9033,20.337
2018-06,9.8419,20.5057
2018-07,9.8337,24.0401
2018-08,12.5675,27.2093
2018-09,12.5244,27.1082
2018-10,-0.3265,17.9327
2018-11,7.2984,19.5577
2018-12,6.7793,8.5722
2019-01,22.3323,16.8959
2019-02,15.9579,20.2219
2019-03,17.6543,21.9603
2019-04,7.3418,26.2654
2019-05,1.2055,20.4953
2019-06,9.2068,25.3574
2019-07,0.8597,26.514
2019-08,9.0701,24.0717
2019-09,16.4216,25.9454
2019-10,17.6798,27.4086
2019-11,14.8213,31.384
2019-12,20.1723,34.5804
2020-01,18.7816,33.8021
2020-02,13.9024,22.3336
2020-03,11.194,15.1867
2020-04,12.8622,29.6272
2020-05,14.5334,28.2305
2020-06,27.5468,28.0341
2020-07,36.7971,33.4885
2020-08,45.2121,42.106
2020-09,41.6549,38.2475
2020-10,34.7936,34.0563
2020-11,35.5284,42.9575
2020-12,47.9535,47.5016
2021-01,65.5284,45.1166
2021-02,60.2932,43.0879
2021-03,73.9689,49.8512
2021-04,78.7321,56.911
2021-05,92.5972,54.6413
2021-06,88.4944,57.2758
2021-07,93.3978,60.2291
2021-08,109.5312,64.0213
2021-09,100.7419,55.5224
2021-10,106.8112,65.5435
2021-11,104.391,65.5034
2021-12,134.4805,68.4598
2022-01,104.3625,58.7763
2022-02,117.3516,53.2596
2022-03,127.539,58.2953
2022-04,123.9625,52.2757
2022-05,124.3893,51.0659
2022-06,103.7868,38.0304
2022-07,101.6244,50.1558
2022-08,117.3791,43.3725
2022-09,82.476,29.6913
2022-10,106.557,39.7003
2022-11,122.7432,46.8631
2022-12,118.166,40.5677
2023-01,135.2846,48.7988
2023-02,126.5784,45.5387
2023-03,124.1902,49.6635
2023-04,132.5965,48.4614
2023-05,128.2219,48.1923
2023-06,137.9978,57.2072
2023-07,155.5414,61.7125
2023-08,164.4623,59.5229
2023-09,155.2844,51.3631
2023-10,149.7674,47.5518
2023-11,169.514,60.474
2023-12,194.8378,67.125
2024-01,182.5669,69.1001
2024-02,226.9028,77.1309
2024-03,233.7697,83.2841
2024-04,224.2917,75.177
2024-05,235.2417,83.1784
2024-06,272.4338,90.182
2024-07,306.4065,90.9416
2024-08,329.6953,97.1965
2024-09,337.4096,98.31
2024-10,352.1085,95.5089
2024-11,357.8188,105.9957
2024-12,288.9487,100.2436
2025-01,273.2868,104.6582
2025-02,240.1003,101.1287
2025-03,214.8495,89.045
2025-04,228.865,88.6819
2025-05,259.7462,99.6712
2025-06,274.2293,109.046
2025-07,253.1742,112.823
2025-08,232.9097,112.1707
2025-09,268.2365,118.6779
2025-10,269.5649,122.8639
2025-11,208.2097,122.3204
2025-12,197.5342,121.4705
2026-01,228.6309,123.6468
2026-02,284.1723,120.852
