Date,rate_DOC_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-17.0933,-0.6039
2016-03,-4.0369,5.2168
2016-04,0.5272,3.9893
2016-05,-1.1175,4.6886
2016-06,6.3908,4.1237
2016-07,16.9017,7.1795
2016-08,16.6279,6.3603
2016-09,10.8673,5.6281
2016-10,-0.8614,3.196
2016-11,-4.7262,6.7601
2016-12,-3.464,8.3626
2017-01,-1.519,10.2536
2017-02,7.8499,13.6522
2017-03,2.4597,12.7005
2017-04,2.5296,12.9818
2017-05,3.4945,13.693
2017-06,5.2651,13.5288
2017-07,3.8269,15.0481
2017-08,-0.9777,14.5515
2017-09,-7.601,16.1037
2017-10,-13.708,17.9557
2017-11,-9.8802,20.6805
2017-12,-10.7562,21.3029
2018-01,-17.5996,28.0338
2018-02,-23.9478,22.1441
2018-03,-17.4365,18.3021
2018-04,-16.3113,18.0902
2018-05,-12.2422,20.2208
2018-06,-5.1025,20.3415
2018-07,-4.6128,23.8746
2018-08,1.0418,27.0072
2018-09,-1.5757,27.7347
2018-10,3.1475,18.1437
2018-11,10.7378,19.7418
2018-12,5.3878,8.5778
2019-01,19.0073,17.1263
2019-02,16.9642,20.3748
2019-03,18.4993,22.0514
2019-04,12.257,26.2651
2019-05,20.5387,17.5943
2019-06,20.9872,25.308
2019-07,20.2815,26.4355
2019-08,31.5053,23.7232
2019-09,34.953,26.1617
2019-10,41.5577,28.2707
2019-11,31.6608,32.1761
2019-12,29.445,35.3247
2020-01,35.1503,35.2749
2020-02,19.4796,23.5454
2020-03,-10.3738,7.7105
2020-04,-1.2557,21.425
2020-05,-5.4278,26.7132
2020-06,5.7504,28.4357
2020-07,4.499,35.3124
2020-08,7.1834,43.9511
2020-09,5.1502,37.6938
2020-10,4.286,33.4637
2020-11,12.8315,47.2943
2020-12,17.8282,51.8455
2021-01,15.5683,50.305
2021-02,14.2222,53.4604
2021-03,24.2784,59.4101
2021-04,33.9308,66.6882
2021-05,30.7841,66.6274
2021-06,29.8399,69.2184
2021-07,43.6301,72.1455
2021-08,40.3305,75.992
2021-09,29.856,66.6118
2021-10,37.1974,77.1553
2021-11,27.5652,74.6519
2021-12,39.654,81.397
2022-01,36.2711,70.7122
2022-02,20.3558,64.6001
2022-03,32.7071,69.8532
2022-04,26.344,54.0273
2022-05,15.1613,53.6333
2022-06,0.3309,40.2902
2022-07,6.9405,52.5094
2022-08,2.6675,45.531
2022-09,-10.3987,31.5965
2022-10,-7.1451,41.7445
2022-11,4.0202,48.9584
2022-12,-0.7445,39.838
2023-01,8.7953,48.5632
2023-02,-3.657,44.2258
2023-03,-11.953,48.9578
2023-04,-11.7954,50.6836
2023-05,-18.5131,50.7741
2023-06,-17.7481,59.884
2023-07,-10.4749,64.3798
2023-08,-14.2492,60.953
2023-09,-23.3654,52.6248
2023-10,-34.8363,48.7132
2023-11,-25.7189,61.6976
2023-12,-14.8952,68.3392
2024-01,-20.4822,71.0275
2024-02,-26.5248,79.0476
2024-03,-17.4906,83.99
2024-04,-17.9089,75.7344
2024-05,-10.7078,83.6813
2024-06,-11.9366,89.2836
2024-07,-1.8202,90.5002
2024-08,1.618,94.0822
2024-09,4.2731,98.2932
2024-10,2.3235,95.412
2024-11,1.5872,105.8418
2024-12,-6.3491,99.9875
2025-01,-4.5475,105.351
2025-02,-4.0074,101.7087
2025-03,-5.0986,89.4719
2025-04,-15.7407,87.0451
2025-05,-17.1406,97.8575
2025-06,-16.0183,107.0685
2025-07,-18.1491,110.7404
2025-08,-12.6332,114.0337
2025-09,-6.2806,121.6081
2025-10,-11.61,125.7153
2025-11,-9.4562,125.0226
2025-12,-19.6833,124.0393
2026-01,-13.4201,127.2713
2026-02,3.8083,125.3185
