Date,rate_HSIC_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,6.8147,-0.6039
2016-03,7.864,5.2168
2016-04,3.3423,3.9893
2016-05,5.3404,4.6886
2016-06,6.2548,4.1237
2016-07,7.7345,7.1795
2016-08,-3.3482,6.3603
2016-09,-3.453,5.6281
2016-10,-11.221,3.196
2016-11,-10.2583,6.7601
2016-12,-7.799,8.3626
2017-01,-2.8717,10.2536
2017-02,4.4048,13.6522
2017-03,3.0735,12.7005
2017-04,5.1845,12.9818
2017-05,10.9679,13.693
2017-06,9.651,13.5288
2017-07,8.6373,15.0481
2017-08,3.1308,14.5515
2017-09,-2.7907,16.1037
2017-10,-6.6403,17.9557
2017-11,-14.7932,20.6805
2017-12,-16.0077,21.3029
2018-01,-9.0458,28.0338
2018-02,-20.1114,22.1441
2018-03,-17.9095,18.3021
2018-04,-6.342,18.0902
2018-05,-14.5641,20.2208
2018-06,-9.8094,20.3415
2018-07,-1.0978,23.8746
2018-08,-3.197,27.0072
2018-09,5.9496,27.7347
2018-10,3.1485,18.1437
2018-11,10.6627,19.7418
2018-12,-2.9146,8.5778
2019-01,-3.9281,17.1263
2019-02,-6.3971,20.3748
2019-03,-4.9865,22.0514
2019-04,1.3425,26.2651
2019-05,1.9952,17.5943
2019-06,10.4917,25.308
2019-07,4.9347,26.4355
2019-08,-2.9408,23.7232
2019-09,0.0155,26.1617
2019-10,-1.4112,28.2707
2019-11,8.514,32.1761
2019-12,4.8768,35.3247
2020-01,8.3617,35.2749
2020-02,-4.4089,23.5454
2020-03,-20.712,7.7105
2020-04,-13.8077,21.425
2020-05,-3.6627,26.7132
2020-06,-7.3043,28.4357
2020-07,9.2356,35.3124
2020-08,5.3529,43.9511
2020-09,-6.858,37.6938
2020-10,0.9079,33.4637
2020-11,2.0808,47.2943
2020-12,6.0588,51.8455
2021-01,4.4578,50.305
2021-02,-2.0109,53.4604
2021-03,9.6361,59.4101
2021-04,14.6261,66.6882
2021-05,19.9103,66.6274
2021-06,16.6571,69.2184
2021-07,25.68,72.1455
2021-08,18.1033,75.992
2021-09,18.669,66.6118
2021-10,18.6149,77.1553
2021-11,10.119,74.6519
2021-12,19.9748,81.397
2022-01,16.2269,70.7122
2022-02,33.0147,64.6001
2022-03,33.7652,69.8532
2022-04,23.9318,54.0273
2022-05,30.5079,53.6333
2022-06,16.5811,40.2902
2022-07,19.5041,52.5094
2022-08,11.041,45.531
2022-09,-0.6342,31.5965
2022-10,3.3815,41.7445
2022-11,22.0584,48.9584
2022-12,20.1547,39.838
2023-01,29.5992,48.5632
2023-02,17.4508,44.2258
2023-03,22.0655,48.9578
2023-04,20.6896,50.6836
2023-05,10.1163,50.7741
2023-06,20.7069,59.884
2023-07,17.0458,64.3798
2023-08,13.5015,60.953
2023-09,9.9505,52.6248
2023-10,-3.8666,48.7132
2023-11,-1.2232,61.6976
2023-12,12.0232,68.3392
2024-01,10.736,71.0275
2024-02,13.0052,79.0476
2024-03,11.4474,83.99
2024-04,2.1392,75.7344
2024-05,2.2069,83.6813
2024-06,-5.5463,89.2836
2024-07,6.0429,90.5002
2024-08,3.9145,94.0822
2024-09,7.3752,98.2932
2024-10,3.3773,95.412
2024-11,13.3685,105.8418
2024-12,1.6996,99.9875
2025-01,17.569,105.351
2025-02,5.9079,101.7087
2025-03,0.468,89.4719
2025-04,-4.7119,87.0451
2025-05,2.6998,97.8575
2025-06,7.1637,107.0685
2025-07,-0.8408,110.7404
2025-08,1.9865,114.0337
2025-09,-2.7184,121.6081
2025-10,-7.3339,125.7153
2025-11,9.3824,125.0226
2025-12,10.7901,124.0393
2026-01,10.6436,127.2713
2026-02,-4.7526,125.3185
