Date,rate_ADI_5D,rate_VOO_20D
2016-01,5.607,1.4254
2016-02,-0.4748,0.6142
2016-03,10.0513,6.1243
2016-04,3.5363,4.6014
2016-05,8.1837,5.2878
2016-06,1.4195,4.687
2016-07,13.997,7.7174
2016-08,10.7336,6.8637
2016-09,12.9379,5.9421
2016-10,11.0282,3.4868
2016-11,28.2214,6.843
2016-12,23.3192,8.2789
2017-01,25.1854,9.3935
2017-02,35.5095,12.821
2017-03,33.1731,12.0413
2017-04,22.3913,12.4367
2017-05,36.2418,13.2406
2017-06,22.6589,14.1802
2017-07,23.302,15.6892
2017-08,29.276,15.2834
2017-09,32.4688,16.8657
2017-10,38.7885,18.7799
2017-11,29.9325,21.509
2017-12,33.0653,22.1709
2018-01,35.9497,27.9258
2018-02,32.2821,22.2578
2018-03,32.5463,18.4465
2018-04,25.1267,18.162
2018-05,38.1162,20.337
2018-06,35.668,20.5057
2018-07,34.7771,24.0401
2018-08,38.0792,27.2093
2018-09,28.0713,27.1082
2018-10,15.2064,17.9327
2018-11,26.5443,19.5577
2018-12,17.4683,8.5722
2019-01,34.756,16.8959
2019-02,45.488,20.2219
2019-03,43.859,21.9603
2019-04,52.8828,26.2654
2019-05,27.7552,20.4953
2019-06,47.9186,25.3574
2019-07,52.7299,26.514
2019-08,43.2954,24.0717
2019-09,44.0189,25.9454
2019-10,36.8753,27.4086
2019-11,44.0982,31.384
2019-12,51.3601,34.5804
2020-01,38.7881,33.8021
2020-02,42.244,22.3336
2020-03,31.3912,15.1867
2020-04,60.0362,29.6272
2020-05,51.2126,28.2305
2020-06,58.4756,28.0341
2020-07,46.029,33.4885
2020-08,48.5376,42.106
2020-09,46.9012,38.2475
2020-10,48.3307,34.0563
2020-11,69.1087,42.9575
2020-12,68.8112,47.5016
2021-01,73.4834,45.1166
2021-02,74.9499,43.0879
2021-03,75.7927,49.8512
2021-04,72.3941,56.911
2021-05,73.4537,54.6413
2021-06,75.4764,57.2758
2021-07,69.5739,60.2291
2021-08,66.8443,64.0213
2021-09,65.8703,55.5224
2021-10,67.5446,65.5435
2021-11,74.8943,65.5034
2021-12,66.2189,68.4598
2022-01,54.2128,58.7763
2022-02,43.8888,53.2596
2022-03,42.6752,58.2953
2022-04,30.962,52.2757
2022-05,42.1949,51.0659
2022-06,29.6529,38.0304
2022-07,52.194,50.1558
2022-08,34.2094,43.3725
2022-09,22.9927,29.6913
2022-10,25.5407,39.7003
2022-11,45.1972,46.8631
2022-12,43.6809,40.5677
2023-01,48.0874,48.7988
2023-02,59.6247,45.5387
2023-03,68.6469,49.6635
2023-04,57.3543,48.4614
2023-05,49.3663,48.1923
2023-06,62.3052,57.2072
2023-07,61.8233,61.7125
2023-08,52.0036,59.5229
2023-09,48.6248,51.3631
2023-10,33.0846,47.5518
2023-11,54.6356,60.474
2023-12,69.0206,67.125
2024-01,63.0719,69.1001
2024-02,61.9577,77.1309
2024-03,67.1178,83.2841
2024-04,63.8614,75.177
2024-05,90.8353,83.1784
2024-06,85.6657,90.182
2024-07,83.3723,90.9416
2024-08,94.7111,97.1965
2024-09,88.1513,98.31
2024-10,78.1818,95.5089
2024-11,74.8805,105.9957
2024-12,70.4312,100.2436
2025-01,69.3163,104.6582
2025-02,83.1379,101.1287
2025-03,69.6592,89.045
2025-04,75.7955,88.6819
2025-05,92.2421,99.6712
2025-06,111.0822,109.046
2025-07,107.9141,112.823
2025-08,130.5836,112.1707
2025-09,125.2482,118.6779
2025-10,113.6519,122.8639
2025-11,141.02,122.3204
2025-12,145.9787,121.4705
2026-01,180.5139,123.6468
2026-02,219.3126,120.852
