Date,rate_XLF_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-6.0665,-1.8027
2016-03,1.1786,4.5695
2016-04,4.2789,3.6217
2016-05,5.3676,4.6859
2016-06,0.5334,4.2011
2016-07,3.9977,7.3141
2016-08,7.5029,6.5393
2016-09,3.241,5.8417
2016-10,5.2575,3.4057
2016-11,19.4975,7.0013
2016-12,23.2733,8.6582
2017-01,21.7944,9.9058
2017-02,26.5628,13.4199
2017-03,20.4958,12.5861
2017-04,18.211,12.9516
2017-05,15.7109,13.7442
2017-06,21.7678,14.6714
2017-07,22.6734,16.2352
2017-08,19.619,15.7466
2017-09,25.7221,17.3266
2017-10,28.1103,19.2474
2017-11,31.2654,22.0133
2017-12,33.6043,22.6523
2018-01,40.918,28.4864
2018-02,35.2352,22.6807
2018-03,29.4275,18.8927
2018-04,27.8171,18.6249
2018-05,25.6099,20.8091
2018-06,23.6523,20.9812
2018-07,29.1656,24.5763
2018-08,29.9962,27.7899
2018-09,27.4214,27.6747
2018-10,20.6338,18.1983
2018-11,23.1795,19.8597
2018-12,10.2126,8.8011
2019-01,19.7095,17.1215
2019-02,21.8417,20.4441
2019-03,19.416,22.1999
2019-04,29.4912,26.5012
2019-05,19.5608,17.9266
2019-06,28.2747,25.7011
2019-07,30.5668,26.9004
2019-08,23.8138,24.2426
2019-09,30.2029,26.142
2019-10,32.8711,28.3311
2019-11,38.8113,32.3256
2019-12,43.0238,35.5485
2020-01,38.3599,34.7719
2020-02,22.1311,23.2511
2020-03,-3.9594,7.5779
2020-04,5.3868,21.2186
2020-05,8.2097,26.5774
2020-06,7.4928,28.3766
2020-07,11.5024,35.3325
2020-08,16.0625,44.0777
2020-09,11.8293,37.914
2020-10,10.648,33.7633
2020-11,29.0617,47.7098
2020-12,36.6231,52.3667
2021-01,33.5788,49.9654
2021-02,48.4398,53.2453
2021-03,56.2554,60.4049
2021-04,65.4243,67.83
2021-05,72.2561,67.8968
2021-06,65.9259,70.6358
2021-07,64.1614,73.7106
2021-08,71.6142,77.7187
2021-09,67.4417,68.3779
2021-10,78.5408,79.119
2021-11,67.3042,76.6949
2021-12,71.9659,83.6042
2022-01,71.0231,72.9303
2022-02,67.696,66.8181
2022-03,66.6368,72.1992
2022-04,49.2962,56.2223
2022-05,52.7877,55.8933
2022-06,35.6057,42.4002
2022-07,44.829,54.8512
2022-08,41.4568,47.8158
2022-09,30.2176,33.7039
2022-10,45.3172,44.0824
2022-11,54.6861,51.4429
2022-12,45.9874,42.1877
2023-01,55.474,50.5828
2023-02,51.2746,46.2373
2023-03,36.2867,52.2586
2023-04,40.1808,54.0684
2023-05,33.7977,54.1996
2023-06,42.2234,63.548
2023-07,48.5664,68.1942
2023-08,44.0609,64.7317
2023-09,39.1747,56.2636
2023-10,35.3717,52.2886
2023-11,49.7487,65.5989
2023-12,57.0474,72.448
2024-01,61.2815,74.4576
2024-02,67.1987,82.7177
2024-03,74.4953,89.0282
2024-04,66.5037,80.6052
2024-05,71.1008,88.8335
2024-06,68.903,96.0415
2024-07,78.9847,97.3583
2024-08,86.3832,101.128
2024-09,84.5266,105.7758
2024-10,88.4373,102.865
2024-11,107.2112,113.7798
2024-12,94.9636,107.7813
2025-01,106.6947,112.3595
2025-02,108.5608,108.6721
2025-03,98.8721,96.0839
2025-04,93.8196,93.6359
2025-05,101.6921,104.9003
2025-06,107.0296,114.5225
2025-07,106.0896,118.4064
2025-08,111.5341,121.8959
2025-09,110.8069,128.6764
2025-10,104.0399,133.0211
2025-11,106.8878,132.409
2025-12,112.301,131.4906
2026-01,106.2424,133.7386
2026-02,97.6511,130.7823
2026-03,89.9374,117.6098
2026-04,99.779,139.3863
2026-05,96.8861,150.8374
2026-06,103.8335,146.5232
2026-07,115.6009,145.3136
2026-08,118.0896,150.8431
