Date,rate_ACHR_5D,rate_VOO_20D
2020-12,0.0,0.0
2021-01,3.2361,-0.4508
2021-02,16.3592,2.8292
2021-03,-6.6717,9.9887
2021-04,-6.5079,17.4138
2021-05,-5.5183,17.4806
2021-06,-4.4285,20.2196
2021-07,-4.1642,23.2945
2021-08,-3.024,27.3025
2021-09,-13.5868,17.9617
2021-10,-43.357,28.7028
2021-11,-35.8868,26.2787
2021-12,-34.3278,33.188
2022-01,-64.409,22.5141
2022-02,-60.1572,16.4019
2022-03,-33.479,21.783
2022-04,-34.2814,5.8061
2022-05,-38.674,5.4771
2022-06,-53.3652,-8.016
2022-07,-34.9314,4.435
2022-08,-41.6422,-2.6004
2022-09,-55.4712,-16.7123
2022-10,-48.753,-6.3338
2022-11,-52.9037,1.0267
2022-12,-63.3887,-8.2285
2023-01,-39.499,0.1666
2023-02,-37.0457,-4.1789
2023-03,-37.6208,1.8424
2023-04,-55.8838,3.6522
2023-05,-30.9764,3.7834
2023-06,-3.2457,13.1319
2023-07,58.1499,17.778
2023-08,62.0467,14.3155
2023-09,16.513,5.8474
2023-10,8.9387,1.8724
2023-11,36.8365,15.1828
2023-12,39.3315,22.0318
2024-01,8.8146,24.0414
2024-02,8.5264,32.3015
2024-03,3.7559,38.612
2024-04,-12.8684,30.189
2024-05,-26.3526,38.4173
2024-06,-20.0706,45.6253
2024-07,-4.7101,46.9422
2024-08,-22.1294,50.7118
2024-09,-30.164,55.3596
2024-10,-26.6904,52.4488
2024-11,123.9444,63.3636
2024-12,125.5773,57.3651
2025-01,116.2054,61.9433
2025-02,101.0303,58.2559
2025-03,59.4258,45.6677
2025-04,85.4984,43.2197
2025-05,122.7101,54.4842
2025-06,137.0774,64.1063
2025-07,117.0677,67.9902
2025-08,91.937,71.4797
2025-09,103.7437,78.2602
2025-10,136.4996,82.6049
2025-11,62.6519,81.9928
2025-12,56.0963,81.0744
2026-01,48.386,83.3224
2026-02,46.1819,80.3661
2026-03,25.6571,72.5358
