Date,rate_EMR_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,7.6916,-0.6039
2016-03,15.8562,5.2168
2016-04,12.0989,3.9893
2016-05,5.1009,4.6886
2016-06,4.3972,4.1237
2016-07,11.1139,7.1795
2016-08,4.3381,6.3603
2016-09,7.3983,5.6281
2016-10,-0.7306,3.196
2016-11,11.4276,6.7601
2016-12,9.0326,8.3626
2017-01,14.7071,10.2536
2017-02,17.2288,13.6522
2017-03,15.3976,12.7005
2017-04,15.1425,12.9818
2017-05,12.8734,13.693
2017-06,13.0131,13.5288
2017-07,12.1886,15.0481
2017-08,11.3208,14.5515
2017-09,17.8733,16.1037
2017-10,19.9825,17.9557
2017-11,20.6387,20.6805
2017-12,28.7039,21.3029
2018-01,33.3864,28.0338
2018-02,30.7036,22.1441
2018-03,24.5292,18.3021
2018-04,20.2667,18.0902
2018-05,28.1829,20.2208
2018-06,24.0747,20.3415
2018-07,28.8003,23.8746
2018-08,36.5879,27.0072
2018-09,36.3229,27.7347
2018-10,19.7532,18.1437
2018-11,19.2504,19.7418
2018-12,4.9424,8.5778
2019-01,14.9784,17.1263
2019-02,20.0092,20.3748
2019-03,19.9659,22.0514
2019-04,23.7221,26.2651
2019-05,5.3197,17.5943
2019-06,16.4484,25.308
2019-07,12.8154,26.4355
2019-08,4.2393,23.7232
2019-09,16.8528,26.1617
2019-10,22.2338,28.2707
2019-11,28.9351,32.1761
2019-12,32.4315,35.3247
2020-01,24.399,35.2749
2020-02,11.6766,23.5454
2020-03,-17.2678,7.7105
2020-04,-0.4359,21.425
2020-05,7.5303,26.7132
2020-06,9.1646,28.4357
2020-07,8.9593,35.3124
2020-08,22.6916,43.9511
2020-09,15.3457,37.6938
2020-10,13.7004,33.4637
2020-11,35.2669,47.2943
2020-12,40.8565,51.8455
2021-01,39.0697,50.305
2021-02,50.6069,53.4604
2021-03,57.1341,59.4101
2021-04,56.5864,66.6882
2021-05,65.4006,66.6274
2021-06,65.1873,69.2184
2021-07,72.0019,72.1455
2021-08,79.4861,75.992
2021-09,59.1442,66.6118
2021-10,62.8971,77.1553
2021-11,47.4476,74.6519
2021-12,55.2969,81.397
2022-01,52.7778,70.7122
2022-02,54.4273,64.6001
2022-03,62.1806,69.8532
2022-04,48.3328,54.0273
2022-05,45.9874,53.6333
2022-06,30.3919,40.2902
2022-07,47.1467,52.5094
2022-08,33.7977,45.531
2022-09,19.4383,31.5965
2022-10,40.8935,41.7445
2022-11,56.0553,48.9584
2022-12,55.7897,39.838
2023-01,46.3243,48.5632
2023-02,34.4217,44.2258
2023-03,41.1387,48.9578
2023-04,34.3606,50.6836
2023-05,25.7954,50.7741
2023-06,45.9474,59.884
2023-07,46.9268,64.3798
2023-08,58.2393,60.953
2023-09,54.8389,52.6248
2023-10,42.0726,48.7132
2023-11,42.2991,61.6976
2023-12,55.2224,68.3392
2024-01,46.2943,71.0275
2024-02,70.5994,79.0476
2024-03,80.2214,83.99
2024-04,70.4214,75.7344
2024-05,77.3847,83.6813
2024-06,73.4487,89.2836
2024-07,83.5731,90.5002
2024-08,65.2619,94.0822
2024-09,71.4707,98.2932
2024-10,69.0025,95.412
2024-11,106.904,105.8418
2024-12,92.3413,99.9875
2025-01,101.6785,105.351
2025-02,88.6059,101.7087
2025-03,69.2999,89.4719
2025-04,61.6402,87.0451
2025-05,83.6863,97.8575
2025-06,104.2311,107.0685
2025-07,121.7697,110.7404
2025-08,100.9469,114.0337
2025-09,99.7036,121.6081
2025-10,111.4659,125.7153
2025-11,101.9219,125.0226
2025-12,99.9941,124.0393
2026-01,121.4464,127.2713
2026-02,110.7041,125.3185
