Date,rate_VST_5D,rate_VOO_20D
2016-10,-1.92,-1.4716
2016-11,-8.4782,2.1241
2016-12,20.3823,3.781
2017-01,20.5464,5.0286
2017-02,15.9082,8.5427
2017-03,14.0922,7.7088
2017-04,2.8218,8.0743
2017-05,1.2131,8.867
2017-06,14.7549,9.7941
2017-07,10.8528,11.358
2017-08,18.2424,10.8694
2017-09,23.1743,12.4493
2017-10,26.2551,14.3701
2017-11,21.013,17.136
2017-12,16.0066,17.7751
2018-01,22.4032,23.6091
2018-02,17.6333,17.8034
2018-03,28.1619,14.0154
2018-04,38.9485,13.7476
2018-05,47.0642,15.9318
2018-06,39.7271,16.1039
2018-07,31.7492,19.699
2018-08,35.7611,22.9127
2018-09,41.9034,22.7975
2018-10,27.5034,13.3211
2018-11,31.1083,14.9824
2018-12,26.6935,3.9239
2019-01,37.9185,12.2443
2019-02,41.6705,15.5668
2019-03,40.8356,17.3226
2019-04,46.0505,21.624
2019-05,25.0429,13.0494
2019-06,20.0946,20.8238
2019-07,13.2649,22.0232
2019-08,31.2113,19.3654
2019-09,41.5922,21.2648
2019-10,42.0813,23.4539
2019-11,38.355,27.4483
2019-12,21.0028,30.6713
2020-01,18.0154,29.8946
2020-02,0.4198,18.3738
2020-03,-15.937,2.7006
2020-04,3.4982,16.3413
2020-05,8.2009,21.7001
2020-06,-0.9229,23.4994
2020-07,-0.7691,30.4553
2020-08,2.2755,39.2005
2020-09,1.0315,33.0368
2020-10,-6.8239,28.8861
2020-11,0.342,42.8325
2020-12,6.3065,47.4895
2021-01,7.8568,45.0881
2021-02,-6.9754,48.3681
2021-03,-3.7357,55.5277
2021-04,-8.0824,62.9528
2021-05,-11.7531,63.0195
2021-06,2.2405,65.7585
2021-07,5.4577,68.8334
2021-08,5.0354,72.8415
2021-09,-5.1584,63.5006
2021-10,8.7707,74.2417
2021-11,10.2011,71.8176
2021-12,26.7891,78.727
2022-01,21.0462,68.0531
2022-02,26.3198,61.9408
2022-03,29.2908,67.322
2022-04,38.6315,51.3451
2022-05,45.5063,51.016
2022-06,26.5207,37.5229
2022-07,42.6287,49.9739
2022-08,36.0152,42.9385
2022-09,15.9943,28.8266
2022-10,26.6254,39.2051
2022-11,33.7404,46.5656
2022-12,28.1511,37.3105
2023-01,27.0092,45.7056
2023-02,20.7795,41.36
2023-03,32.6199,47.3814
2023-04,31.4353,49.1912
2023-05,31.6692,49.3224
2023-06,44.8336,58.6708
2023-07,54.2275,63.317
2023-08,71.9561,59.8545
2023-09,81.7836,51.3863
2023-10,78.3153,47.4114
2023-11,91.9353,60.7217
2023-12,108.75,67.5707
2024-01,121.0271,69.5803
2024-02,191.8805,77.8404
2024-03,271.1251,84.151
2024-04,300.7849,75.7279
2024-05,419.2585,83.9563
2024-06,348.9792,91.1642
2024-07,310.2185,92.4811
2024-08,338.8898,96.2508
2024-09,507.4108,100.8985
2024-10,534.6323,97.9878
2024-11,704.7959,108.9026
2024-12,591.3935,102.904
2025-01,735.4015,107.4823
2025-02,558.7545,103.7948
2025-03,475.1157,91.2066
2025-04,529.6093,88.7586
2025-05,673.4755,100.0231
2025-06,827.9713,109.6453
2025-07,890.2237,113.5291
2025-08,790.4399,117.0186
2025-09,818.0789,123.7991
2025-10,775.0561,128.1439
2025-11,724.5001,127.5317
2025-12,638.8862,126.6133
2026-01,619.6404,128.8613
2026-02,684.2243,125.9051
2026-03,642.8733,124.8997
