Date,rate_INTU_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,2.324,-3.7423
2016-03,3.7244,0.3764
2016-04,8.4913,5.1946
2016-05,2.7883,3.5695
2016-06,8.603,4.8356
2016-07,11.8604,4.3651
2016-08,9.9057,7.2005
2016-09,10.2042,6.5176
2016-10,6.7973,5.8316
2016-11,3.9085,2.6321
2016-12,9.3096,6.5262
2017-01,9.7125,8.6002
2017-02,12.8745,9.8701
2017-03,18.433,14.9815
2017-04,9.1603,12.5254
2017-05,17.8211,13.1716
2017-06,31.4741,14.581
2017-07,21.8999,14.626
2017-08,25.2513,16.4591
2017-09,28.0161,15.9061
2017-10,26.8915,17.2911
2017-11,34.8503,19.4181
2017-12,37.8046,21.7575
2018-01,37.3921,22.6249
2018-02,43.0066,28.3844
2018-03,40.2305,21.0506
2018-04,46.3431,18.8566
2018-05,56.603,18.843
2018-06,68.5561,22.0592
2018-07,66.455,20.962
2018-08,64.5815,24.4135
2018-09,74.6647,27.7869
2018-10,78.8797,28.1445
2018-11,65.0122,19.3954
2018-12,64.8187,19.8359
2019-01,49.5808,8.7501
2019-02,61.8457,17.203
2019-03,87.0809,21.2677
2019-04,96.1691,23.6016
2019-05,78.1374,25.5902
2019-06,76.9515,17.8911
2019-07,88.9561,26.7327
2019-08,96.9508,25.8061
2019-09,102.0312,24.2046
2019-10,83.0941,24.595
2019-11,76.2852,29.5299
2019-12,76.3009,32.3145
2020-01,76.7607,35.5516
2020-02,87.8869,34.7733
2020-03,76.4812,23.2161
2020-04,43.5643,2.6957
2020-05,72.2549,17.923
2020-06,89.7487,27.1545
2020-07,96.2777,29.2791
2020-08,97.3027,35.3897
2020-09,121.6129,45.4969
2020-10,110.0962,38.8421
2020-11,97.5027,33.8054
2020-12,122.0748,49.4413
2021-01,134.2403,52.4925
2021-02,129.2891,52.5474
2021-03,147.1675,57.1165
2021-04,138.0948,62.2404
2021-05,147.0986,68.0147
2021-06,160.5746,67.9506
2021-07,188.9703,71.7835
2021-08,209.8596,73.9065
2021-09,225.9655,78.108
2021-10,211.7099,70.559
2021-11,245.8644,79.7147
2021-12,273.3772,74.8714
2022-01,258.0722,83.8439
2022-02,210.2476,74.2485
2022-03,156.8396,64.4857
2022-04,163.0922,72.8765
2022-05,126.8985,56.3809
2022-06,119.6647,54.7432
2022-07,107.4142,43.9638
2022-08,139.0539,54.5402
2022-09,125.1636,48.4061
2022-10,103.552,33.808
2022-11,106.5863,43.6413
2022-12,116.3776,51.6237
2023-01,101.1171,42.3283
2023-02,124.1247,52.4008
2023-03,105.1538,45.8599
2023-04,126.5915,52.4428
2023-05,125.0508,54.1535
2023-06,113.338,55.8684
2023-07,130.1996,63.7729
2023-08,155.0551,67.9151
2023-09,173.8461,65.3142
2023-10,152.8444,56.4671
2023-11,140.9561,54.158
2023-12,181.1556,66.8181
2024-01,203.9256,72.7134
2024-02,206.0379,77.0248
2024-03,220.0994,84.7703
2024-04,205.151,89.0895
2024-05,191.8527,80.3005
2024-06,171.6836,89.1407
2024-07,204.815,96.817
2024-08,197.2182,94.9948
2024-09,191.8201,101.4737
2024-10,178.9588,104.2286
2024-11,184.8155,104.0979
2024-12,192.1885,114.1559
2025-01,184.421,108.1307
2025-02,171.9903,112.719
2025-03,175.9678,109.0154
2025-04,174.3547,97.097
2025-05,177.4416,95.2965
2025-06,233.5416,105.2137
2025-07,242.9925,114.7559
2025-08,239.8205,115.142
2025-09,190.2538,122.2543
2025-10,194.0358,129.8729
2025-11,187.7649,133.4127
2025-12,170.7821,131.7276
2026-01,182.4929,131.8756
2026-02,73.9911,131.1612
