Date,rate_005930.KS_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-0.4756,-1.8027
2016-03,10.9774,4.5695
2016-04,3.3297,3.6217
2016-05,6.5312,4.6859
2016-06,15.7828,4.2011
2016-07,22.1533,7.3141
2016-08,25.414,6.5393
2016-09,21.155,5.8417
2016-10,22.091,3.4057
2016-11,27.8354,7.0013
2016-12,31.4956,8.6582
2017-01,41.3041,9.9058
2017-02,34.841,13.4199
2017-03,42.5026,12.5861
2017-04,51.4342,12.9516
2017-05,48.6744,13.7442
2017-06,55.6932,14.6714
2017-07,54.8805,16.2352
2017-08,46.1746,15.7466
2017-09,59.7965,17.3266
2017-10,68.7003,19.2474
2017-11,52.6938,22.0133
2017-12,52.2405,22.6523
2018-01,47.0302,28.4864
2018-02,36.9728,22.6807
2018-03,42.8394,18.8927
2018-04,52.1471,18.6249
2018-05,43.8342,20.8091
2018-06,31.9665,20.9812
2018-07,29.8127,24.5763
2018-08,34.9847,27.7899
2018-09,29.3784,27.6747
2018-10,17.3247,18.1983
2018-11,15.3324,19.8597
2018-12,7.2397,8.8011
2019-01,27.6241,17.1215
2019-02,24.0023,20.4441
2019-03,23.1245,22.1999
2019-04,25.804,26.5012
2019-05,16.041,17.9266
2019-06,28.8507,25.7011
2019-07,23.7117,26.9004
2019-08,19.5183,24.2426
2019-09,35.6063,26.142
2019-10,38.5582,28.3311
2019-11,37.4321,32.3256
2019-12,54.4634,35.5485
2020-01,54.9969,34.7719
2020-02,47.9004,23.2511
2020-03,30.449,7.5779
2020-04,36.1052,21.2186
2020-05,37.3183,26.5774
2020-06,43.2151,28.3766
2020-07,56.1823,35.3325
2020-08,44.7376,44.0777
2020-09,56.0731,37.914
2020-10,50.8453,33.7633
2020-11,76.7253,47.7098
2020-12,118.068,52.3667
2021-01,118.7938,49.9654
2021-02,118.1796,53.2453
2021-03,114.3674,60.4049
2021-04,112.7952,67.83
2021-05,108.472,67.8968
2021-06,108.2668,70.6358
2021-07,101.0371,73.7106
2021-08,94.9795,77.7187
2021-09,87.9524,68.3779
2021-10,75.8946,79.119
2021-11,78.5781,76.6949
2021-12,95.7317,83.6042
2022-01,82.0124,72.9303
2022-02,77.4514,66.8181
2022-03,71.6654,72.1992
2022-04,65.3451,56.2223
2022-05,64.4964,55.8933
2022-06,39.3075,42.4002
2022-07,49.549,54.8512
2022-08,44.8122,47.8158
2022-09,29.2226,33.7039
2022-10,44.138,44.0824
2022-11,50.3576,51.4429
2022-12,34.0203,42.1877
2023-01,48.3464,50.5828
2023-02,45.8676,46.2373
2023-03,54.3538,52.2586
2023-04,57.3356,54.0684
2023-05,70.7926,54.1996
2023-06,72.7764,63.548
2023-07,66.2641,68.1942
2023-08,58.6519,64.7317
2023-09,62.3491,56.2636
2023-10,58.1425,52.2886
2023-11,71.3841,65.5989
2023-12,84.8483,72.448
2024-01,70.391,74.4576
2024-02,71.2924,82.7177
2024-03,92.3133,89.0282
2024-04,80.0232,80.6052
2024-05,69.9862,88.8335
2024-06,88.5456,96.0415
2024-07,93.201,97.3583
2024-08,70.3251,101.128
2024-09,42.9215,105.7758
2024-10,37.1888,102.865
2024-11,25.3069,113.7798
2024-12,25.2778,107.7813
2025-01,23.165,112.3595
2025-02,27.8771,108.6721
2025-03,37.9093,96.0839
2025-04,32.0433,93.6359
2025-05,33.4199,104.9003
2025-06,44.2519,114.5225
2025-07,71.7177,118.4064
2025-08,67.0597,121.8959
2025-09,101.2916,128.6764
2025-10,156.719,133.0211
2025-11,138.7802,132.409
2025-12,184.8027,131.4906
2026-01,279.1419,133.7386
2026-02,408.2964,130.7823
2026-03,290.8969,117.6098
2026-04,412.106,139.3863
2026-05,631.4209,150.8374
2026-06,665.2809,146.5232
2026-07,497.4219,145.3136
2026-08,422.3267,152.7306
