Date,rate_URA_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-5.5872,-1.8027
2016-03,10.4578,4.5695
2016-04,12.0471,3.6217
2016-05,-0.254,4.6859
2016-06,3.0187,4.2011
2016-07,-0.0747,7.3141
2016-08,-0.8572,6.5393
2016-09,-5.7777,5.8417
2016-10,-11.8793,3.4057
2016-11,-8.125,7.0013
2016-12,2.5897,8.6582
2017-01,38.3005,9.9058
2017-02,30.5121,13.4199
2017-03,18.0745,12.5861
2017-04,0.2871,12.9516
2017-05,-1.8729,13.7442
2017-06,0.5377,14.6714
2017-07,10.3337,16.2352
2017-08,5.2448,15.7466
2017-09,0.6469,17.3266
2017-10,-9.6568,19.2474
2017-11,8.466,22.0133
2017-12,16.2563,22.6523
2018-01,8.3154,28.4864
2018-02,-2.4823,22.6807
2018-03,-7.5062,18.8927
2018-04,2.5091,18.6249
2018-05,1.1186,20.8091
2018-06,-1.3373,20.9812
2018-07,1.0041,24.5763
2018-08,-2.4716,27.7899
2018-09,2.1248,27.6747
2018-10,-7.9141,18.1983
2018-11,-3.6707,19.8597
2018-12,-10.2509,8.8011
2019-01,-2.0373,17.1215
2019-02,-4.5095,20.4441
2019-03,-3.4508,22.1999
2019-04,-6.2882,26.5012
2019-05,-10.4532,17.9266
2019-06,-4.8208,25.7011
2019-07,-13.4508,26.9004
2019-08,-16.4845,24.2426
2019-09,-12.9573,26.142
2019-10,-13.6746,28.3311
2019-11,-13.8012,32.3256
2019-12,-11.438,35.5485
2020-01,-18.9685,34.7719
2020-02,-21.8864,23.2511
2020-03,-29.4627,7.5779
2020-04,-11.5268,21.2186
2020-05,-8.2479,26.5774
2020-06,-9.6869,28.3766
2020-07,-4.029,35.3325
2020-08,4.2953,44.0777
2020-09,-7.1937,37.914
2020-10,-9.6855,33.7633
2020-11,-0.9949,47.7098
2020-12,29.1445,52.3667
2021-01,21.8739,49.9654
2021-02,46.2584,53.2453
2021-03,56.5297,60.4049
2021-04,62.0241,67.83
2021-05,79.7013,67.8968
2021-06,72.8911,70.6358
2021-07,62.1568,73.7106
2021-08,68.8125,77.7187
2021-09,90.5027,68.3779
2021-10,113.5789,79.119
2021-11,97.5857,76.6949
2021-12,89.1334,83.6042
2022-01,70.1282,72.9303
2022-02,97.369,66.8181
2022-03,112.7354,72.1992
2022-04,87.2855,56.2223
2022-05,76.1243,55.8933
2022-06,49.0236,42.4002
2022-07,72.474,54.8512
2022-08,85.584,47.8158
2022-09,56.7658,33.7039
2022-10,59.0639,44.0824
2022-11,68.4519,51.4429
2022-12,56.6748,42.1877
2023-01,78.9104,50.5828
2023-02,61.7495,46.2373
2023-03,53.327,52.2586
2023-04,53.257,54.0684
2023-05,51.8355,54.1996
2023-06,64.9443,63.548
2023-07,71.7933,68.1942
2023-08,80.8842,64.7317
2023-09,102.7034,56.2636
2023-10,100.1204,52.2886
2023-11,114.7719,65.5989
2023-12,116.6138,72.448
2024-01,135.8483,74.4576
2024-02,112.3015,82.7177
2024-03,121.666,89.0282
2024-04,119.9483,80.6052
2024-05,145.099,88.8335
2024-06,118.8208,96.0415
2024-07,113.077,97.3583
2024-08,93.8214,101.128
2024-09,113.1031,105.7758
2024-10,127.7176,102.865
2024-11,138.4657,113.7798
2024-12,101.7933,107.7813
2025-01,112.3234,112.3595
2025-02,85.1177,108.6721
2025-03,70.3846,96.0839
2025-04,85.1456,93.6359
2025-05,136.0507,104.9003
2025-06,184.7239,114.5225
2025-07,187.1614,118.4064
2025-08,195.0744,121.8959
2025-09,243.8849,128.6764
2025-10,295.2076,133.0211
2025-11,222.6396,132.409
2025-12,217.5045,131.4906
2026-01,306.234,133.7386
2026-02,298.9533,130.7823
2026-03,253.4085,117.6098
2026-04,309.2984,139.3863
2026-05,266.0305,150.8374
2026-06,213.3204,146.5232
2026-07,178.6422,145.3136
