Date,rate_RGTI_5D,rate_VOO_20D
2021-04,0.0,0.0
2021-05,-1.5591,2.0634
2021-06,-1.4091,4.8024
2021-07,-1.0648,7.8772
2021-08,-1.1071,11.8853
2021-09,-0.0543,2.5445
2021-10,7.6141,13.2855
2021-11,9.4972,10.8615
2021-12,3.6619,17.7708
2022-01,-0.1112,7.0969
2022-02,-0.5298,0.9847
2022-03,-36.8525,6.3658
2022-04,-27.1137,-9.6111
2022-05,-3.3546,-9.9401
2022-06,-60.3974,-23.4332
2022-07,-47.8047,-10.9822
2022-08,-50.1576,-18.0176
2022-09,-74.732,-32.1295
2022-10,-67.3934,-21.751
2022-11,-77.3277,-14.3905
2022-12,-84.8551,-23.6457
2023-01,-79.6499,-15.2506
2023-02,-77.2272,-19.5961
2023-03,-74.9942,-13.5748
2023-04,-81.7593,-11.765
2023-05,-56.4606,-11.6338
2023-06,-42.9991,-2.2854
2023-07,23.9343,2.3608
2023-08,-11.558,-1.1017
2023-09,-34.3926,-9.5699
2023-10,-46.8067,-13.5448
2023-11,-45.3143,-0.2345
2023-12,-48.2285,6.6146
2024-01,-33.0662,8.6242
2024-02,2.5982,16.8843
2024-03,-16.5181,23.1948
2024-04,-29.6606,14.7718
2024-05,-41.6908,23.0001
2024-06,-39.4927,30.208
2024-07,-40.6295,31.5249
2024-08,-46.1209,35.2946
2024-09,-52.9908,39.9424
2024-10,-18.5854,37.0316
2024-11,89.3456,47.9464
2024-12,836.9999,41.9478
2025-01,692.9817,46.5261
2025-02,399.9565,42.8386
2025-03,360.2512,30.2505
2025-04,407.2426,27.8024
2025-05,581.2883,39.0669
2025-06,556.0636,48.6891
2025-07,689.1113,52.573
2025-08,768.7509,56.0625
2025-09,1468.3484,62.843
2025-10,2190.9218,67.1877
2025-11,1200.6693,66.5756
2025-12,1008.6112,65.6571
2026-01,795.1651,67.9051
2026-02,745.2987,64.9489
2026-03,710.8867,61.9048
