Date,rate_CFG_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-15.7739,-1.8027
2016-03,-4.453,4.5695
2016-04,4.8822,3.6217
2016-05,7.628,4.6859
2016-06,-9.7447,4.2011
2016-07,2.6639,7.3141
2016-08,14.112,6.5393
2016-09,12.3831,5.8417
2016-10,19.002,3.4057
2016-11,48.9054,7.0013
2016-12,53.7532,8.6582
2017-01,52.469,9.9058
2017-02,53.5744,13.4199
2017-03,38.3376,12.5861
2017-04,44.4329,12.9516
2017-05,32.1627,13.7442
2017-06,36.3417,14.6714
2017-07,32.8484,16.2352
2017-08,23.8995,15.7466
2017-09,40.2308,17.3266
2017-10,39.5701,19.2474
2017-11,47.5444,22.0133
2017-12,50.1351,22.6523
2018-01,62.7189,28.4864
2018-02,51.8205,22.6807
2018-03,44.6963,18.8927
2018-04,41.4323,18.6249
2018-05,38.6122,20.8091
2018-06,30.7172,20.9812
2018-07,33.5583,24.5763
2018-08,37.0875,27.7899
2018-09,27.4166,27.6747
2018-10,23.5108,18.1983
2018-11,19.5793,19.8597
2018-12,-2.641,8.8011
2019-01,12.1914,17.1215
2019-02,21.7833,20.4441
2019-03,6.671,22.1999
2019-04,19.5558,26.5012
2019-05,7.2143,17.9266
2019-06,16.1635,25.7011
2019-07,23.1616,26.9004
2019-08,11.2008,24.2426
2019-09,16.3055,26.142
2019-10,16.5162,28.3311
2019-11,26.9651,32.3256
2019-12,33.4625,35.5485
2020-01,23.1796,34.7719
2020-02,4.3347,23.2511
2020-03,-38.0775,7.5779
2020-04,-23.9385,21.2186
2020-05,-17.4991,26.5774
2020-06,-13.3119,28.3766
2020-07,-13.1323,35.3325
2020-08,-9.1835,44.0777
2020-09,-11.1136,37.914
2020-10,-2.6276,33.7633
2020-11,16.7356,47.7098
2020-12,27.4463,52.3667
2021-01,29.4087,49.9654
2021-02,55.0161,53.2453
2021-03,56.6006,60.4049
2021-04,64.5681,67.83
2021-05,76.3603,67.8968
2021-06,61.0549,70.6358
2021-07,48.5442,73.7106
2021-08,53.5387,77.7187
2021-09,63.9012,68.3779
2021-10,65.6875,79.119
2021-11,64.3452,76.6949
2021-12,63.4052,83.6042
2022-01,81.062,72.9303
2022-02,83.1306,66.8181
2022-03,57.5137,72.1992
2022-04,36.2939,56.2223
2022-05,43.9852,55.8933
2022-06,23.7895,42.4002
2022-07,31.3527,54.8512
2022-08,27.9263,47.8158
2022-09,19.5205,33.7039
2022-10,41.9651,44.0824
2022-11,48.0946,51.4429
2022-12,37.0629,42.1877
2023-01,51.7779,50.5828
2023-02,45.716,46.2373
2023-03,5.6308,52.2586
2023-04,7.5462,54.0684
2023-05,-8.9145,54.1996
2023-06,-7.8168,63.548
2023-07,14.1095,68.1942
2023-08,0.7437,64.7317
2023-09,-4.0396,56.2636
2023-10,-14.5508,52.2886
2023-11,-0.3567,65.5989
2023-12,21.0147,72.448
2024-01,20.7252,74.4576
2024-02,15.808,82.7177
2024-03,33.6765,89.0282
2024-04,26.8952,80.6052
2024-05,30.9601,88.8335
2024-06,33.3938,96.0415
2024-07,59.1285,97.3583
2024-08,60.0912,101.128
2024-09,52.1872,105.7758
2024-10,57.1485,102.865
2024-11,79.0002,113.7798
2024-12,62.0586,107.7813
2025-01,77.0898,112.3595
2025-02,72.7634,108.6721
2025-03,54.0695,96.0839
2025-04,39.8833,93.6359
2025-05,52.5771,104.9003
2025-06,68.6892,114.5225
2025-07,80.7889,118.4064
2025-08,97.3396,121.8959
2025-09,99.8133,128.6764
2025-10,92.1287,133.0211
2025-11,103.4965,132.409
2025-12,118.7606,131.4906
2026-01,134.8089,133.7386
2026-02,125.0619,130.7823
2026-03,112.25,117.6607
