Date,rate_AIG_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-11.15,-0.6039
2016-03,-1.1556,5.2168
2016-04,1.8178,3.9893
2016-05,4.7832,4.6886
2016-06,-4.3843,4.1237
2016-07,-1.0157,7.1795
2016-08,8.8714,6.3603
2016-09,7.6029,5.6281
2016-10,11.1132,3.196
2016-11,13.1115,6.7601
2016-12,15.9255,8.3626
2017-01,14.0792,10.2536
2017-02,12.3566,13.6522
2017-03,9.3325,12.7005
2017-04,6.1052,12.9818
2017-05,10.3319,13.693
2017-06,8.307,13.5288
2017-07,12.789,15.0481
2017-08,3.5864,14.5515
2017-09,5.4623,16.1037
2017-10,10.6401,17.9557
2017-11,2.226,20.6805
2017-12,2.011,21.3029
2018-01,9.389,28.0338
2018-02,-2.2584,22.1441
2018-03,-6.5585,18.3021
2018-04,-3.4963,18.0902
2018-05,-8.9324,20.2208
2018-06,-7.7147,20.3415
2018-07,-3.679,23.8746
2018-08,-7.123,27.0072
2018-09,-6.4418,27.7347
2018-10,-27.25,18.1437
2018-11,-23.0667,19.7418
2018-12,-28.6926,8.5778
2019-01,-21.8397,17.1263
2019-02,-21.3163,20.3748
2019-03,-20.3932,22.0514
2019-04,-11.5319,26.2651
2019-05,-4.6668,17.5943
2019-06,0.0813,25.308
2019-07,5.1168,26.4355
2019-08,-2.3721,23.7232
2019-09,5.0904,26.1617
2019-10,-0.1403,28.2707
2019-11,-0.7478,32.1761
2019-12,-2.6002,35.3247
2020-01,-4.6158,35.2749
2020-02,-19.9481,23.5454
2020-03,-53.0893,7.7105
2020-04,-49.2501,21.425
2020-05,-38.632,26.7132
2020-06,-34.8953,28.4357
2020-07,-32.0231,35.3124
2020-08,-37.7946,43.9511
2020-09,-39.8488,37.6938
2020-10,-30.3557,33.4637
2020-11,-14.3729,47.2943
2020-12,-14.7363,51.8455
2021-01,-15.6735,50.305
2021-02,-0.699,53.4604
2021-03,5.0745,59.4101
2021-04,10.0496,66.6882
2021-05,19.7928,66.6274
2021-06,8.3099,69.2184
2021-07,7.5599,72.1455
2021-08,23.7737,75.992
2021-09,24.8511,66.6118
2021-10,33.9409,77.1553
2021-11,18.7325,74.6519
2021-12,28.771,81.397
2022-01,30.3108,70.7122
2022-02,37.661,64.6001
2022-03,41.3272,69.8532
2022-04,31.1387,54.0273
2022-05,31.0529,53.6333
2022-06,14.5395,40.2902
2022-07,15.7214,52.5094
2022-08,15.4738,45.531
2022-09,6.4514,31.5965
2022-10,27.5844,41.7445
2022-11,40.848,48.9584
2022-12,41.3115,39.838
2023-01,41.267,48.5632
2023-02,36.0953,44.2258
2023-03,12.4912,48.9578
2023-04,18.2994,50.6836
2023-05,17.5986,50.7741
2023-06,28.6172,59.884
2023-07,34.3531,64.3798
2023-08,30.0263,60.953
2023-09,35.058,52.6248
2023-10,36.2351,48.7132
2023-11,45.7613,61.6976
2023-12,50.3081,68.3392
2024-01,54.1921,71.0275
2024-02,61.0589,79.0476
2024-03,72.7836,83.99
2024-04,65.6952,75.7344
2024-05,72.6564,83.6813
2024-06,62.7659,89.2836
2024-07,72.9747,90.5002
2024-08,67.5219,94.0822
2024-09,60.0879,98.2932
2024-10,65.2351,95.412
2024-11,66.7276,105.8418
2024-12,58.1075,99.9875
2025-01,59.9644,105.351
2025-02,79.4327,101.7087
2025-03,88.1109,89.4719
2025-04,75.5601,87.0451
2025-05,81.5122,97.8575
2025-06,83.6917,107.0685
2025-07,65.8644,110.7404
2025-08,73.0909,114.0337
2025-09,68.1335,121.6081
2025-10,68.3495,125.7153
2025-11,61.7608,125.0226
2025-12,81.9978,124.0393
2026-01,59.4229,127.2713
2026-02,81.2278,125.3185
