Date,rate_MARA_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,26.2005,-1.8027
2016-03,4.9068,4.5695
2016-04,-6.4643,3.6217
2016-05,41.8203,4.6859
2016-06,36.8448,4.2011
2016-07,41.8397,7.3141
2016-08,32.9297,6.5393
2016-09,25.7365,5.8417
2016-10,-3.482,3.4057
2016-11,-20.1706,7.0013
2016-12,-22.2579,8.6582
2017-01,-19.1648,9.9058
2017-02,-33.6474,13.4199
2017-03,-49.911,12.5861
2017-04,-71.7516,12.9516
2017-05,-86.2604,13.7442
2017-06,-69.0274,14.6714
2017-07,-71.7489,16.2352
2017-08,-54.3703,15.7466
2017-09,-52.5348,17.3266
2017-10,-55.3505,19.2474
2017-11,25.2922,22.0133
2017-12,21.5164,22.6523
2018-01,-5.5032,28.4864
2018-02,-34.0476,22.6807
2018-03,-66.0712,18.8927
2018-04,-41.4245,18.6249
2018-05,-53.5647,20.8091
2018-06,-67.9801,20.9812
2018-07,-60.968,24.5763
2018-08,-61.6693,27.7899
2018-09,-70.0278,27.6747
2018-10,-74.0577,18.1983
2018-11,-70.7551,19.8597
2018-12,-81.8359,8.8011
2019-01,-80.7504,17.1215
2019-02,-60.4806,20.4441
2019-03,-66.1159,22.1999
2019-04,-49.9529,26.5012
2019-05,-52.4544,17.9266
2019-06,-48.3518,25.7011
2019-07,-61.6551,26.9004
2019-08,-68.1941,24.2426
2019-09,-65.0872,26.142
2019-10,-71.9333,28.3311
2019-11,-71.976,32.3256
2019-12,-79.6716,35.5485
2020-01,-74.0721,34.7719
2020-02,-77.3171,23.2511
2020-03,-87.2899,7.5779
2020-04,-85.3711,21.2186
2020-05,-74.7269,26.5774
2020-06,-65.4749,28.3766
2020-07,-20.5376,35.3325
2020-08,-2.4971,44.0777
2020-09,-22.9343,37.914
2020-10,-14.6352,33.7633
2020-11,148.7159,47.7098
2020-12,309.3196,52.3667
2021-01,702.9769,49.9654
2021-02,1050.7667,53.2453
2021-03,1705.6553,60.4049
2021-04,1262.6067,67.83
2021-05,804.6323,67.8968
2021-06,1030.1648,70.6358
2021-07,881.9242,73.7106
2021-08,1323.3934,77.7187
2021-09,992.5256,68.3779
2021-10,1683.6109,79.119
2021-11,1620.4043,76.6949
2021-12,992.5251,83.6042
2022-01,672.952,72.9303
2022-02,722.4949,66.8181
2022-03,796.1796,72.1992
2022-04,394.3764,56.2223
2022-05,220.8737,55.8933
2022-06,66.1404,42.4002
2022-07,301.8554,54.8512
2022-08,263.2227,47.8158
2022-09,225.3859,33.7039
2022-10,294.9124,44.0824
2022-11,88.7616,51.4429
2022-12,1.6339,42.1877
2023-01,114.1108,50.5828
2023-02,109.4919,46.2373
2023-03,155.8497,52.2586
2023-04,193.3974,54.0684
2023-05,183.2904,54.1996
2023-06,298.1039,63.548
2023-07,394.7898,68.1942
2023-08,255.0114,64.7317
2023-09,138.2777,56.2636
2023-10,145.4395,52.2886
2023-11,231.3411,65.5989
2023-12,545.1335,72.448
2024-01,382.7228,74.4576
2024-02,599.3354,82.7177
2024-03,504.3919,89.0282
2024-04,326.3508,80.6052
2024-05,414.254,88.8335
2024-06,418.8161,96.0415
2024-07,409.9684,97.3583
2024-08,329.707,101.128
2024-09,314.3095,105.7758
2024-10,325.3642,102.865
2024-11,590.5226,113.7798
2024-12,319.0218,107.7813
2025-01,355.0396,112.3595
2025-02,242.9514,108.6721
2025-03,181.5402,96.0839
2025-04,225.3896,93.6359
2025-05,241.485,104.9003
2025-06,276.8492,114.5225
2025-07,283.9899,118.4064
2025-08,279.2019,121.8959
2025-09,330.5631,128.6764
2025-10,327.9799,133.0211
2025-11,174.9066,132.409
2025-12,107.9648,131.4906
2026-01,119.0574,133.7386
2026-02,105.2323,130.7823
2026-03,86.554,117.6098
2026-04,173.0592,139.3863
2026-05,225.8518,150.8374
2026-06,212.9965,146.5232
2026-07,153.7618,145.3136
2026-08,150.7764,151.6251
