Date,rate_FIS_5D,rate_VOO_20D
2016-01,-0.288,-3.28
2016-02,-3.3886,-1.8027
2016-03,5.4969,4.5695
2016-04,7.4869,3.6217
2016-05,19.5409,4.6859
2016-06,15.6749,4.2011
2016-07,22.2125,7.3141
2016-08,19.1887,6.5393
2016-09,14.0233,5.8417
2016-10,8.0792,3.4057
2016-11,11.7247,7.0013
2016-12,9.0566,8.6582
2017-01,13.7675,9.9058
2017-02,16.8492,13.4199
2017-03,12.3616,12.5861
2017-04,17.9861,12.9516
2017-05,19.2357,13.7442
2017-06,17.8596,14.6714
2017-07,24.8529,16.2352
2017-08,25.8692,15.7466
2017-09,25.6844,17.3266
2017-10,23.6771,19.2474
2017-11,24.7009,22.0133
2017-12,23.7634,22.6523
2018-01,33.5963,28.4864
2018-02,25.6387,22.6807
2018-03,24.0208,18.8927
2018-04,21.4668,18.6249
2018-05,29.7397,20.8091
2018-06,33.9048,20.9812
2018-07,29.1808,24.5763
2018-08,34.5268,27.7899
2018-09,34.9815,27.6747
2018-10,27.9175,18.1983
2018-11,31.8209,19.8597
2018-12,24.7846,8.8011
2019-01,26.5063,17.1215
2019-02,30.0895,20.4441
2019-03,35.6316,22.1999
2019-04,38.0891,26.5012
2019-05,42.3328,17.9266
2019-06,44.5291,25.7011
2019-07,55.7934,26.9004
2019-08,58.0048,24.2426
2019-09,53.1427,26.142
2019-10,50.8729,28.3311
2019-11,57.0014,32.3256
2019-12,57.2675,35.5485
2020-01,61.2188,34.7719
2020-02,55.613,23.2511
2020-03,34.95,7.5779
2020-04,45.7415,21.2186
2020-05,52.5207,26.5774
2020-06,46.7589,28.3766
2020-07,59.1324,35.3325
2020-08,62.9731,44.0777
2020-09,58.323,37.914
2020-10,33.1808,33.7633
2020-11,57.9321,47.7098
2020-12,50.7091,52.3667
2021-01,30.844,49.9654
2021-02,45.5859,53.2453
2021-03,47.9874,60.4049
2021-04,60.0355,67.83
2021-05,55.0412,67.8968
2021-06,47.0623,70.6358
2021-07,53.9432,73.7106
2021-08,31.3065,77.7187
2021-09,25.0028,68.3779
2021-10,13.4325,79.119
2021-11,6.83,76.6949
2021-12,12.6952,83.6042
2022-01,23.5998,72.9303
2022-02,-2.0983,66.8181
2022-03,3.7614,72.1992
2022-04,2.3525,56.2223
2022-05,7.8317,55.8933
2022-06,-4.9768,42.4002
2022-07,5.9111,54.8512
2022-08,-5.3296,47.8158
2022-09,-21.1318,33.7039
2022-10,-13.1198,44.0824
2022-11,-23.8617,51.4429
2022-12,-28.0657,42.1877
2023-01,-20.0893,50.5828
2023-02,-32.3257,46.2373
2023-03,-41.0816,52.2586
2023-04,-35.8263,54.0684
2023-05,-39.9406,54.1996
2023-06,-38.7867,63.548
2023-07,-31.9757,68.1942
2023-08,-36.7505,64.7317
2023-09,-36.4499,56.2636
2023-10,-43.173,52.2886
2023-11,-31.6275,65.5989
2023-12,-29.0399,72.448
2024-01,-26.1471,74.4576
2024-02,-17.6521,82.7177
2024-03,-11.1027,89.0282
2024-04,-18.4644,80.6052
2024-05,-8.7111,88.8335
2024-06,-8.818,96.0415
2024-07,-6.9335,97.3583
2024-08,-0.0416,101.128
2024-09,1.9681,105.7758
2024-10,9.2223,102.865
2024-11,3.7603,113.7798
2024-12,-1.3403,107.7813
2025-01,-0.4744,112.3595
2025-02,-13.0971,108.6721
2025-03,-8.1415,96.0839
2025-04,-2.9035,93.6359
2025-05,-1.9665,104.9003
2025-06,0.7564,114.5225
2025-07,-1.7375,118.4064
2025-08,-13.5784,121.8959
2025-09,-17.7569,128.6764
2025-10,-21.8848,133.0211
2025-11,-17.6371,132.409
2025-12,-16.1303,131.4906
2026-01,-30.1444,133.7386
2026-02,-35.3301,130.7823
2026-03,-36.2644,129.7769
