Date,rate_YUM_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,1.7678,-3.7423
2016-03,5.0959,0.3764
2016-04,11.6125,5.1946
2016-05,5.712,3.5695
2016-06,8.3206,4.8356
2016-07,8.3439,4.3651
2016-08,15.2823,7.2005
2016-09,15.0578,6.5176
2016-10,13.436,5.8316
2016-11,4.8248,2.6321
2016-12,7.8162,6.5262
2017-01,8.2505,8.6002
2017-02,10.7346,9.8701
2017-03,11.1468,14.9815
2017-04,7.5853,12.5254
2017-05,10.7087,13.1716
2017-06,23.5992,14.581
2017-07,22.1666,14.626
2017-08,24.3903,16.4591
2017-09,24.9591,15.9061
2017-10,18.8882,17.2911
2017-11,19.1474,19.4181
2017-12,33.2606,21.7575
2018-01,29.0398,22.6249
2018-02,31.5878,28.3844
2018-03,24.2837,21.0506
2018-04,31.786,18.8566
2018-05,32.9646,18.843
2018-06,25.1754,22.0592
2018-07,18.7312,20.962
2018-08,20.0115,24.4135
2018-09,32.152,27.7869
2018-10,36.5022,28.1445
2018-11,31.7861,19.3954
2018-12,38.7731,19.8359
2019-01,37.2438,8.7501
2019-02,39.51,17.203
2019-03,40.9095,21.2677
2019-04,47.4977,23.6016
2019-05,48.2861,25.5902
2019-06,48.3037,17.8911
2019-07,57.4159,26.7327
2019-08,66.6984,25.8061
2019-09,66.734,24.2046
2019-10,59.7426,24.595
2019-11,39.8593,29.5299
2019-12,41.0178,32.3145
2020-01,40.2442,35.5516
2020-02,46.3967,34.7733
2020-03,23.393,23.2161
2020-04,-6.8198,2.6957
2020-05,15.5989,17.923
2020-06,25.1806,27.1545
2020-07,19.1045,29.2791
2020-08,25.0743,35.3897
2020-09,32.2487,45.4969
2020-10,25.7505,38.8421
2020-11,27.3654,33.8054
2020-12,45.2285,49.4413
2021-01,47.4885,52.4925
2021-02,39.2757,52.5474
2021-03,41.2638,57.1165
2021-04,47.7237,62.2404
2021-05,59.9874,68.0147
2021-06,60.2342,67.9506
2021-07,54.1505,71.7835
2021-08,73.6699,73.9065
2021-09,73.4519,78.108
2021-10,62.0199,70.559
2021-11,64.8989,79.7147
2021-12,60.9896,74.8714
2022-01,80.466,83.8439
2022-02,59.6255,74.2485
2022-03,54.9759,64.4857
2022-04,52.6986,72.8765
2022-05,49.6884,56.3809
2022-06,52.8376,54.7432
2022-07,48.7053,43.9638
2022-08,55.7387,54.5402
2022-09,46.4891,48.4061
2022-10,35.7978,33.808
2022-11,50.393,43.6413
2022-12,65.2258,51.6237
2023-01,63.0338,42.3283
2023-02,63.4694,52.4008
2023-03,59.9489,45.8599
2023-04,66.6782,52.4428
2023-05,78.6698,54.1535
2023-06,68.3349,55.8684
2023-07,75.5541,63.7729
2023-08,71.961,67.9151
2023-09,63.5014,65.3142
2023-10,56.9139,56.4671
2023-11,51.7535,54.158
2023-12,59.4786,66.8181
2024-01,63.0118,72.7134
2024-02,62.1002,77.0248
2024-03,70.922,84.7703
2024-04,73.9814,89.0895
2024-05,66.9015,80.3005
2024-06,72.1098,89.1407
2024-07,61.758,96.817
2024-08,67.1216,94.9948
2024-09,67.8244,101.4737
2024-10,72.5295,104.2286
2024-11,63.3286,104.0979
2024-12,70.8517,114.1559
2025-01,65.1602,108.1307
2025-02,60.0713,112.719
2025-03,93.7517,109.0154
2025-04,96.0494,97.097
2025-05,82.5156,95.2965
2025-06,76.9524,105.2137
2025-07,84.1501,114.7559
2025-08,77.3064,115.142
2025-09,78.5955,122.2543
2025-10,86.3124,129.8729
2025-11,67.432,133.4127
2025-12,81.8716,131.7276
2026-01,82.8123,131.8756
2026-02,101.6742,131.1612
