Date,rate_ACGL_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-0.6967,-1.8027
2016-03,3.7726,4.5695
2016-04,1.5964,3.6217
2016-05,4.387,4.6859
2016-06,2.7513,4.2011
2016-07,3.348,7.3141
2016-08,14.5852,6.5393
2016-09,10.5605,5.8417
2016-10,7.7241,3.4057
2016-11,13.6509,7.0013
2016-12,17.2964,8.6582
2017-01,18.7283,9.9058
2017-02,25.5826,13.4199
2017-03,24.0585,12.5861
2017-04,25.3964,12.9516
2017-05,24.2586,13.7442
2017-06,17.8625,14.6714
2017-07,21.8883,16.2352
2017-08,20.8759,15.7466
2017-09,21.2939,17.3266
2017-10,21.7165,19.2474
2017-11,14.8552,22.0133
2017-12,9.5086,22.6523
2018-01,9.3322,28.4864
2018-02,5.7309,22.6807
2018-03,2.4377,18.8927
2018-04,-4.1689,18.6249
2018-05,-6.0547,20.8091
2018-06,-4.7973,20.9812
2018-07,10.1174,24.5763
2018-08,9.8887,27.7899
2018-09,6.8691,27.6747
2018-10,1.5684,18.1983
2018-11,2.3853,19.8597
2018-12,-4.4629,8.8011
2019-01,5.0617,17.1215
2019-02,16.7418,20.4441
2019-03,15.0518,22.1999
2019-04,19.822,26.5012
2019-05,21.6274,17.9266
2019-06,30.4253,25.7011
2019-07,35.2956,26.9004
2019-08,37.3145,24.2426
2019-09,45.0441,26.142
2019-10,43.3393,28.3311
2019-11,43.1294,32.3256
2019-12,45.3455,35.5485
2020-01,48.6914,34.7719
2020-02,35.2518,23.2511
2020-03,-5.2455,7.5779
2020-04,-19.7387,21.2186
2020-05,-5.2433,26.5774
2020-06,-3.7604,28.3766
2020-07,3.392,35.3325
2020-08,5.9835,44.0777
2020-09,-1.8023,37.914
2020-10,1.4393,33.7633
2020-11,8.0865,47.7098
2020-12,20.8623,52.3667
2021-01,4.9665,49.9654
2021-02,19.5583,53.2453
2021-03,27.7236,60.4049
2021-04,31.6885,67.83
2021-05,31.795,67.8968
2021-06,28.1894,70.6358
2021-07,27.9277,73.7106
2021-08,34.3759,77.7187
2021-09,24.3957,68.3779
2021-10,35.8616,79.119
2021-11,30.6776,76.6949
2021-12,43.3537,83.6042
2022-01,48.7592,72.9303
2022-02,50.5946,66.8181
2022-03,54.1233,72.1992
2022-04,44.6997,56.2223
2022-05,49.7635,55.8933
2022-06,42.9588,42.4002
2022-07,38.9928,54.8512
2022-08,42.6466,47.8158
2022-09,41.561,33.7039
2022-10,78.0718,44.0824
2022-11,84.5975,51.4429
2022-12,92.3809,42.1877
2023-01,96.0742,50.5828
2023-02,112.0679,46.2373
2023-03,104.3546,52.2586
2023-04,124.7033,54.0684
2023-05,107.3238,54.1996
2023-06,121.3529,63.548
2023-07,128.3615,68.1942
2023-08,124.5513,64.7317
2023-09,131.4811,56.2636
2023-10,150.1915,52.2886
2023-11,140.0018,65.5989
2023-12,111.7195,72.448
2024-01,133.685,74.4576
2024-02,146.8572,82.7177
2024-03,158.9589,89.0282
2024-04,160.432,80.6052
2024-05,183.9582,88.8335
2024-06,177.3731,96.0415
2024-07,161.6975,97.3583
2024-08,207.1167,101.128
2024-09,201.8806,105.7758
2024-10,164.2621,102.865
2024-11,181.8284,113.7798
2024-12,156.8662,107.7813
2025-01,157.4172,112.3595
2025-02,155.5463,108.6721
2025-03,163.0859,96.0839
2025-04,146.677,93.6359
2025-05,157.1801,104.9003
2025-06,145.0668,114.5225
2025-07,130.4452,118.4064
2025-08,143.8685,121.8959
2025-09,140.5192,128.6764
2025-10,127.6792,133.0211
2025-11,146.5713,132.409
2025-12,150.5785,131.4906
2026-01,149.6458,133.7386
2026-02,159.0446,130.7823
2026-03,158.6004,127.7382
