Date,rate_MMM_5D,rate_VOO_20D
2016-01,7.7085,1.4254
2016-02,9.305,0.6142
2016-03,11.0324,6.1243
2016-04,8.5825,4.6014
2016-05,7.969,5.2878
2016-06,10.9,4.687
2016-07,11.3166,7.7174
2016-08,10.9333,6.8637
2016-09,7.7703,5.9421
2016-10,0.6947,3.4868
2016-11,5.127,6.843
2016-12,8.6426,8.2789
2017-01,5.6989,9.3935
2017-02,12.8333,12.821
2017-03,14.8366,12.0413
2017-04,16.5866,12.4367
2017-05,21.4414,13.2406
2017-06,22.4073,14.1802
2017-07,17.0493,15.6892
2017-08,18.5307,15.2834
2017-09,20.8748,16.8657
2017-10,31.4009,18.7799
2017-11,38.6663,21.509
2017-12,32.7046,22.1709
2018-01,39.7769,27.9258
2018-02,30.9072,22.2578
2018-03,20.9769,18.4465
2018-04,6.481,18.162
2018-05,8.4502,20.337
2018-06,7.8463,20.5057
2018-07,16.1107,24.0401
2018-08,15.6834,27.2093
2018-09,15.0906,27.1082
2018-10,3.4579,17.9327
2018-11,11.0789,19.5577
2018-12,1.5072,8.5722
2019-01,6.6614,16.8959
2019-02,11.0423,20.2219
2019-03,10.9564,21.9603
2019-04,0.9032,26.2654
2019-05,-13.9843,20.4953
2019-06,-6.3135,25.3574
2019-07,-5.4368,26.514
2019-08,-8.6403,24.0717
2019-09,-6.9276,25.9454
2019-10,-6.3578,27.4086
2019-11,-2.7555,31.384
2019-12,1.0806,34.5804
2020-01,-9.1167,33.8021
2020-02,-13.5999,22.3336
2020-03,-21.1832,15.1867
2020-04,-16.5124,29.6272
2020-05,-13.3673,28.2305
2020-06,-14.8489,28.0341
2020-07,-18.143,33.4885
2020-08,-8.6569,42.106
2020-09,-9.4469,38.2475
2020-10,-10.9156,34.0563
2020-11,-4.7787,42.9575
2020-12,-5.4283,47.5016
2021-01,-4.7605,45.1166
2021-02,-3.7158,43.0879
2021-03,3.4749,49.8512
2021-04,5.7636,56.911
2021-05,9.5867,54.6413
2021-06,7.0297,57.2758
2021-07,6.5472,60.2291
2021-08,7.0711,64.0213
2021-09,-3.6424,55.5224
2021-10,-1.8157,65.5435
2021-11,-5.7513,65.5034
2021-12,-1.5449,68.4598
2022-01,-7.962,58.7763
2022-02,-16.5609,53.2596
2022-03,-16.1815,58.2953
2022-04,-18.6716,52.2757
2022-05,-20.2867,51.0659
2022-06,-30.6034,38.0304
2022-07,-22.7502,50.1558
2022-08,-30.2622,43.3725
2022-09,-37.67,29.6913
2022-10,-28.53,39.7003
2022-11,-26.9196,46.8631
2022-12,-27.3086,40.5677
2023-01,-29.0526,48.7988
2023-02,-33.9182,45.5387
2023-03,-35.1193,49.6635
2023-04,-34.027,48.4614
2023-05,-40.42,48.1923
2023-06,-36.7858,57.2072
2023-07,-31.4334,61.7125
2023-08,-32.9774,59.5229
2023-09,-40.8698,51.3631
2023-10,-42.0949,47.5518
2023-11,-35.4585,60.474
2023-12,-28.3837,67.125
2024-01,-37.7969,69.1001
2024-02,-37.8618,77.1309
2024-03,-28.0095,83.2841
2024-04,-24.4518,75.177
2024-05,-20.9426,83.1784
2024-06,-19.1341,90.182
2024-07,1.1433,90.9416
2024-08,0.7797,97.1965
2024-09,2.5035,98.31
2024-10,0.0321,95.5089
2024-11,2.3674,105.9957
2024-12,-1.0571,100.2436
2025-01,16.6662,104.6582
2025-02,16.8625,101.1287
2025-03,6.8625,89.045
2025-04,6.906,88.6819
2025-05,16.3436,99.6712
2025-06,18.1013,109.046
2025-07,17.4653,112.823
2025-08,20.7727,112.1707
2025-09,20.3035,118.6779
2025-10,28.8731,122.8639
2025-11,34.6308,122.3204
2025-12,25.0176,121.4705
2026-01,19.3989,123.6468
2026-02,30.9956,120.852
