Date,rate_WSM_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-8.3742,-3.7423
2016-03,0.4148,0.3764
2016-04,1.4091,5.1946
2016-05,9.0517,3.5695
2016-06,-3.0489,4.8356
2016-07,-2.6124,4.3651
2016-08,-0.7078,7.2005
2016-09,-3.3952,6.5176
2016-10,-4.9275,5.8316
2016-11,-12.3017,2.6321
2016-12,4.5978,6.5262
2017-01,-7.9492,8.6002
2017-02,-8.4751,9.8701
2017-03,-3.7599,14.9815
2017-04,4.4093,12.5254
2017-05,2.2438,13.1716
2017-06,-4.8894,14.581
2017-07,-4.976,14.626
2017-08,-8.4323,16.4591
2017-09,-7.4592,15.9061
2017-10,-0.3966,17.2911
2017-11,3.6926,19.4181
2017-12,3.728,21.7575
2018-01,3.7491,22.6249
2018-02,2.8337,28.3844
2018-03,4.7975,21.0506
2018-04,6.2269,18.8566
2018-05,-2.6383,18.843
2018-06,10.8189,22.0592
2018-07,24.1253,20.962
2018-08,14.7029,24.4135
2018-09,41.6247,27.7869
2018-10,29.9278,28.1445
2018-11,22.4147,19.3954
2018-12,12.604,19.8359
2019-01,0.0012,8.7501
2019-02,7.8874,17.203
2019-03,17.3473,21.2677
2019-04,13.2648,23.6016
2019-05,10.5738,25.5902
2019-06,16.5905,17.8911
2019-07,28.2494,26.7327
2019-08,27.7087,25.8061
2019-09,30.3443,24.2046
2019-10,33.6287,24.595
2019-11,31.8372,29.5299
2019-12,36.282,32.3145
2020-01,43.4134,35.5516
2020-02,36.9361,34.7733
2020-03,21.2496,23.2161
2020-04,-27.1799,2.6957
2020-05,18.4572,17.923
2020-06,59.2718,27.1545
2020-07,65.1221,29.2791
2020-08,69.3094,35.3897
2020-09,69.8824,45.4969
2020-10,79.5714,38.8421
2020-11,74.3586,33.8054
2020-12,110.1591,49.4413
2021-01,91.579,52.4925
2021-02,135.038,52.5474
2021-03,151.5009,57.1165
2021-04,234.8725,62.2404
2021-05,211.6651,68.0147
2021-06,208.7674,67.9506
2021-07,186.4925,71.7835
2021-08,169.5983,73.9065
2021-09,222.6525,78.108
2021-10,204.8693,70.559
2021-11,225.4024,79.7147
2021-12,220.3547,74.8714
2022-01,187.4484,83.8439
2022-02,178.7818,74.2485
2022-03,146.0271,64.4857
2022-04,136.0764,72.8765
2022-05,116.7174,56.3809
2022-06,106.2104,54.7432
2022-07,84.8264,43.9638
2022-08,138.1063,54.5402
2022-09,138.8485,48.4061
2022-10,90.2133,33.808
2022-11,101.5161,43.6413
2022-12,87.3231,51.6237
2023-01,83.4096,42.3283
2023-02,122.6208,52.4008
2023-03,95.8948,45.8599
2023-04,91.8737,52.4428
2023-05,87.3778,54.1535
2023-06,79.1302,55.8684
2023-07,95.7713,63.7729
2023-08,116.8441,67.9151
2023-09,124.9599,65.3142
2023-10,140.4996,56.4671
2023-11,131.3754,54.158
2023-12,201.2142,66.8181
2024-01,208.1739,72.7134
2024-02,200.1119,77.0248
2024-03,258.0805,84.7703
2024-04,373.0772,89.0895
2024-05,324.3528,80.3005
2024-06,335.4089,89.1407
2024-07,308.054,96.817
2024-08,329.0684,94.9948
2024-09,294.7214,101.4737
2024-10,340.6657,104.2286
2024-11,287.838,104.0979
2024-12,401.1509,114.1559
2025-01,435.4908,108.1307
2025-02,513.2078,112.719
2025-03,460.1964,109.0154
2025-04,354.0014,97.097
2025-05,349.6763,95.2965
2025-06,363.5973,105.2137
2025-07,381.5545,114.7559
2025-08,436.0684,115.142
2025-09,433.7777,122.2543
2025-10,450.0959,129.8729
2025-11,449.1338,133.4127
2025-12,411.9597,131.7276
2026-01,397.7945,131.8756
2026-02,472.8674,131.1612
