Date,rate_MOS_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,10.8332,-0.6039
2016-03,8.6608,5.2168
2016-04,10.4052,3.9893
2016-05,-1.689,4.6886
2016-06,2.2092,4.1237
2016-07,4.7918,7.1795
2016-08,16.1632,6.3603
2016-09,-5.6801,5.6281
2016-10,-8.9403,3.196
2016-11,11.5046,6.7601
2016-12,13.8851,8.3626
2017-01,21.7901,10.2536
2017-02,20.3618,13.6522
2017-03,11.2563,12.7005
2017-04,2.0152,12.9818
2017-05,-13.8202,13.693
2017-06,-12.3159,13.5288
2017-07,-6.828,15.0481
2017-08,-22.364,14.5515
2017-09,-14.3766,16.1037
2017-10,-10.7644,17.9557
2017-11,-2.5401,20.6805
2017-12,3.0484,21.3029
2018-01,9.6298,28.0338
2018-02,5.3541,22.1441
2018-03,-3.0298,18.3021
2018-04,7.8461,18.0902
2018-05,9.7048,20.2208
2018-06,11.5446,20.3415
2018-07,19.3234,23.8746
2018-08,23.2972,27.0072
2018-09,28.0646,27.7347
2018-10,21.078,18.1437
2018-11,39.9602,19.7418
2018-12,12.512,8.5778
2019-01,24.3362,17.1263
2019-02,19.7131,20.3748
2019-03,4.0784,22.0514
2019-04,-0.6651,26.2651
2019-05,-18.2862,17.5943
2019-06,-4.272,25.308
2019-07,-3.587,26.4355
2019-08,-29.5429,23.7232
2019-09,-21.4616,26.1617
2019-10,-23.3063,28.2707
2019-11,-26.0716,32.1761
2019-12,-15.3385,35.3247
2020-01,-22.3794,35.2749
2020-02,-32.9569,23.5454
2020-03,-56.9883,7.7105
2020-04,-52.777,21.425
2020-05,-49.158,26.7132
2020-06,-46.4169,28.4357
2020-07,-41.2718,35.3124
2020-08,-19.4574,43.9511
2020-09,-18.957,37.6938
2020-10,-17.5251,33.4637
2020-11,-1.8403,47.2943
2020-12,2.8953,51.8455
2021-01,16.0829,50.305
2021-02,31.0508,53.4604
2021-03,40.213,59.4101
2021-04,55.2699,66.6882
2021-05,58.5264,66.6274
2021-06,39.0385,69.2184
2021-07,35.4368,72.1455
2021-08,39.0224,75.992
2021-09,53.6255,66.6118
2021-10,77.6778,77.1553
2021-11,45.2689,74.6519
2021-12,66.0112,81.397
2022-01,67.7403,70.7122
2022-02,118.6274,64.6001
2022-03,175.5635,69.8532
2022-04,156.2813,54.0273
2022-05,154.9778,53.6333
2022-06,91.1291,40.2902
2022-07,111.6912,52.5094
2022-08,115.6145,45.531
2022-09,92.0699,31.5965
2022-10,112.197,41.7445
2022-11,101.681,48.9584
2022-12,71.4089,39.838
2023-01,93.5587,48.5632
2023-02,106.5141,44.2258
2023-03,78.5636,48.9578
2023-04,65.8159,50.6836
2023-05,23.8263,50.7741
2023-06,35.2899,59.884
2023-07,57.0201,64.3798
2023-08,49.0249,60.953
2023-09,36.7619,52.6248
2023-10,24.4062,48.7132
2023-11,37.1552,61.6976
2023-12,36.8487,68.3392
2024-01,17.7327,71.0275
2024-02,19.236,79.0476
2024-03,24.7665,83.99
2024-04,20.3843,75.7344
2024-05,18.4497,83.6813
2024-06,11.3006,89.2836
2024-07,14.5808,90.5002
2024-08,9.8425,94.0822
2024-09,3.7687,98.2932
2024-10,3.6245,95.412
2024-11,2.416,105.8418
2024-12,-4.1133,99.9875
2025-01,8.6876,105.351
2025-02,-6.8168,101.7087
2025-03,6.1775,89.4719
2025-04,19.4398,87.0451
2025-05,41.7521,97.8575
2025-06,43.5143,107.0685
2025-07,41.2292,110.7404
2025-08,30.6419,114.0337
2025-09,36.509,121.6081
2025-10,7.8063,125.7153
2025-11,-3.8808,125.0226
2025-12,-4.5734,124.0393
2026-01,8.8109,127.2713
2026-02,15.9034,125.3185
