Date,rate_FDX_5D,rate_VOO_20D
2016-01,4.3882,1.4254
2016-02,5.5426,0.6142
2016-03,22.1187,6.1243
2016-04,17.9342,4.6014
2016-05,15.0684,5.2878
2016-06,3.82,4.687
2016-07,9.9427,7.7174
2016-08,10.7299,6.8637
2016-09,15.638,5.9421
2016-10,13.8549,3.4868
2016-11,23.9393,6.843
2016-12,18.4602,8.2789
2017-01,18.6955,9.3935
2017-02,19.8477,12.821
2017-03,19.9542,12.0413
2017-04,15.3857,12.4367
2017-05,17.0171,13.2406
2017-06,29.9394,14.1802
2017-07,23.0959,15.6892
2017-08,25.6011,15.2834
2017-09,31.779,16.8657
2017-10,30.4619,18.7799
2017-11,32.5291,21.509
2017-12,42.2253,22.1709
2018-01,47.6357,27.9258
2018-02,37.1703,22.2578
2018-03,32.9861,18.4465
2018-04,35.7516,18.162
2018-05,35.5089,20.337
2018-06,23.4245,20.5057
2018-07,32.6721,24.0401
2018-08,30.6809,27.2093
2018-09,28.9779,27.1082
2018-10,17.5174,17.9327
2018-11,21.5646,19.5577
2018-12,-13.7314,8.5722
2019-01,-4.6418,16.8959
2019-02,-2.7041,20.2219
2019-03,-3.9795,21.9603
2019-04,0.3122,26.2654
2019-05,-17.8676,20.4953
2019-06,-11.249,25.3574
2019-07,-7.5476,26.514
2019-08,-11.8964,24.0717
2019-09,-17.9366,25.9454
2019-10,-13.4881,27.4086
2019-11,-9.0565,31.384
2019-12,-12.8489,34.5804
2020-01,-16.3867,33.8021
2020-02,-18.2128,22.3336
2020-03,-27.8709,15.1867
2020-04,-23.8961,29.6272
2020-05,-20.5134,28.2305
2020-06,-17.764,28.0341
2020-07,-8.1421,33.4885
2020-08,12.8914,42.106
2020-09,14.8372,38.2475
2020-10,16.4994,34.0563
2020-11,18.3352,42.9575
2020-12,15.9481,47.5016
2021-01,6.6795,45.1166
2021-02,15.133,43.0879
2021-03,29.1256,49.8512
2021-04,31.512,56.911
2021-05,42.0801,54.6413
2021-06,35.1507,57.2758
2021-07,26.3265,60.2291
2021-08,19.5367,64.0213
2021-09,-1.2991,55.5224
2021-10,5.9965,65.5435
2021-11,3.5884,65.5034
2021-12,13.6611,68.4598
2022-01,11.4098,58.7763
2022-02,-0.7631,53.2596
2022-03,0.1606,58.2953
2022-04,-13.9088,52.2757
2022-05,-7.4791,51.0659
2022-06,-5.1171,38.0304
2022-07,-3.666,50.1558
2022-08,-12.8347,43.3725
2022-09,-38.162,29.6913
2022-10,-32.7515,39.7003
2022-11,-23.0679,46.8631
2022-12,-27.3516,40.5677
2023-01,-20.5031,48.7988
2023-02,-18.2749,45.5387
2023-03,-13.7186,49.6635
2023-04,-13.126,48.4614
2023-05,-17.0176,48.1923
2023-06,-3.8875,57.2072
2023-07,4.7068,61.7125
2023-08,1.694,59.5229
2023-09,4.6148,51.3631
2023-10,-0.7299,47.5518
2023-11,6.1771,60.474
2023-12,5.1411,67.125
2024-01,0.2448,69.1001
2024-02,3.4259,77.1309
2024-03,22.1712,83.2841
2024-04,14.1668,75.177
2024-05,9.3755,83.1784
2024-06,29.7161,90.182
2024-07,31.5714,90.9416
2024-08,34.9585,97.1965
2024-09,21.7036,98.31
2024-10,22.5863,95.5089
2024-11,35.2508,105.9957
2024-12,26.0914,100.2436
2025-01,18.4879,104.6582
2025-02,17.4465,101.1287
2025-03,9.3761,89.045
2025-04,-5.6695,88.6819
2025-05,-2.1526,99.6712
2025-06,2.639,109.046
2025-07,-0.7873,112.823
2025-08,1.165,112.1707
2025-09,3.8816,118.6779
2025-10,11.765,122.8639
2025-11,21.2824,122.3204
2025-12,27.5162,121.4705
2026-01,35.7558,123.6468
2026-02,62.6554,120.852
