Date,rate_APA_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-7.6548,-3.7423
2016-03,-9.0582,0.3764
2016-04,15.525,5.1946
2016-05,28.4204,3.5695
2016-06,26.7086,4.8356
2016-07,23.3287,4.3651
2016-08,6.1141,7.2005
2016-09,5.1679,6.5176
2016-10,34.1572,5.8316
2016-11,22.36,2.6321
2016-12,31.6562,6.5262
2017-01,25.7024,8.6002
2017-02,13.1138,9.8701
2017-03,2.793,14.9815
2017-04,-0.4227,12.5254
2017-05,-4.957,13.1716
2017-06,-7.583,14.581
2017-07,-5.9308,14.626
2017-08,-3.6942,16.4591
2017-09,-21.7175,15.9061
2017-10,-7.9917,17.2911
2017-11,-13.3202,19.4181
2017-12,-8.6352,21.7575
2018-01,-12.428,22.6249
2018-02,-5.2184,28.3844
2018-03,-27.168,21.0506
2018-04,-17.0951,18.8566
2018-05,-10.585,18.843
2018-06,-13.5097,22.0592
2018-07,4.2935,20.962
2018-08,1.7903,24.4135
2018-09,-0.7831,27.7869
2018-10,9.4942,28.1445
2018-11,-16.1263,19.3954
2018-12,-18.5899,19.8359
2019-01,-38.7846,8.7501
2019-02,-20.1874,17.203
2019-03,-16.3639,21.2677
2019-04,-13.5234,23.6016
2019-05,-18.7982,25.5902
2019-06,-32.868,17.8911
2019-07,-23.9342,26.7327
2019-08,-34.7417,25.8061
2019-09,-40.9385,24.2046
2019-10,-32.5245,24.595
2019-11,-32.4095,29.5299
2019-12,-36.1102,32.3145
2020-01,-25.7568,35.5516
2020-02,-19.0976,34.7733
2020-03,-26.183,23.2161
2020-04,-88.0096,2.6957
2020-05,-61.5266,17.923
2020-06,-58.7866,27.1545
2020-07,-53.12,29.2791
2020-08,-43.4152,35.3897
2020-09,-44.1739,45.4969
2020-10,-64.7296,38.8421
2020-11,-67.4648,33.8054
2020-12,-49.8093,49.4413
2021-01,-41.4743,52.4925
2021-02,-36.8116,52.5474
2021-03,-17.6591,57.1165
2021-04,-20.2162,62.2404
2021-05,-14.909,68.0147
2021-06,-1.6275,67.9506
2021-07,-6.4687,71.7835
2021-08,-19.8068,73.9065
2021-09,-18.2294,78.108
2021-10,-6.1245,70.559
2021-11,17.3786,79.7147
2021-12,8.8549,74.8714
2022-01,15.7926,83.8439
2022-02,49.7231,74.2485
2022-03,60.1281,64.4857
2022-04,80.389,72.8765
2022-05,74.3815,56.3809
2022-06,101.7582,54.7432
2022-07,48.8028,43.9638
2022-08,51.4744,54.5402
2022-09,58.8293,48.4061
2022-10,42.5501,33.808
2022-11,91.2565,43.6413
2022-12,94.0169,51.6237
2023-01,92.7313,42.3283
2023-02,81.2526,52.4008
2023-03,64.6413,45.8599
2023-04,49.1327,52.4428
2023-05,53.0642,54.1535
2023-06,32.385,55.8684
2023-07,40.8009,63.7729
2023-08,66.3105,67.9151
2023-09,85.5043,65.3142
2023-10,68.2874,56.4671
2023-11,64.5429,54.158
2023-12,49.7529,66.8181
2024-01,47.9144,72.7134
2024-02,29.6288,77.0248
2024-03,27.6849,84.7703
2024-04,48.4358,89.0895
2024-05,30.4954,80.3005
2024-06,30.3174,89.1407
2024-07,26.1864,96.817
2024-08,33.1564,94.9948
2024-09,21.7659,101.4737
2024-10,9.483,104.2286
2024-11,-0.498,104.0979
2024-12,-2.3914,114.1559
2025-01,-0.4737,108.1307
2025-02,-4.3928,112.719
2025-03,-9.7193,109.0154
2025-04,-7.7555,97.097
2025-05,-28.0458,95.2965
2025-06,-24.283,105.2137
2025-07,-15.4557,114.7559
2025-08,-16.3505,115.142
2025-09,5.3937,122.2543
2025-10,13.6947,129.8729
2025-11,3.7881,133.4127
2025-12,15.8018,131.7276
2026-01,11.9173,131.8756
2026-02,96.8958,120.852
