Date,rate_PANW_5D,rate_VOO_20D
2016-01,-0.0749,1.4254
2016-02,-5.0715,0.6142
2016-03,7.8524,6.1243
2016-04,-1.7885,4.6014
2016-05,-14.7906,5.2878
2016-06,-14.4791,4.687
2016-07,-5.657,7.7174
2016-08,-3.1013,6.8637
2016-09,15.2339,5.9421
2016-10,9.7757,3.4868
2016-11,-4.7997,6.843
2016-12,-10.7822,8.2789
2017-01,6.2473,9.3935
2017-02,8.7373,12.821
2017-03,-18.2984,12.0413
2017-04,-20.2993,12.4367
2017-05,-11.5266,13.2406
2017-06,-0.1772,14.1802
2017-07,-1.8803,15.6892
2017-08,-1.1044,15.2834
2017-09,6.9591,16.8657
2017-10,8.9308,18.7799
2017-11,7.6025,21.509
2017-12,6.6893,22.1709
2018-01,15.7735,27.9258
2018-02,23.1251,22.2578
2018-03,29.304,18.4465
2018-04,28.7219,18.162
2018-05,37.9969,20.337
2018-06,34.893,20.5057
2018-07,29.0107,24.0401
2018-08,49.1241,27.2093
2018-09,43.8306,27.1082
2018-10,19.4699,17.9327
2018-11,11.7724,19.5577
2018-12,16.1915,8.5722
2019-01,32.0278,16.8959
2019-02,50.3131,20.2219
2019-03,46.9773,21.9603
2019-04,49.3404,26.2654
2019-05,25.7942,20.4953
2019-06,26.3812,25.3574
2019-07,39.8024,26.514
2019-08,32.3668,24.0717
2019-09,31.0416,25.9454
2019-10,42.0678,27.4086
2019-11,41.0167,31.384
2019-12,42.6482,34.5804
2020-01,43.94,33.8021
2020-02,12.4229,22.3336
2020-03,0.0447,15.1867
2020-04,19.8981,29.6272
2020-05,31.3184,28.2305
2020-06,29.7594,28.0341
2020-07,43.2602,33.4885
2020-08,45.5623,42.106
2020-09,42.091,38.2475
2020-10,36.1821,34.0563
2020-11,66.3905,42.9575
2020-12,79.931,47.5016
2021-01,78.0208,45.1166
2021-02,77.3703,43.0879
2021-03,61.1255,49.8512
2021-04,75.7188,56.911
2021-05,79.4271,54.6413
2021-06,82.0625,57.2758
2021-07,94.4008,60.2291
2021-08,122.8173,64.0213
2021-09,126.4248,55.5224
2021-10,130.7667,65.5435
2021-11,145.9324,65.5034
2021-12,138.6211,68.4598
2022-01,119.8408,58.7763
2022-02,127.3925,53.2596
2022-03,118.7239,58.2953
2022-04,106.8655,52.2757
2022-05,105.4571,51.0659
2022-06,95.0495,38.0304
2022-07,90.8314,50.1558
2022-08,111.5761,43.3725
2022-09,85.4793,29.6913
2022-10,93.1679,39.7003
2022-11,77.7405,46.8631
2022-12,64.8229,40.5677
2023-01,87.0279,48.7988
2023-02,100.9019,45.5387
2023-03,100.9141,49.6635
2023-04,85.0224,48.4614
2023-05,105.8807,48.1923
2023-06,145.0831,57.2072
2023-07,141.1441,61.7125
2023-08,133.1459,59.5229
2023-09,123.2775,51.3631
2023-10,129.9611,47.5518
2023-11,168.1481,60.474
2023-12,166.2328,67.125
2024-01,203.5711,69.1001
2024-02,210.8843,77.1309
2024-03,196.9734,83.2841
2024-04,202.0422,75.177
2024-05,204.1856,83.1784
2024-06,247.3154,90.182
2024-07,234.5307,90.9416
2024-08,264.9097,97.1965
2024-09,244.284,98.31
2024-10,262.3086,95.5089
2024-11,263.3088,105.9957
2024-12,228.7304,100.2436
2025-01,231.0725,104.6582
2025-02,238.3566,101.1287
2025-03,211.5077,89.045
2025-04,242.2691,88.6819
2025-05,250.1132,99.6712
2025-06,270.0019,109.046
2025-07,217.3481,112.823
2025-08,242.1661,112.1707
2025-09,263.4801,118.6779
2025-10,276.2782,122.8639
2025-11,222.8306,122.3204
2025-12,210.9722,121.4705
2026-01,197.0534,123.6468
2026-02,148.6516,120.852
