Date,rate_ON_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-3.7024,-0.6039
2016-03,10.1293,5.2168
2016-04,5.8478,3.9893
2016-05,7.4451,4.6886
2016-06,-4.4545,4.1237
2016-07,9.3645,7.1795
2016-08,16.4287,6.3603
2016-09,30.4365,5.6281
2016-10,20.7038,3.196
2016-11,19.88,6.7601
2016-12,28.6776,8.3626
2017-01,34.3243,10.2536
2017-02,49.285,13.6522
2017-03,49.0999,12.7005
2017-04,33.638,12.9818
2017-05,43.4726,13.693
2017-06,27.7529,13.5288
2017-07,34.4594,15.0481
2017-08,51.4737,14.5515
2017-09,60.9338,16.1037
2017-10,82.2885,17.9557
2017-11,68.1753,20.6805
2017-12,72.3119,21.3029
2018-01,103.571,28.0338
2018-02,92.7021,22.1441
2018-03,93.25,18.3021
2018-04,71.3574,18.0902
2018-05,91.9757,20.2208
2018-06,66.9012,20.3415
2018-07,63.1187,23.8746
2018-08,55.7836,27.0072
2018-09,34.5406,27.7347
2018-10,23.0624,18.1437
2018-11,37.7451,19.7418
2018-12,17.5545,8.5778
2019-01,42.6817,17.1263
2019-02,51.4564,20.3748
2019-03,43.5952,22.0514
2019-04,59.4672,26.2651
2019-05,21.6178,17.5943
2019-06,37.6753,25.308
2019-07,45.4436,26.4355
2019-08,19.5154,23.7232
2019-09,28.9801,26.1617
2019-10,36.2662,28.2707
2019-11,42.411,32.1761
2019-12,60.5905,35.3247
2020-01,52.4896,35.2749
2020-02,22.2441,23.5454
2020-03,-18.8614,7.7105
2020-04,5.5593,21.425
2020-05,8.4547,26.7132
2020-06,30.0857,28.4357
2020-07,34.6404,35.3124
2020-08,38.8809,43.9511
2020-09,40.1419,37.6938
2020-10,61.0849,33.4637
2020-11,83.3137,47.2943
2020-12,106.8839,51.8455
2021-01,118.0078,50.305
2021-02,151.8955,53.4604
2021-03,157.3787,59.4101
2021-04,138.588,66.6882
2021-05,142.5534,66.6274
2021-06,129.5802,69.2184
2021-07,132.0616,72.1455
2021-08,160.8815,75.992
2021-09,166.4749,66.6118
2021-10,177.0861,77.1553
2021-11,250.2896,74.6519
2021-12,283.0184,81.397
2022-01,228.9528,70.7122
2022-02,245.4258,64.6001
2022-03,241.8832,69.8532
2022-04,181.6941,54.0273
2022-05,224.8751,53.6333
2022-06,166.7589,40.2902
2022-07,251.119,52.5094
2022-08,258.1021,45.531
2022-09,221.4174,31.5965
2022-10,213.8086,41.7445
2022-11,280.6838,48.9584
2022-12,212.7361,39.838
2023-01,268.28,48.5632
2023-02,284.4238,44.2258
2023-03,304.9558,48.9578
2023-04,250.6764,50.6836
2023-05,303.6756,50.7741
2023-06,352.4245,59.884
2023-07,410.5364,64.3798
2023-08,362.054,60.953
2023-09,332.1659,52.6248
2023-10,188.6547,48.7132
2023-11,226.1741,61.6976
2023-12,278.8861,68.3392
2024-01,222.6493,71.0275
2024-02,255.2119,79.0476
2024-03,228.3642,83.99
2024-04,210.8286,75.7344
2024-05,221.2118,83.6813
2024-06,199.2288,89.2836
2024-07,239.1247,90.5002
2024-08,235.0611,94.0822
2024-09,212.432,98.2932
2024-10,201.1803,95.412
2024-11,201.7666,105.8418
2024-12,165.661,99.9875
2025-01,120.5369,105.351
2025-02,97.1864,101.7087
2025-03,69.7291,89.4719
2025-04,64.933,87.0451
2025-05,73.8947,97.8575
2025-06,115.9717,107.0685
2025-07,131.0188,110.7404
2025-08,102.1624,114.0337
2025-09,101.0211,121.6081
2025-10,103.2066,125.7153
2025-11,102.8768,125.0226
2025-12,117.6285,124.0393
2026-01,140.6948,127.2713
2026-02,25.751,125.3185
