Date,rate_KKR_5D,rate_VOO_20D
2016-01,-13.545,-3.28
2016-02,-12.0334,-1.8027
2016-03,4.8002,4.5695
2016-04,-3.5169,3.6217
2016-05,-2.3151,4.6859
2016-06,-10.5494,4.2011
2016-07,6.4076,7.3141
2016-08,10.6947,6.5393
2016-09,4.3468,5.8417
2016-10,3.4031,3.4057
2016-11,12.397,7.0013
2016-12,11.7965,8.6582
2017-01,25.0579,9.9058
2017-02,29.0595,13.4199
2017-03,28.4651,12.5861
2017-04,31.8938,12.9516
2017-05,27.3742,13.7442
2017-06,26.9583,14.6714
2017-07,30.7983,16.2352
2017-08,27.906,15.7466
2017-09,35.3664,17.3266
2017-10,31.9184,19.2474
2017-11,33.0328,22.0133
2017-12,39.1968,22.6523
2018-01,57.3435,28.4864
2018-02,42.6185,22.6807
2018-03,33.4296,18.8927
2018-04,36.4002,18.6249
2018-05,46.6711,20.8091
2018-06,62.125,20.9812
2018-07,76.4109,24.5763
2018-08,69.0055,27.7899
2018-09,74.5201,27.6747
2018-10,49.444,18.1983
2018-11,45.7079,19.8597
2018-12,23.7181,8.8011
2019-01,40.7364,17.1215
2019-02,40.5104,20.4441
2019-03,47.292,22.1999
2019-04,52.0064,26.5012
2019-05,39.6649,17.9266
2019-06,57.3202,25.7011
2019-07,65.0577,26.9004
2019-08,60.4023,24.2426
2019-09,65.2703,26.142
2019-10,75.9947,28.3311
2019-11,79.0756,32.3256
2019-12,75.5034,35.5485
2020-01,90.2311,34.7719
2020-02,71.1632,23.2511
2020-03,39.3377,7.5779
2020-04,48.9943,21.2186
2020-05,65.4262,26.5774
2020-06,82.6293,28.3766
2020-07,107.4483,35.3325
2020-08,110.4947,44.0777
2020-09,99.8945,37.914
2020-10,97.0589,33.7633
2020-11,119.3463,47.7098
2020-12,131.9103,52.3667
2021-01,121.0153,49.9654
2021-02,158.4231,53.2453
2021-03,174.3109,60.4049
2021-04,214.4902,67.83
2021-05,208.6893,67.8968
2021-06,224.988,70.6358
2021-07,246.1464,73.7106
2021-08,247.7079,77.7187
2021-09,225.8559,68.3779
2021-10,322.1444,79.119
2021-11,292.5667,76.6949
2021-12,288.7838,83.6042
2022-01,267.5834,72.9303
2022-02,208.2458,66.8181
2022-03,197.1717,72.1992
2022-04,156.7816,56.2223
2022-05,176.2481,55.8933
2022-06,131.4314,42.4002
2022-07,175.2462,54.8512
2022-08,151.2283,47.8158
2022-09,112.1207,33.7039
2022-10,138.3335,44.0824
2022-11,153.4026,51.4429
2022-12,124.9166,42.1877
2023-01,168.6185,50.5828
2023-02,169.9521,46.2373
2023-03,149.8033,52.2586
2023-04,150.6979,54.0684
2023-05,143.9123,54.1996
2023-06,163.4574,63.548
2023-07,177.4469,68.1942
2023-08,192.1854,64.7317
2023-09,184.549,56.2636
2023-10,154.1581,52.2886
2023-11,246.378,65.5989
2023-12,275.6054,72.448
2024-01,289.5414,74.4576
2024-02,339.4367,82.7177
2024-03,346.2859,89.0282
2024-04,309.7773,80.6052
2024-05,351.6596,88.8335
2024-06,358.6662,96.0415
2024-07,433.936,97.3583
2024-08,431.9158,101.128
2024-09,456.8317,105.7758
2024-10,484.9305,102.865
2024-11,584.5142,113.7798
2024-12,516.7403,107.7813
2025-01,591.2587,112.3595
2025-02,459.5456,108.6721
2025-03,373.5928,96.0839
2025-04,364.7907,93.6359
2025-05,391.3413,104.9003
2025-06,434.3704,114.5225
2025-07,484.6202,118.4064
2025-08,453.1324,121.8959
2025-09,411.7021,128.6764
2025-10,362.7937,133.0211
2025-11,375.922,132.409
2025-12,392.7679,131.4906
2026-01,338.7724,133.7386
2026-02,234.5993,130.7823
2026-03,243.8046,129.7769
