Date,rate_TMUS_5D,rate_VOO_20D
2016-01,2.3621,1.4254
2016-02,-7.9728,0.6142
2016-03,-3.6895,6.1243
2016-04,-0.8455,4.6014
2016-05,7.286,5.2878
2016-06,1.496,4.687
2016-07,8.5655,7.7174
2016-08,7.3461,6.8637
2016-09,7.1674,5.9421
2016-10,13.2979,3.4868
2016-11,22.2645,6.843
2016-12,27.0983,8.2789
2017-01,30.912,9.3935
2017-02,29.1432,12.821
2017-03,31.2731,12.0413
2017-04,34.6775,12.4367
2017-05,32.8502,13.2406
2017-06,17.7666,14.1802
2017-07,18.8108,15.6892
2017-08,23.5736,15.2834
2017-09,16.7138,16.8657
2017-10,12.3426,18.7799
2017-11,14.2295,21.509
2017-12,18.1838,22.1709
2018-01,20.2908,27.9258
2018-02,11.5649,22.2578
2018-03,11.8268,18.4465
2018-04,10.3238,18.162
2018-05,1.4359,20.337
2018-06,8.683,20.5057
2018-07,8.7796,24.0401
2018-08,19.3076,27.2093
2018-09,26.0704,27.1082
2018-10,17.7388,17.9327
2018-11,14.3931,19.5577
2018-12,5.9329,8.5722
2019-01,15.7558,16.8959
2019-02,19.6289,20.2219
2019-03,13.9509,21.9603
2019-04,19.9158,26.2654
2019-05,20.0225,20.4953
2019-06,15.3891,25.3574
2019-07,21.6773,26.514
2019-08,18.0719,24.0717
2019-09,18.6743,25.9454
2019-10,23.1876,27.4086
2019-11,16.5963,31.384
2019-12,16.0561,34.5804
2020-01,16.8627,33.8021
2020-02,37.6534,22.3336
2020-03,35.8472,15.1867
2020-04,43.2503,29.6272
2020-05,45.5193,28.2305
2020-06,51.6336,28.0341
2020-07,51.5173,33.4885
2020-08,62.1096,42.106
2020-09,61.3583,38.2475
2020-10,56.5611,34.0563
2020-11,74.8961,42.9575
2020-12,75.8682,47.5016
2021-01,61.6476,45.1166
2021-02,52.7193,43.0879
2021-03,58.5808,49.8512
2021-04,66.2408,56.911
2021-05,70.4478,54.6413
2021-06,73.4243,57.2758
2021-07,71.3325,60.2291
2021-08,61.9997,64.0213
2021-09,50.2784,55.5224
2021-10,34.6698,65.5435
2021-11,26.9125,65.5034
2021-12,34.8051,68.4598
2022-01,25.4051,58.7763
2022-02,42.9186,53.2596
2022-03,41.1304,58.2953
2022-04,38.7886,52.2757
2022-05,43.0412,51.0659
2022-06,40.4783,38.0304
2022-07,48.8017,50.1558
2022-08,49.1175,43.3725
2022-09,38.3968,29.6913
2022-10,55.7829,39.7003
2022-11,52.1571,46.8631
2022-12,40.0806,40.5677
2023-01,48.8894,48.7988
2023-02,37.1629,45.5387
2023-03,39.2822,49.6635
2023-04,40.5786,48.4614
2023-05,33.4986,48.1923
2023-06,34.7705,57.2072
2023-07,33.2894,61.7125
2023-08,29.6082,59.5229
2023-09,32.8859,51.3631
2023-10,29.0839,47.5518
2023-11,35.2155,60.474
2023-12,43.6318,67.125
2024-01,43.9828,69.1001
2024-02,45.9365,77.1309
2024-03,45.3995,83.2841
2024-04,45.7921,75.177
2024-05,55.4626,83.1784
2024-06,57.1584,90.182
2024-07,58.537,90.9416
2024-08,69.61,97.1965
2024-09,73.486,98.31
2024-10,86.6901,95.5089
2024-11,92.5547,105.9957
2024-12,71.3552,100.2436
2025-01,80.1653,104.6582
2025-02,104.3337,101.1287
2025-03,105.544,89.045
2025-04,82.3516,88.6819
2025-05,78.3263,99.6712
2025-06,75.3798,109.046
2025-07,74.8377,112.823
2025-08,86.0422,112.1707
2025-09,76.8336,118.6779
2025-10,54.6145,122.8639
2025-11,54.9042,122.3204
2025-12,50.0437,121.4705
2026-01,45.3343,123.6468
2026-02,60.3261,120.852
