Date,rate_EQIX_5D,rate_VOO_20D
2016-01,-0.0874,1.4254
2016-02,-3.2158,0.6142
2016-03,6.6287,6.1243
2016-04,4.965,4.6014
2016-05,14.4297,5.2878
2016-06,16.2931,4.687
2016-07,9.6289,7.7174
2016-08,7.8244,6.8637
2016-09,4.5492,5.9421
2016-10,3.2272,3.4868
2016-11,-1.3234,6.843
2016-12,4.4599,8.2789
2017-01,11.8339,9.3935
2017-02,9.0963,12.821
2017-03,15.4536,12.0413
2017-04,19.4068,12.4367
2017-05,25.071,13.2406
2017-06,20.3661,14.1802
2017-07,25.2529,15.6892
2017-08,29.3905,15.2834
2017-09,21.969,16.8657
2017-10,25.6299,18.7799
2017-11,25.0909,21.509
2017-12,21.0747,22.1709
2018-01,20.7558,27.9258
2018-02,4.0421,22.2578
2018-03,10.8824,18.4465
2018-04,11.2225,18.162
2018-05,5.1323,20.337
2018-06,13.6749,20.5057
2018-07,15.7277,24.0401
2018-08,14.9393,27.2093
2018-09,13.6333,27.1082
2018-10,0.301,17.9327
2018-11,-0.1189,19.5577
2018-12,-8.6021,8.5722
2019-01,2.4002,16.8959
2019-02,10.6184,20.2219
2019-03,17.8585,21.9603
2019-04,17.7527,26.2654
2019-05,26.0882,20.4953
2019-06,24.8078,25.3574
2019-07,21.1761,26.514
2019-08,34.2053,24.0717
2019-09,38.3324,25.9454
2019-10,35.1169,27.4086
2019-11,35.0553,31.384
2019-12,38.3158,34.5804
2020-01,38.9525,33.8021
2020-02,45.2623,22.3336
2020-03,42.7907,15.1867
2020-04,53.1543,29.6272
2020-05,58.1011,28.2305
2020-06,58.0651,28.0341
2020-07,75.5442,33.4885
2020-08,70.3666,42.106
2020-09,63.6606,38.2475
2020-10,67.1598,34.0563
2020-11,51.1223,42.9575
2020-12,53.7727,47.5016
2021-01,55.6931,45.1166
2021-02,45.7418,43.0879
2021-03,51.6526,49.8512
2021-04,59.986,56.911
2021-05,63.2218,54.6413
2021-06,76.6278,57.2758
2021-07,79.3238,60.2291
2021-08,83.7765,64.0213
2021-09,73.2805,55.5224
2021-10,84.865,65.5435
2021-11,78.8659,65.5034
2021-12,85.1537,68.4598
2022-01,57.6812,58.7763
2022-02,53.6379,53.2596
2022-03,55.1932,58.2953
2022-04,52.888,52.2757
2022-05,56.2151,51.0659
2022-06,44.0708,38.0304
2022-07,53.6809,50.1558
2022-08,43.6174,43.3725
2022-09,23.8071,29.6913
2022-10,22.9578,39.7003
2022-11,46.7668,46.8631
2022-12,44.658,40.5677
2023-01,58.5723,48.7988
2023-02,53.3251,45.5387
2023-03,52.5177,49.6635
2023-04,52.565,48.4614
2023-05,54.5098,48.1923
2023-06,61.6204,57.2072
2023-07,66.2758,61.7125
2023-08,60.5274,59.5229
2023-09,48.6031,51.3631
2023-10,45.8115,47.5518
2023-11,62.1657,60.474
2023-12,59.624,67.125
2024-01,63.8049,69.1001
2024-02,75.5911,77.1309
2024-03,62.326,83.2841
2024-04,39.3508,75.177
2024-05,49.8191,83.1784
2024-06,48.0765,90.182
2024-07,54.0659,90.9416
2024-08,58.2033,97.1965
2024-09,63.2461,98.31
2024-10,63.7682,95.5089
2024-11,77.1569,105.9957
2024-12,69.5206,100.2436
2025-01,63.6451,104.6582
2025-02,62.8785,101.1287
2025-03,52.7759,89.045
2025-04,63.8613,88.6819
2025-05,69.5083,99.6712
2025-06,65.7694,109.046
2025-07,69.1463,112.823
2025-08,69.7914,112.1707
2025-09,68.5592,118.6779
2025-10,81.4161,122.8639
2025-11,61.9297,122.3204
2025-12,64.1945,121.4705
2026-01,75.3631,123.6468
2026-02,108.4818,120.852
