Date,rate_AWK_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,7.7007,-3.7423
2016-03,4.7741,0.3764
2016-04,9.7834,5.1946
2016-05,12.3463,3.5695
2016-06,14.1677,4.8356
2016-07,24.9532,4.3651
2016-08,19.5557,7.2005
2016-09,4.2284,6.5176
2016-10,5.84,5.8316
2016-11,2.7288,2.6321
2016-12,1.132,6.5262
2017-01,1.9304,8.6002
2017-02,0.9866,9.8701
2017-03,10.7258,14.9815
2017-04,10.1584,12.5254
2017-05,11.2353,13.1716
2017-06,10.8835,14.581
2017-07,9.0833,14.626
2017-08,13.3786,16.4591
2017-09,12.5177,15.9061
2017-10,12.0271,17.2911
2017-11,20.1559,19.4181
2017-12,25.3272,21.7575
2018-01,24.635,22.6249
2018-02,10.6039,28.3844
2018-03,7.1291,21.0506
2018-04,10.8841,18.8566
2018-05,16.5458,18.843
2018-06,10.5568,22.0592
2018-07,14.5618,20.962
2018-08,15.6656,24.4135
2018-09,17.069,27.7869
2018-10,16.5481,28.1445
2018-11,17.1192,19.3954
2018-12,26.5761,19.8359
2019-01,19.7149,8.7501
2019-02,25.009,17.203
2019-03,33.0792,21.2677
2019-04,35.3693,23.6016
2019-05,38.6912,25.5902
2019-06,47.2882,17.8911
2019-07,49.6626,26.7327
2019-08,50.1607,25.8061
2019-09,62.7716,24.2046
2019-10,56.9884,24.595
2019-11,54.3893,29.5299
2019-12,52.918,32.3145
2020-01,54.0945,35.5516
2020-02,69.6136,34.7733
2020-03,53.3488,23.2161
2020-04,38.925,2.6957
2020-05,46.0142,17.923
2020-06,56.2491,27.1545
2020-07,58.6669,29.2791
2020-08,77.6873,35.3897
2020-09,68.4572,45.4969
2020-10,77.2769,38.8421
2020-11,78.2402,33.8054
2020-12,82.0137,49.4413
2021-01,79.6728,52.4925
2021-02,87.7209,52.5474
2021-03,68.0108,57.1165
2021-04,74.555,62.2404
2021-05,79.606,68.0147
2021-06,77.091,67.9506
2021-07,77.4147,71.7835
2021-08,92.7313,73.9065
2021-09,108.1538,78.108
2021-10,88.5615,70.559
2021-11,93.2473,79.7147
2021-12,86.0903,74.8714
2022-01,108.0978,83.8439
2022-02,73.6311,74.2485
2022-03,64.9259,64.4857
2022-04,83.4167,72.8765
2022-05,66.3796,56.3809
2022-06,63.8995,54.7432
2022-07,64.6992,43.9638
2022-08,67.2969,54.5402
2022-09,61.6775,48.4061
2022-10,38.2663,33.808
2022-11,50.1639,43.6413
2022-12,63.0812,51.6237
2023-01,60.6525,42.3283
2023-02,66.4435,52.4008
2023-03,44.9637,45.8599
2023-04,53.1761,52.4428
2023-05,52.6749,54.1535
2023-06,49.6833,55.8684
2023-07,48.2777,63.7729
2023-08,49.5159,67.9151
2023-09,42.8385,65.3142
2023-10,27.9422,56.4671
2023-11,22.4589,54.158
2023-12,37.8057,66.8181
2024-01,36.121,72.7134
2024-02,28.8054,77.0248
2024-03,23.5318,84.7703
2024-04,23.9311,89.0895
2024-05,28.6466,80.3005
2024-06,34.9432,89.1407
2024-07,31.5008,96.817
2024-08,48.3839,94.9948
2024-09,47.2882,101.4737
2024-10,49.4523,104.2286
2024-11,39.0948,104.0979
2024-12,40.4677,114.1559
2025-01,27.3548,108.1307
2025-02,27.256,112.719
2025-03,40.8911,109.0154
2025-04,51.9186,97.097
2025-05,50.8669,95.2965
2025-06,47.7122,105.2137
2025-07,46.8695,114.7559
2025-08,49.7076,115.142
2025-09,47.8625,122.2543
2025-10,39.8074,129.8729
2025-11,31.6383,133.4127
2025-12,34.8474,131.7276
2026-01,34.0418,131.8756
2026-02,34.3531,120.852
