Date,rate_EVRG_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-2.2911,-0.6039
2016-03,13.7031,5.2168
2016-04,14.1815,3.9893
2016-05,21.4396,4.6886
2016-06,18.0886,4.1237
2016-07,14.3261,7.1795
2016-08,11.2389,6.3603
2016-09,14.344,5.6281
2016-10,13.9925,3.196
2016-11,12.0111,6.7601
2016-12,10.5531,8.3626
2017-01,7.3299,10.2536
2017-02,5.3392,13.6522
2017-03,6.1838,12.7005
2017-04,1.3083,12.9818
2017-05,2.9588,13.693
2017-06,3.6344,13.5288
2017-07,-1.0239,15.0481
2017-08,0.0619,14.5515
2017-09,-2.4934,16.1037
2017-10,5.1267,17.9557
2017-11,12.2326,20.6805
2017-12,3.8761,21.3029
2018-01,1.6507,28.0338
2018-02,-4.0742,22.1441
2018-03,4.4184,18.3021
2018-04,7.4457,18.0902
2018-05,12.9352,20.2208
2018-06,11.4839,20.3415
2018-07,10.9107,23.8746
2018-08,13.3572,27.0072
2018-09,9.1611,27.7347
2018-10,10.9488,18.1437
2018-11,18.1977,19.7418
2018-12,12.4608,8.5778
2019-01,13.5492,17.1263
2019-02,10.3581,20.3748
2019-03,15.2559,22.0514
2019-04,14.3939,26.2651
2019-05,15.5759,17.5943
2019-06,19.0726,25.308
2019-07,19.2403,26.4355
2019-08,28.5261,23.7232
2019-09,31.5876,26.1617
2019-10,25.6116,28.2707
2019-11,24.7285,32.1761
2019-12,27.751,35.3247
2020-01,41.6115,35.2749
2020-02,27.4015,23.5454
2020-03,7.6658,7.7105
2020-04,14.2833,21.425
2020-05,21.4106,26.7132
2020-06,16.1886,28.4357
2020-07,26.6008,35.3124
2020-08,4.5394,43.9511
2020-09,-0.2433,37.6938
2020-10,8.3436,33.4637
2020-11,9.598,47.2943
2020-12,9.5955,51.8455
2021-01,6.0816,50.305
2021-02,5.7648,53.4604
2021-03,18.3162,59.4101
2021-04,26.7573,66.6882
2021-05,23.4352,66.6274
2021-06,19.9515,69.2184
2021-07,29.0614,72.1455
2021-08,35.9813,75.992
2021-09,23.0222,66.6118
2021-10,25.7148,77.1553
2021-11,25.5422,74.6519
2021-12,35.64,81.397
2022-01,27.9184,70.7122
2022-02,22.499,64.6001
2022-03,34.9256,69.8532
2022-04,33.4179,54.0273
2022-05,38.1655,53.6333
2022-06,28.3917,40.2902
2022-07,33.8567,52.5094
2022-08,35.0282,45.531
2022-09,16.5856,31.5965
2022-10,19.7147,41.7445
2022-11,16.894,48.9584
2022-12,24.0049,39.838
2023-01,23.4533,48.5632
2023-02,15.5942,44.2258
2023-03,21.1419,48.9578
2023-04,22.8501,50.6836
2023-05,15.3597,50.7741
2023-06,16.3219,59.884
2023-07,19.1909,64.3798
2023-08,10.2651,60.953
2023-09,1.6372,52.6248
2023-10,-1.4515,48.7132
2023-11,3.6418,61.6976
2023-12,5.9078,68.3392
2024-01,3.0071,71.0275
2024-02,0.4537,79.0476
2024-03,9.5381,83.99
2024-04,7.5443,75.7344
2024-05,13.2891,83.6813
2024-06,9.6525,89.2836
2024-07,19.9522,90.5002
2024-08,23.3862,94.0822
2024-09,29.3075,98.2932
2024-10,25.7387,95.412
2024-11,35.5642,105.8418
2024-12,28.785,99.9875
2025-01,34.2656,105.351
2025-02,43.7909,101.7087
2025-03,44.8113,89.4719
2025-04,44.6679,87.0451
2025-05,40.0144,97.8575
2025-06,44.908,107.0685
2025-07,48.3824,110.7404
2025-08,50.2628,114.0337
2025-09,60.2044,121.6081
2025-10,61.2768,125.7153
2025-11,63.9044,125.0226
2025-12,52.5128,124.0393
2026-01,61.4325,127.2713
2026-02,99.8875,125.3185
