Date,rate_PTC_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,-10.0218,-3.7423
2016-03,-0.0295,0.3764
2016-04,3.1026,5.1946
2016-05,13.0282,3.5695
2016-06,8.9188,4.8356
2016-07,13.1792,4.3651
2016-08,18.5933,7.2005
2016-09,23.3086,6.5176
2016-10,24.8496,5.8316
2016-11,26.828,2.6321
2016-12,25.4362,6.5262
2017-01,23.1751,8.6002
2017-02,36.9152,9.8701
2017-03,43.4302,14.9815
2017-04,32.462,12.5254
2017-05,36.0609,13.1716
2017-06,41.19,14.581
2017-07,32.4789,14.626
2017-08,31.6182,16.4591
2017-09,31.0167,15.9061
2017-10,30.4155,17.2911
2017-11,50.8771,19.4181
2017-12,41.4999,21.7575
2018-01,35.5941,22.6249
2018-02,59.3791,28.3844
2018-03,60.7908,21.0506
2018-04,67.3753,18.8566
2018-05,75.1582,18.843
2018-06,81.3548,22.0592
2018-07,92.5121,20.962
2018-08,86.9185,24.4135
2018-09,98.9717,27.7869
2018-10,107.5975,28.1445
2018-11,67.1239,19.3954
2018-12,65.0887,19.8359
2019-01,56.5006,8.7501
2019-02,58.5227,17.203
2019-03,73.3074,21.2677
2019-04,73.8788,23.6016
2019-05,59.2938,25.5902
2019-06,50.898,17.8911
2019-07,61.4541,26.7327
2019-08,19.6772,25.8061
2019-09,15.1134,24.2046
2019-10,15.7746,24.595
2019-11,21.6519,29.5299
2019-12,33.3777,32.3145
2020-01,29.7183,35.5516
2020-02,43.2982,34.7733
2020-03,29.4587,23.2161
2020-04,-3.959,2.6957
2020-05,13.3237,17.923
2020-06,34.7034,27.1545
2020-07,32.9739,29.2791
2020-08,44.388,35.3897
2020-09,60.175,45.4969
2020-10,40.2615,38.8421
2020-11,39.1509,33.8054
2020-12,79.1827,49.4413
2021-01,96.0195,52.4925
2021-02,122.7138,52.5474
2021-03,129.1272,57.1165
2021-04,129.7266,62.2404
2021-05,107.2342,68.0147
2021-06,107.0902,67.9506
2021-07,122.7103,71.7835
2021-08,109.2595,73.9065
2021-09,104.0639,78.108
2021-10,83.3808,70.559
2021-11,91.6975,79.7147
2021-12,63.4356,74.8714
2022-01,80.9382,83.8439
2022-02,72.4064,74.2485
2022-03,62.5416,64.4857
2022-04,56.7728,72.8765
2022-05,66.8967,56.3809
2022-06,69.2393,54.7432
2022-07,54.7284,43.9638
2022-08,75.9015,54.5402
2022-09,64.5567,48.4061
2022-10,49.0397,33.808
2022-11,67.4851,43.6413
2022-12,80.0446,51.6237
2023-01,68.6251,42.3283
2023-02,93.0786,52.4008
2023-03,72.1158,45.8599
2023-04,77.4006,52.4428
2023-05,72.927,54.1535
2023-06,85.0536,55.8684
2023-07,93.9623,63.7729
2023-08,98.6365,67.9151
2023-09,97.8869,65.3142
2023-10,90.0329,56.4671
2023-11,85.3508,54.158
2023-12,111.7027,66.8181
2024-01,131.0755,72.7134
2024-02,135.5529,77.0248
2024-03,145.0809,84.7703
2024-04,144.0815,89.0895
2024-05,125.6657,80.3005
2024-06,126.0624,89.1407
2024-07,130.9232,96.817
2024-08,123.1176,94.9948
2024-09,125.9962,101.4737
2024-10,120.879,104.2286
2024-11,131.0511,104.0979
2024-12,148.4942,114.1559
2025-01,127.1201,108.1307
2025-02,137.7624,112.719
2025-03,100.0206,109.0154
2025-04,90.0772,97.097
2025-05,89.4416,95.2965
2025-06,103.105,105.2137
2025-07,107.9058,114.7559
2025-08,153.6528,115.142
2025-09,153.9809,122.2543
2025-10,139.5515,129.8729
2025-11,133.799,133.4127
2025-12,104.946,131.7276
2026-01,103.2888,131.8756
2026-02,81.2895,131.1612
