Date,rate_PNW_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,5.8476,-3.7423
2016-03,3.8674,0.3764
2016-04,13.9741,5.1946
2016-05,7.2146,3.5695
2016-06,8.1965,4.8356
2016-07,16.5136,4.3651
2016-08,12.7959,7.2005
2016-09,4.624,6.5176
2016-10,5.7411,5.8316
2016-11,6.2156,2.6321
2016-12,3.2943,6.5262
2017-01,9.9136,8.6002
2017-02,8.1852,9.8701
2017-03,15.6035,14.9815
2017-04,15.919,12.5254
2017-05,16.7578,13.1716
2017-06,22.6099,14.581
2017-07,16.0734,14.626
2017-08,20.5463,16.4591
2017-09,23.256,15.9061
2017-10,14.9397,17.2911
2017-11,19.1136,19.4181
2017-12,23.0782,21.7575
2018-01,14.2901,22.6249
2018-02,5.6711,28.3844
2018-03,4.185,21.0506
2018-04,7.0859,18.8566
2018-05,8.0541,18.843
2018-06,4.4858,22.0592
2018-07,8.3406,20.962
2018-08,7.686,24.4135
2018-09,6.0512,27.7869
2018-10,6.323,28.1445
2018-11,12.0644,19.3954
2018-12,20.9173,19.8359
2019-01,14.7316,8.7501
2019-02,18.6087,17.203
2019-03,25.0285,21.2677
2019-04,27.1995,23.6016
2019-05,26.4344,25.5902
2019-06,25.5589,17.8911
2019-07,24.9613,26.7327
2019-08,22.7734,25.8061
2019-09,26.6924,24.2046
2019-10,28.743,24.595
2019-11,24.1176,29.5299
2019-12,17.607,32.3145
2020-01,20.6436,35.5516
2020-02,32.6874,34.7733
2020-03,22.0054,23.2161
2020-04,-3.7648,2.6957
2020-05,1.8292,17.923
2020-06,8.6942,27.1545
2020-07,5.4656,29.2791
2020-08,18.3005,35.3897
2020-09,2.6953,45.4969
2020-10,8.0687,38.8421
2020-11,20.4516,33.8054
2020-12,21.2482,49.4413
2021-01,17.3691,52.4925
2021-02,15.2375,52.5474
2021-03,9.1014,57.1165
2021-04,23.2869,62.2404
2021-05,29.6828,68.0147
2021-06,30.1839,67.9506
2021-07,27.6193,71.7835
2021-08,31.7377,73.9065
2021-09,22.2005,78.108
2021-10,13.0084,70.559
2021-11,1.6829,79.7147
2021-12,1.5171,74.8714
2022-01,11.8391,83.8439
2022-02,10.8845,74.2485
2022-03,11.6623,64.4857
2022-04,26.6774,72.8765
2022-05,17.4543,56.3809
2022-06,27.4793,54.7432
2022-07,22.6107,43.9638
2022-08,25.075,54.5402
2022-09,28.3564,48.4061
2022-10,8.7386,33.808
2022-11,15.6444,43.6413
2022-12,32.4622,51.6237
2023-01,29.0868,42.3283
2023-02,31.0376,52.4008
2023-03,25.1418,45.8599
2023-04,34.9877,52.4428
2023-05,38.453,54.1535
2023-06,33.0314,55.8684
2023-07,42.0632,63.7729
2023-08,44.5289,67.9151
2023-09,32.9958,65.3142
2023-10,28.6417,56.4671
2023-11,33.1607,54.158
2023-12,31.948,66.8181
2024-01,25.9345,72.7134
2024-02,24.2142,77.0248
2024-03,20.2879,84.7703
2024-04,30.6696,89.0895
2024-05,33.4779,80.3005
2024-06,40.1085,89.1407
2024-07,34.1513,96.817
2024-08,57.1999,94.9948
2024-09,55.6691,101.4737
2024-10,60.4381,104.2286
2024-11,51.6007,104.0979
2024-12,66.5497,114.1559
2025-01,50.1171,108.1307
2025-02,53.5227,112.719
2025-03,64.4302,109.0154
2025-04,68.6986,97.097
2025-05,64.7854,95.2965
2025-06,61.9522,105.2137
2025-07,60.7164,114.7559
2025-08,61.4836,115.142
2025-09,61.7854,122.2543
2025-10,59.124,129.8729
2025-11,59.2337,133.4127
2025-12,61.8015,131.7276
2026-01,60.1645,131.8756
2026-02,81.5778,131.1612
