Date,rate_OMC_5D,rate_VOO_20D
2016-01,3.717,1.4254
2016-02,7.8026,0.6142
2016-03,12.8994,6.1243
2016-04,9.4101,4.6014
2016-05,7.2117,5.2878
2016-06,4.4008,4.687
2016-07,4.7413,7.7174
2016-08,8.8433,6.8637
2016-09,7.099,5.9421
2016-10,-0.1029,3.4868
2016-11,8.8875,6.843
2016-12,6.4028,8.2789
2017-01,6.5039,9.3935
2017-02,5.3853,12.821
2017-03,6.9819,12.0413
2017-04,1.4851,12.4367
2017-05,3.3035,13.2406
2017-06,2.6788,14.1802
2017-07,-2.6127,15.6892
2017-08,-10.3901,15.2834
2017-09,-7.1589,16.8657
2017-10,-15.499,18.7799
2017-11,-9.4668,21.509
2017-12,-6.657,22.1709
2018-01,-1.5958,27.9258
2018-02,-5.9979,22.2578
2018-03,-9.3721,18.4465
2018-04,-7.7721,18.162
2018-05,-9.5331,20.337
2018-06,-3.2066,20.5057
2018-07,-12.5643,24.0401
2018-08,-11.4854,27.2093
2018-09,-12.0577,27.1082
2018-10,-6.6508,17.9327
2018-11,-6.1563,19.5577
2018-12,-10.1443,8.5722
2019-01,-4.1605,16.8959
2019-02,-6.7301,20.2219
2019-03,-7.6072,21.9603
2019-04,0.9048,26.2654
2019-05,-0.9828,20.4953
2019-06,4.259,25.3574
2019-07,1.9132,26.514
2019-08,-2.9872,24.0717
2019-09,0.3174,25.9454
2019-10,0.8813,27.4086
2019-11,3.8566,31.384
2019-12,6.6336,34.5804
2020-01,-0.9925,33.8021
2020-02,-8.9617,22.3336
2020-03,-17.8245,15.1867
2020-04,-14.0753,29.6272
2020-05,-17.5419,28.2305
2020-06,-16.1171,28.0341
2020-07,-17.2198,33.4885
2020-08,-18.4022,42.106
2020-09,-22.054,38.2475
2020-10,-25.4794,34.0563
2020-11,-2.3805,42.9575
2020-12,-1.0659,47.5016
2021-01,-1.9036,45.1166
2021-02,8.0321,43.0879
2021-03,19.8509,49.8512
2021-04,28.3655,56.911
2021-05,28.4472,54.6413
2021-06,23.9721,57.2758
2021-07,12.5161,60.2291
2021-08,12.9475,64.0213
2021-09,12.632,55.5224
2021-10,5.6215,65.5435
2021-11,4.3318,65.5034
2021-12,14.5709,68.4598
2022-01,17.7445,58.7763
2022-02,28.2785,53.2596
2022-03,29.1469,58.2953
2022-04,15.0965,52.2757
2022-05,6.6554,51.0659
2022-06,-7.699,38.0304
2022-07,1.4318,50.1558
2022-08,-2.8598,43.3725
2022-09,-6.0462,29.6913
2022-10,7.6293,39.7003
2022-11,17.885,46.8631
2022-12,19.2483,40.5677
2023-01,23.0153,48.7988
2023-02,29.891,45.5387
2023-03,37.0633,49.6635
2023-04,32.8028,48.4614
2023-05,29.5311,48.1923
2023-06,36.9032,57.2072
2023-07,17.5568,61.7125
2023-08,12.4016,59.5229
2023-09,4.197,51.3631
2023-10,4.7608,47.5518
2023-11,12.6921,60.474
2023-12,21.7282,67.125
2024-01,26.9111,69.1001
2024-02,23.8795,77.1309
2024-03,38.4537,83.2841
2024-04,31.9082,75.177
2024-05,31.7415,83.1784
2024-06,27.8056,90.182
2024-07,39.3995,90.9416
2024-08,38.7498,97.1965
2024-09,41.6798,98.31
2024-10,34.2994,95.5089
2024-11,30.3487,105.9957
2024-12,9.363,100.2436
2025-01,10.2287,104.6582
2025-02,5.0208,101.1287
2025-03,5.5729,89.045
2025-04,-2.3681,88.6819
2025-05,-5.8383,99.6712
2025-06,-6.8362,109.046
2025-07,-12.7294,112.823
2025-08,-8.2671,112.1707
2025-09,-4.5804,118.6779
2025-10,-12.1234,122.8639
2025-11,-15.9921,122.3204
2025-12,-2.2842,121.4705
2026-01,-6.7466,123.6468
2026-02,3.3638,120.852
