Date,rate_PEP_5D,rate_VOO_20D
2016-01,3.3666,1.4254
2016-02,0.3436,0.6142
2016-03,4.7094,6.1243
2016-04,3.6776,4.6014
2016-05,1.0381,5.2878
2016-06,6.1791,4.687
2016-07,8.2866,7.7174
2016-08,6.0181,6.8637
2016-09,7.0788,5.9421
2016-10,4.8263,3.4868
2016-11,-1.7653,6.843
2016-12,2.7639,8.2789
2017-01,1.8131,9.3935
2017-02,8.1911,12.821
2017-03,9.812,12.0413
2017-04,10.5326,12.4367
2017-05,14.136,13.2406
2017-06,11.9875,14.1802
2017-07,12.4565,15.6892
2017-08,11.7821,15.2834
2017-09,7.053,16.8657
2017-10,5.6249,18.7799
2017-11,12.0864,21.509
2017-12,14.8244,22.1709
2018-01,14.592,27.9258
2018-02,4.3458,22.2578
2018-03,4.4097,18.4465
2018-04,-3.5769,18.162
2018-05,-3.1057,20.337
2018-06,5.3344,20.5057
2018-07,10.9717,24.0401
2018-08,7.7617,27.2093
2018-09,8.1624,27.1082
2018-10,8.5944,17.9327
2018-11,12.9582,19.5577
2018-12,2.876,8.5722
2019-01,4.8365,16.8959
2019-02,8.3407,20.2219
2019-03,14.5095,21.9603
2019-04,19.2857,26.2654
2019-05,18.7249,20.4953
2019-06,21.8716,25.3574
2019-07,16.3383,26.514
2019-08,22.4503,24.0717
2019-09,23.1281,25.9454
2019-10,22.6689,27.4086
2019-11,20.9946,31.384
2019-12,22.1494,34.5804
2020-01,26.4564,33.8021
2020-02,17.0246,22.3336
2020-03,19.7541,15.1867
2020-04,29.7349,29.6272
2020-05,25.832,28.2305
2020-06,26.0785,28.0341
2020-07,30.7256,33.4885
2020-08,32.4441,42.106
2020-09,31.381,38.2475
2020-10,25.7994,34.0563
2020-11,34.5373,42.9575
2020-12,38.6496,47.5016
2021-01,29.0952,45.1166
2021-02,20.8289,43.0879
2021-03,32.8759,49.8512
2021-04,34.8982,56.911
2021-05,37.8565,54.6413
2021-06,38.4759,57.2758
2021-07,46.0697,60.2291
2021-08,44.8623,64.0213
2021-09,39.629,55.5224
2021-10,49.3555,65.5435
2021-11,46.9722,65.5034
2021-12,55.8516,68.4598
2022-01,54.2819,58.7763
2022-02,44.4648,53.2596
2022-03,48.0063,58.2953
2022-04,51.1668,52.2757
2022-05,39.7513,51.0659
2022-06,39.3198,38.0304
2022-07,45.7088,50.1558
2022-08,42.8919,43.3725
2022-09,35.7959,29.6913
2022-10,50.5165,39.7003
2022-11,48.8592,46.8631
2022-12,45.2834,40.5677
2023-01,37.0605,48.7988
2023-02,38.6364,45.5387
2023-03,46.0944,49.6635
2023-04,52.4277,48.4614
2023-05,50.0417,48.1923
2023-06,52.0452,57.2072
2023-07,53.3035,61.7125
2023-08,49.8274,59.5229
2023-09,42.1929,51.3631
2023-10,36.644,47.5518
2023-11,41.4769,60.474
2023-12,42.3052,67.125
2024-01,40.7706,69.1001
2024-02,38.7326,77.1309
2024-03,46.439,83.2841
2024-04,46.7358,75.177
2024-05,43.7721,83.1784
2024-06,40.0829,90.182
2024-07,46.2608,90.9416
2024-08,43.6896,97.1965
2024-09,44.1049,98.31
2024-10,40.3232,95.5089
2024-11,37.7379,105.9957
2024-12,31.2094,100.2436
2025-01,29.7426,104.6582
2025-02,31.8598,101.1287
2025-03,30.9224,89.045
2025-04,16.3835,88.6819
2025-05,14.9243,99.6712
2025-06,19.1311,109.046
2025-07,24.2379,112.823
2025-08,28.9642,112.1707
2025-09,25.6305,118.6779
2025-10,30.4413,122.8639
2025-11,32.5475,122.3204
2025-12,31.2812,121.4705
2026-01,40.2617,123.6468
2026-02,54.6006,120.852
