Date,rate_CSCO_5D,rate_VOO_20D
2016-01,0.8003,1.4254
2016-02,11.4048,0.6142
2016-03,14.7959,6.1243
2016-04,8.1221,4.6014
2016-05,12.949,5.2878
2016-06,9.5031,4.687
2016-07,15.7621,7.7174
2016-08,16.8559,6.8637
2016-09,15.8783,5.9421
2016-10,11.4453,3.4868
2016-11,7.3654,6.843
2016-12,8.1382,8.2789
2017-01,10.1841,9.3935
2017-02,21.8163,12.821
2017-03,19.0979,12.0413
2017-04,20.1434,12.4367
2017-05,10.0599,13.2406
2017-06,8.6432,14.1802
2017-07,9.6617,15.6892
2017-08,11.7555,15.2834
2017-09,16.0893,16.8657
2017-10,18.126,18.7799
2017-11,27.9274,21.509
2017-12,30.1239,22.1709
2018-01,40.6786,27.9258
2018-02,44.2812,22.2578
2018-03,39.1427,18.4465
2018-04,42.5574,18.162
2018-05,36.0065,20.337
2018-06,35.7404,20.5057
2018-07,33.2903,24.0401
2018-08,49.3612,27.2093
2018-09,50.586,27.1082
2018-10,41.207,17.9327
2018-11,46.5252,19.5577
2018-12,31.4552,8.5722
2019-01,43.6812,16.8959
2019-02,56.0284,20.2219
2019-03,58.4938,21.9603
2019-04,61.5893,26.2654
2019-05,48.8526,20.4953
2019-06,55.0843,25.3574
2019-07,52.5353,26.514
2019-08,31.0851,24.0717
2019-09,37.6219,25.9454
2019-10,32.6094,27.4086
2019-11,25.8258,31.384
2019-12,32.6131,34.5804
2020-01,27.384,33.8021
2020-02,23.324,22.3336
2020-03,28.7894,15.1867
2020-04,39.5163,29.6272
2020-05,50.1089,28.2305
2020-06,39.3004,28.0341
2020-07,44.3297,33.4885
2020-08,28.6645,42.106
2020-09,19.585,38.2475
2020-10,9.7125,34.0563
2020-11,31.1764,42.9575
2020-12,34.8708,47.5016
2021-01,32.5567,45.1166
2021-02,35.5783,43.0879
2021-03,51.2928,49.8512
2021-04,49.2312,56.911
2021-05,54.1446,54.6413
2021-06,53.5798,57.2758
2021-07,64.0448,60.2291
2021-08,73.852,64.0213
2021-09,59.4571,55.5224
2021-10,64.1337,65.5435
2021-11,59.9231,65.5034
2021-12,83.8118,68.4598
2022-01,69.5377,58.7763
2022-02,69.7787,53.2596
2022-03,68.8257,58.2953
2022-04,48.4472,52.2757
2022-05,31.6788,51.0659
2022-06,24.222,38.0304
2022-07,32.9724,50.1558
2022-08,30.6631,43.3725
2022-09,16.5071,29.6913
2022-10,33.2423,39.7003
2022-11,35.7033,46.8631
2022-12,30.7023,40.5677
2023-01,28.4809,48.7988
2023-02,23.6295,45.5387
2023-03,29.3472,49.6635
2023-04,23.2542,48.4614
2023-05,30.9982,48.1923
2023-06,36.0927,57.2072
2023-07,37.5101,61.7125
2023-08,51.0563,59.5229
2023-09,41.0763,51.3631
2023-10,37.3579,47.5518
2023-11,27.0972,60.474
2023-12,32.4213,67.125
2024-01,32.2017,69.1001
2024-02,27.144,77.1309
2024-03,30.9073,83.2841
2024-04,23.9278,75.177
2024-05,22.4049,83.1784
2024-06,24.8328,90.182
2024-07,30.2714,90.9416
2024-08,26.9833,97.1965
2024-09,30.8783,98.31
2024-10,37.1869,95.5089
2024-11,36.8822,105.9957
2024-12,36.5157,100.2436
2025-01,42.1871,104.6582
2025-02,49.9858,101.1287
2025-03,46.9989,89.045
2025-04,39.2482,88.6819
2025-05,51.6597,99.6712
2025-06,60.9275,109.046
2025-07,61.1675,112.823
2025-08,60.2064,112.1707
2025-09,58.1424,118.6779
2025-10,71.5168,122.8639
2025-11,79.8686,122.3204
2025-12,79.3908,121.4705
2026-01,84.7038,123.6468
2026-02,86.6819,120.852
