Date,rate_FIX_5D,rate_VOO_20D
2016-01,0.0,0.0
2016-02,4.3859,-3.7423
2016-03,4.5176,0.3764
2016-04,14.9778,5.1946
2016-05,1.3139,3.5695
2016-06,10.0071,4.8356
2016-07,9.7762,4.3651
2016-08,1.0898,7.2005
2016-09,-4.6909,6.5176
2016-10,-1.5613,5.8316
2016-11,-5.8214,2.6321
2016-12,9.1403,6.5262
2017-01,12.0722,8.6002
2017-02,12.6377,9.8701
2017-03,27.287,14.9815
2017-04,19.8163,12.5254
2017-05,19.8654,13.1716
2017-06,10.9224,14.581
2017-07,18.4513,14.626
2017-08,6.0758,16.4591
2017-09,8.6874,15.9061
2017-10,12.5239,17.2911
2017-11,33.1171,19.4181
2017-12,32.2157,21.7575
2018-01,34.2522,22.6249
2018-02,30.8994,28.3844
2018-03,22.0152,21.0506
2018-04,24.2672,18.8566
2018-05,25.6399,18.843
2018-06,40.6137,22.0592
2018-07,35.4123,20.962
2018-08,62.1168,24.4135
2018-09,66.9936,27.7869
2018-10,59.0396,28.1445
2018-11,52.9513,19.3954
2018-12,48.4524,19.8359
2019-01,22.0183,8.7501
2019-02,31.4276,17.203
2019-03,48.1381,21.2677
2019-04,45.9836,23.6016
2019-05,43.6833,25.5902
2019-06,28.7579,17.8911
2019-07,38.9552,26.7327
2019-08,10.4052,25.8061
2019-09,4.8384,24.2046
2019-10,17.8121,24.595
2019-11,39.5356,29.5299
2019-12,37.4041,32.3145
2020-01,33.2805,35.5516
2020-02,23.4224,34.7733
2020-03,11.8757,23.2161
2020-04,-7.2789,2.6957
2020-05,-12.8868,17.923
2020-06,2.2395,27.1545
2020-07,6.6276,29.2791
2020-08,33.3596,35.3897
2020-09,40.4138,45.4969
2020-10,38.4513,38.8421
2020-11,21.3582,33.8054
2020-12,33.2789,49.4413
2021-01,39.4479,52.4925
2021-02,47.7612,52.5474
2021-03,71.7671,57.1165
2021-04,98.3782,62.2404
2021-05,113.1713,68.0147
2021-06,117.2945,67.9506
2021-07,101.7223,71.7835
2021-08,89.1449,73.9065
2021-09,88.0586,78.108
2021-10,85.1308,70.559
2021-11,129.8791,79.7147
2021-12,131.2264,74.8714
2022-01,142.1535,83.8439
2022-02,116.0241,74.2485
2022-03,101.3195,64.4857
2022-04,116.0786,72.8765
2022-05,100.9573,56.3809
2022-06,112.1788,54.7432
2022-07,98.6321,43.9638
2022-08,147.238,54.5402
2022-09,135.3877,48.4061
2022-10,125.2446,33.808
2022-11,178.0992,43.6413
2022-12,187.2193,51.6237
2023-01,160.7452,42.3283
2023-02,174.2384,52.4008
2023-03,228.0734,45.8599
2023-04,223.6678,52.4428
2023-05,224.5347,54.1535
2023-06,224.3465,55.8684
2023-07,256.1675,63.7729
2023-08,273.7089,67.9151
2023-09,297.4713,65.3142
2023-10,261.3022,56.4671
2023-11,288.9644,54.158
2023-12,310.9288,66.8181
2024-01,326.4751,72.7134
2024-02,362.8744,77.0248
2024-03,541.6756,84.7703
2024-04,546.9471,89.0895
2024-05,506.2391,80.3005
2024-06,553.5946,89.1407
2024-07,483.653,96.817
2024-08,541.6328,94.9948
2024-09,589.3178,101.4737
2024-10,653.4434,104.2286
2024-11,652.5145,104.0979
2024-12,839.1693,114.1559
2025-01,700.7146,108.1307
2025-02,718.0541,112.719
2025-03,575.1036,109.0154
2025-04,509.2041,97.097
2025-05,665.9892,95.2965
2025-06,771.9679,105.2137
2025-07,843.7645,114.7559
2025-08,1148.126,115.142
2025-09,1153.5073,122.2543
2025-10,1375.1793,129.8729
2025-11,1593.7541,133.4127
2025-12,1573.7822,131.7276
2026-01,1512.4453,131.8756
2026-02,536.664,120.852
