Date,rate_PAYC_5D,rate_VOO_20D
2016-01,-15.714,-3.28
2016-02,-4.6591,-1.8027
2016-03,6.6692,4.5695
2016-04,12.8232,3.6217
2016-05,16.6805,4.6859
2016-06,21.4042,4.2011
2016-07,29.1387,7.3141
2016-08,36.2804,6.5393
2016-09,29.1414,5.8417
2016-10,30.2429,3.4057
2016-11,10.6086,7.0013
2016-12,11.6951,8.6582
2017-01,12.6183,9.9058
2017-02,30.4749,13.4199
2017-03,36.9758,12.5861
2017-04,41.0695,12.9516
2017-05,50.5122,13.7442
2017-06,54.2491,14.6714
2017-07,55.1072,16.2352
2017-08,62.0832,15.7466
2017-09,59.8619,17.3266
2017-10,72.2791,19.2474
2017-11,69.002,22.0133
2017-12,62.8245,22.6523
2018-01,82.8411,28.4864
2018-02,93.969,22.6807
2018-03,106.7757,18.8927
2018-04,115.8229,18.6249
2018-05,95.6951,20.8091
2018-06,80.3947,20.9812
2018-07,91.1333,24.5763
2018-08,174.0791,27.7899
2018-09,169.3059,27.6747
2018-10,113.064,18.1983
2018-11,122.5012,19.8597
2018-12,102.0992,8.8011
2019-01,141.3004,17.1215
2019-02,191.1249,20.4441
2019-03,197.8732,22.1999
2019-04,213.6485,26.5012
2019-05,223.0156,17.9266
2019-06,239.5664,25.7011
2019-07,254.6449,26.9004
2019-08,262.4489,24.2426
2019-09,198.7414,26.142
2019-10,197.3025,28.3311
2019-11,283.362,32.3256
2019-12,261.0403,35.5485
2020-01,327.4213,34.7719
2020-02,273.9287,23.2511
2020-03,163.5677,7.5779
2020-04,236.622,21.2186
2020-05,278.3518,26.5774
2020-06,288.822,28.3766
2020-07,252.1591,35.3325
2020-08,266.0873,44.0777
2020-09,275.6471,37.914
2020-10,333.6492,33.7633
2020-11,390.2347,47.7098
2020-12,424.4742,52.3667
2021-01,334.6641,49.9654
2021-02,322.9754,53.2453
2021-03,313.1236,60.4049
2021-04,324.0179,67.83
2021-05,259.332,67.8968
2021-06,291.9087,70.6358
2021-07,326.4353,73.7106
2021-08,415.2415,77.7187
2021-09,416.3425,68.3779
2021-10,463.9551,79.119
2021-11,345.1885,76.6949
2021-12,318.0233,83.6042
2022-01,234.1048,72.9303
2022-02,234.7872,66.8181
2022-03,238.6826,72.1992
2022-04,172.7554,56.2223
2022-05,173.2661,55.8933
2022-06,167.0358,42.4002
2022-07,212.4442,54.8512
2022-08,229.1725,47.8158
2022-09,206.669,33.7039
2022-10,218.8895,44.0824
2022-11,209.9627,51.4429
2022-12,181.3552,42.1877
2023-01,191.4726,50.5828
2023-02,158.0794,46.2373
2023-03,169.5319,52.2586
2023-04,155.6084,54.0684
2023-05,146.2056,54.1996
2023-06,180.428,63.548
2023-07,219.5945,68.1942
2023-08,154.613,64.7317
2023-09,122.4604,56.2636
2023-10,108.9721,52.2886
2023-11,55.6297,65.5989
2023-12,76.3599,72.448
2024-01,61.5901,74.4576
2024-02,54.3165,82.7177
2024-03,68.7149,89.0282
2024-04,58.7347,80.6052
2024-05,23.5645,88.8335
2024-06,21.401,96.0415
2024-07,41.3056,97.3583
2024-08,37.8405,101.128
2024-09,40.6777,105.7758
2024-10,76.0258,102.865
2024-11,94.7911,113.7798
2024-12,71.4048,107.7813
2025-01,72.9048,112.3595
2025-02,82.1164,108.6721
2025-03,80.8692,96.0839
2025-04,86.6455,93.6359
2025-05,113.0087,104.9003
2025-06,89.3793,114.5225
2025-07,88.7077,118.4064
2025-08,84.7078,121.8959
2025-09,68.5968,128.6764
2025-10,51.0705,133.0211
2025-11,30.098,132.409
2025-12,28.3849,131.4906
2026-01,8.381,133.7386
2026-02,1.1544,130.7823
2026-03,3.127,129.7769
