Date,rate_RKLB_5D,rate_VOO_20D
2020-11,0.0,0.0
2020-12,2.5664,4.1703
2021-01,4.4197,1.769
2021-02,2.0938,5.0489
2021-03,11.3353,12.2085
2021-04,-2.82,19.6336
2021-05,-6.8881,19.7004
2021-06,2.4413,22.4394
2021-07,-4.6368,25.5142
2021-08,-5.4907,29.5223
2021-09,52.5278,20.1815
2021-10,29.1278,30.9226
2021-11,43.0919,28.4985
2021-12,8.6932,35.4078
2022-01,-20.3769,24.7339
2022-02,-14.9486,18.6217
2022-03,-27.2297,24.0028
2022-04,-31.8049,8.0259
2022-05,-54.8969,7.6969
2022-06,-61.8378,-5.7962
2022-07,-49.3892,6.6548
2022-08,-37.8379,-0.3806
2022-09,-52.6156,-14.4925
2022-10,-38.0261,-4.114
2022-11,-47.7819,3.2465
2022-12,-51.3766,-6.0087
2023-01,-33.4249,2.3864
2023-02,-38.6353,-1.9591
2023-03,-43.6312,4.0622
2023-04,-43.8912,5.872
2023-05,-32.77,6.0032
2023-06,-10.7556,15.3516
2023-07,9.9958,19.9978
2023-08,-6.0227,16.5353
2023-09,-34.6211,8.0672
2023-10,-35.9277,4.0922
2023-11,-32.6604,17.4026
2023-12,-13.9807,24.2516
2024-01,-24.2302,26.2612
2024-02,-27.3034,34.5213
2024-03,-34.2053,40.8318
2024-04,-39.0384,32.4088
2024-05,-28.1736,40.6371
2024-06,-20.4129,47.8451
2024-07,-12.493,49.1619
2024-08,5.1579,52.9316
2024-09,62.9553,57.5794
2024-10,77.8704,54.6686
2024-11,348.9436,65.5834
2024-12,312.65,59.5849
2025-01,363.6381,64.1631
2025-02,222.1214,60.4757
2025-03,177.4458,47.8875
2025-04,234.0567,45.4395
2025-05,305.4196,56.7039
2025-06,433.9921,66.3261
2025-07,575.7989,70.21
2025-08,604.7689,73.6995
2025-09,584.6597,80.48
2025-10,787.1742,84.8247
2025-11,485.0379,84.2126
2025-12,855.5938,83.2942
2026-01,981.2143,85.5422
2026-02,819.879,82.5859
2026-03,782.7167,69.4643
