Date,rate_DLR_5D,rate_VOO_20D
2016-01,1.9689,1.4254
2016-02,-3.2215,0.6142
2016-03,9.2131,6.1243
2016-04,5.9995,4.6014
2016-05,13.601,5.2878
2016-06,26.6637,4.687
2016-07,17.7183,7.7174
2016-08,9.6972,6.8637
2016-09,7.3825,5.9421
2016-10,2.5854,3.4868
2016-11,1.0745,6.843
2016-12,8.8054,8.2789
2017-01,18.4241,9.3935
2017-02,17.4903,12.821
2017-03,15.602,12.0413
2017-04,23.7245,12.4367
2017-05,25.9125,13.2406
2017-06,19.8961,14.1802
2017-07,21.3832,15.6892
2017-08,23.3428,15.2834
2017-09,23.1742,16.8657
2017-10,22.2301,18.7799
2017-11,19.3576,21.509
2017-12,16.5644,22.1709
2018-01,13.9177,27.9258
2018-02,1.829,22.2578
2018-03,5.2648,18.4465
2018-04,5.4094,18.162
2018-05,7.022,20.337
2018-06,11.8613,20.5057
2018-07,21.0299,24.0401
2018-08,23.2029,27.2093
2018-09,12.1274,27.1082
2018-10,4.6275,17.9327
2018-11,10.8045,19.5577
2018-12,3.2562,8.5722
2019-01,4.9031,16.8959
2019-02,9.3884,20.2219
2019-03,15.8146,21.9603
2019-04,14.1443,26.2654
2019-05,13.7462,20.4953
2019-06,14.2617,25.3574
2019-07,8.4552,26.514
2019-08,16.9776,24.0717
2019-09,20.8074,25.9454
2019-10,17.8129,27.4086
2019-11,11.9414,31.384
2019-12,11.5757,34.5804
2020-01,14.2796,33.8021
2020-02,11.2056,22.3336
2020-03,8.4215,15.1867
2020-04,16.6266,29.6272
2020-05,17.4405,28.2305
2020-06,18.6933,28.0341
2020-07,31.2382,33.4885
2020-08,24.3588,42.106
2020-09,21.1755,38.2475
2020-10,18.7591,34.0563
2020-11,8.1179,42.9575
2020-12,12.3354,47.5016
2021-01,15.7056,45.1166
2021-02,8.0202,43.0879
2021-03,14.5765,49.8512
2021-04,25.2546,56.911
2021-05,20.9088,54.6413
2021-06,22.5765,57.2758
2021-07,23.0854,60.2291
2021-08,30.4893,64.0213
2021-09,16.7111,55.5224
2021-10,26.956,65.5435
2021-11,34.5368,65.5034
2021-12,42.2788,68.4598
2022-01,19.5568,58.7763
2022-02,7.8649,53.2596
2022-03,14.2762,58.2953
2022-04,13.8633,52.2757
2022-05,17.5948,51.0659
2022-06,10.1719,38.0304
2022-07,13.8714,50.1558
2022-08,6.1438,43.3725
2022-09,-14.0077,29.6913
2022-10,-12.9441,39.7003
2022-11,-5.6608,46.8631
2022-12,-7.9269,40.5677
2023-01,5.2868,48.7988
2023-02,0.7906,45.5387
2023-03,-5.1951,49.6635
2023-04,-3.8831,48.4614
2023-05,-4.1375,48.1923
2023-06,7.7085,57.2072
2023-07,17.7822,61.7125
2023-08,20.6328,59.5229
2023-09,16.117,51.3631
2023-10,14.5696,47.5518
2023-11,27.6073,60.474
2023-12,24.5971,67.125
2024-01,29.7686,69.1001
2024-02,34.2113,77.1309
2024-03,32.3429,83.2841
2024-04,23.9519,75.177
2024-05,29.5526,83.1784
2024-06,38.5526,90.182
2024-07,39.3631,90.9416
2024-08,40.2301,97.1965
2024-09,52.7191,98.31
2024-10,63.1831,95.5089
2024-11,69.176,105.9957
2024-12,55.9552,100.2436
2025-01,43.5161,104.6582
2025-02,36.9965,101.1287
2025-03,29.1317,89.045
2025-04,42.6142,88.6819
2025-05,51.9489,99.6712
2025-06,57.1581,109.046
2025-07,59.4028,112.823
2025-08,54.4634,112.1707
2025-09,59.9202,118.6779
2025-10,57.1175,122.8639
2025-11,47.2355,122.3204
2025-12,43.0227,121.4705
2026-01,53.0312,123.6468
2026-02,62.9413,120.852
